POW_SA3_CODE_2021,SEO_AGFF_Bf_91,SEO_AGFF_91_95,SEO_AGFF_96_00,SEO_AGFF_01_05,SEO_AGFF_06_10,SEO_AGFF_11_15,SEO_AGFF_16_20,SEO_AGFF_2021,SEO_AGFF_NS,SEO_AGFF_Tot,SEO_Min_Bf_91,SEO_Min_91_95,SEO_Min_96_00,SEO_Min_01_05,SEO_Min_06_10,SEO_Min_11_15,SEO_Min_16_20,SEO_Min_2021,SEO_Min_NS,SEO_Min_Tot,SEO_Mnf_Bf_91,SEO_Mnf_91_95,SEO_Mnf_96_00,SEO_Mnf_01_05,SEO_Mnf_06_10,SEO_Mnf_11_15,SEO_Mnf_16_20,SEO_Mnf_2021,SEO_Mnf_NS,SEO_Mnf_Tot,SEO_EGWWS_Bf_91,SEO_EGWWS_91_95,SEO_EGWWS_96_00,SEO_EGWWS_01_05,SEO_EGWWS_06_10,SEO_EGWWS_11_15,SEO_EGWWS_16_20,SEO_EGWWS_2021,SEO_EGWWS_NS,SEO_EGWWS_Tot,SEO_Const_Bf_91,SEO_Const_91_95,SEO_Const_96_00,SEO_Const_01_05,SEO_Const_06_10,SEO_Const_11_15,SEO_Const_16_20,SEO_Const_2021,SEO_Const_NS,SEO_Const_Tot,SEO_WST_Bf_91,SEO_WST_91_95,SEO_WST_96_00,SEO_WST_01_05,SEO_WST_06_10,SEO_WST_11_15,SEO_WST_16_20,SEO_WST_2021,SEO_WST_NS,SEO_WST_Tot,SEO_RetT_Bf_91,SEO_RetT_91_95,SEO_RetT_96_00,SEO_RetT_01_05,SEO_RetT_06_10,SEO_RetT_11_15,SEO_RetT_16_20,SEO_RetT_2021,SEO_RetT_NS,SEO_RetT_Tot,SEO_AcFd_Bf_91,SEO_AcFd_91_95,SEO_AcFd_96_00,SEO_AcFd_01_05,SEO_AcFd_06_10,SEO_AcFd_11_15,SEO_AcFd_16_20,SEO_AcFd_2021,SEO_AcFd_NS,SEO_AcFd_Tot,SEO_TPW_Bf_91,SEO_TPW_91_95,SEO_TPW_96_00,SEO_TPW_01_05,SEO_TPW_06_10,SEO_TPW_11_15,SEO_TPW_16_20,SEO_TPW_2021,SEO_TPW_NS,SEO_TPW_Tot,SEO_IMT_Bf_91,SEO_IMT_91_95,SEO_IMT_96_00,SEO_IMT_01_05,SEO_IMT_06_10,SEO_IMT_11_15,SEO_IMT_16_20,SEO_IMT_2021,SEO_IMT_NS,SEO_IMT_Tot,SEO_FinIns_Bf_91,SEO_FinIns_91_95,SEO_FinIns_96_00,SEO_FinIns_01_05,SEO_FinIns_06_10,SEO_FinIns_11_15,SEO_FinIns_16_20,SEO_FinIns_2021,SEO_FinIns_NS,SEO_FinIns_Tot,SEO_RHRE_Bf_91,SEO_RHRE_91_95,SEO_RHRE_96_00,SEO_RHRE_01_05,SEO_RHRE_06_10,SEO_RHRE_11_15,SEO_RHRE_16_20,SEO_RHRE_2021,SEO_RHRE_NS,SEO_RHRE_Tot,SEO_ProSTS_Bf_91,SEO_ProSTS_91_95,SEO_ProSTS_96_00,SEO_ProSTS_01_05,SEO_ProSTS_06_10,SEO_ProSTS_11_15,SEO_ProSTS_16_20,SEO_ProSTS_2021,SEO_ProSTS_NS,SEO_ProSTS_Tot,SEO_AdSup_Bf_91,SEO_AdSup_91_95,SEO_AdSup_96_00,SEO_AdSup_01_05,SEO_AdSup_06_10,SEO_AdSup_11_15,SEO_AdSup_16_20,SEO_AdSup_2021,SEO_AdSup_NS,SEO_AdSup_Tot,SEO_PubAS_Bf_91,SEO_PubAS_91_95,SEO_PubAS_96_00,SEO_PubAS_01_05,SEO_PubAS_06_10,SEO_PubAS_11_15,SEO_PubAS_16_20,SEO_PubAS_2021,SEO_PubAS_NS,SEO_PubAS_Tot,SEO_EdTrn_Bf_91,SEO_EdTrn_91_95,SEO_EdTrn_96_00,SEO_EdTrn_01_05,SEO_EdTrn_06_10,SEO_EdTrn_11_15,SEO_EdTrn_16_20,SEO_EdTrn_2021,SEO_EdTrn_NS,SEO_EdTrn_Tot,SEO_HC_SA_Bf_91,SEO_HC_SA_91_95,SEO_HC_SA_96_00,SEO_HC_SA_01_05,SEO_HC_SA_06_10,SEO_HC_SA_11_15,SEO_HC_SA_16_20,SEO_HC_SA_2021,SEO_HC_SA_NS,SEO_HC_SA_Tot,SEO_ArtsR_Bf_91,SEO_ArtsR_91_95,SEO_ArtsR_96_00,SEO_ArtsR_01_05,SEO_ArtsR_06_10,SEO_ArtsR_11_15,SEO_ArtsR_16_20,SEO_ArtsR_2021,SEO_ArtsR_NS,SEO_ArtsR_Tot,SEO_OthSvs_Bf_91,SEO_OthSvs_91_95,SEO_OthSvs_96_00,SEO_OthSvs_01_05,SEO_OthSvs_06_10,SEO_OthSvs_11_15,SEO_OthSvs_16_20,SEO_OthSvs_2021,SEO_OthSvs_NS,SEO_OthSvs_Tot,SEO_IDNS_Bf_91,SEO_IDNS_91_95,SEO_IDNS_96_00,SEO_IDNS_01_05,SEO_IDNS_06_10,SEO_IDNS_11_15,SEO_IDNS_16_20,SEO_IDNS_2021,SEO_IDNS_NS,SEO_IDNS_Tot
20101,8,0,0,4,4,5,0,0,0,22,14,5,6,4,5,5,0,0,0,23,107,8,20,16,18,21,15,0,0,206,16,0,4,5,4,4,4,0,0,35,81,14,18,13,24,14,13,0,8,188,30,0,5,3,3,5,7,0,0,54,122,13,25,32,31,36,18,3,9,272,46,9,15,18,43,36,31,0,6,200,57,4,8,0,8,7,8,0,0,96,25,6,8,5,0,4,5,0,0,50,28,0,5,6,6,3,4,0,0,51,15,0,3,0,10,0,0,0,0,30,76,8,19,16,21,24,13,0,5,186,37,4,7,3,11,5,14,0,0,87,108,14,22,21,17,21,10,0,0,209,177,22,39,35,51,46,23,0,3,392,378,40,65,89,101,70,55,0,13,815,34,0,8,8,11,19,17,0,0,85,46,0,0,13,10,6,6,0,4,87,39,5,18,7,5,7,18,0,4,113
20102,46,0,5,0,7,11,8,0,0,83,8,0,0,0,0,0,0,0,0,4,21,4,3,3,0,3,0,0,0,40,0,0,0,0,0,0,0,0,0,4,30,0,4,11,7,6,7,0,0,66,7,0,0,0,0,0,0,0,0,5,29,0,3,6,12,5,3,0,0,57,43,5,12,13,8,7,14,0,10,101,11,0,0,0,0,0,0,0,0,14,5,0,0,6,0,0,0,0,0,11,5,0,6,0,0,0,0,0,0,15,8,0,0,0,0,4,0,0,0,14,34,0,15,7,16,3,0,0,0,82,17,0,4,8,0,0,3,0,0,31,34,0,6,7,5,8,0,0,3,59,26,0,3,9,3,4,0,0,0,53,67,4,5,12,9,4,7,0,3,113,11,0,3,3,3,0,0,0,0,22,10,0,6,0,3,4,0,0,0,25,26,0,4,3,0,3,0,0,4,41
20103,23,0,3,0,7,0,4,0,0,40,0,0,0,0,0,0,0,0,0,7,31,0,0,9,8,5,4,0,0,55,3,0,0,0,0,0,0,0,0,3,7,4,4,0,0,3,0,0,0,20,3,0,0,0,0,0,0,0,0,7,11,0,0,4,0,0,0,0,0,22,15,4,0,0,0,0,0,0,5,30,7,0,3,0,0,0,0,0,0,13,6,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,3,10,0,0,0,3,3,0,0,0,17,3,0,0,3,0,0,0,0,0,5,33,0,0,0,3,0,0,0,0,44,20,5,0,3,0,0,0,0,0,27,48,0,0,3,11,8,8,0,5,80,0,0,0,3,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,11,14,0,0,0,5,0,0,0,0,23
20201,8,0,0,0,5,0,0,0,0,12,14,5,0,4,0,0,4,0,0,27,42,8,21,11,18,18,16,0,3,144,12,0,7,3,4,3,0,0,0,32,45,11,10,14,19,9,11,0,0,121,13,0,7,0,0,0,0,0,0,28,82,13,18,22,27,17,16,0,3,194,46,3,10,21,26,25,19,0,0,158,41,0,8,7,7,0,0,0,0,63,10,0,7,4,3,0,0,0,0,29,49,4,15,16,12,4,8,0,3,109,6,0,4,0,3,0,0,0,0,21,48,4,13,16,19,7,13,0,4,121,33,3,5,0,8,11,4,0,0,71,76,6,10,16,20,8,3,0,5,147,121,21,24,24,22,9,13,0,0,232,275,45,42,55,100,68,60,3,7,655,15,0,3,9,4,5,0,0,0,36,35,4,6,0,11,10,8,0,4,72,36,3,8,11,3,5,6,0,3,75
20202,45,3,3,3,3,0,3,0,0,64,3,4,0,7,0,0,0,0,0,17,106,18,28,9,28,18,19,0,7,239,4,0,0,0,0,0,0,0,0,6,46,3,9,13,9,4,6,0,0,100,9,0,5,5,5,0,4,0,0,25,63,9,14,8,20,9,0,0,9,123,33,4,7,13,15,6,10,0,3,98,23,0,0,0,7,0,0,0,0,39,9,0,0,0,8,4,0,0,0,20,11,0,3,7,3,0,0,0,0,24,8,0,0,0,6,0,0,0,0,18,47,12,6,12,18,7,4,0,3,108,18,0,6,4,6,6,15,0,5,56,67,9,14,15,11,9,9,0,4,136,68,10,11,9,17,11,0,0,4,137,125,13,12,22,27,19,10,0,9,231,28,6,3,5,5,3,9,0,3,51,30,3,0,3,12,0,0,0,0,53,33,5,3,12,8,4,0,0,0,62
20203,13,6,0,8,0,3,5,0,3,43,6,5,4,4,3,0,0,0,0,25,3,0,0,5,0,5,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,3,4,0,0,3,0,0,0,0,0,11,3,0,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,11
20301,44,6,0,11,10,15,6,0,4,92,0,0,0,0,0,0,0,0,0,0,11,0,4,0,6,9,3,0,0,30,0,0,0,0,0,0,0,0,0,0,8,4,5,0,3,5,0,0,0,30,3,0,0,0,0,0,0,0,0,6,8,0,4,5,0,3,0,0,0,23,6,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,10,0,12,4,3,0,0,0,0,29,11,0,0,0,0,3,0,0,0,15,7,0,0,0,5,5,0,0,0,19,9,0,0,0,0,0,0,0,0,16,26,0,4,5,6,0,0,0,0,43,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,3,18,4,0,0,3,5,0,0,0,0,6
20302,20,0,0,7,6,6,11,0,0,49,3,0,0,4,0,4,0,0,0,13,314,30,50,55,67,72,45,0,16,656,49,9,11,14,18,14,9,0,3,130,279,35,47,55,101,87,59,0,19,675,114,14,10,27,25,19,15,0,9,232,337,33,46,89,120,99,87,4,19,829,88,12,35,50,79,67,84,0,8,423,178,12,13,16,18,18,15,0,7,282,28,0,5,5,8,9,6,0,0,66,104,11,21,29,43,30,15,0,6,258,38,9,3,13,8,14,6,0,0,88,251,25,49,46,65,56,51,0,13,557,119,4,20,12,27,24,27,0,5,233,320,34,43,59,85,67,35,0,9,653,447,58,73,99,151,126,70,0,14,1037,897,114,163,192,293,223,153,3,29,2058,45,3,7,10,21,14,10,3,4,115,113,12,26,28,33,53,37,0,7,315,131,18,26,19,42,42,32,0,16,315
20303,28,3,0,0,3,0,5,0,0,38,0,0,0,0,3,0,0,0,0,3,40,4,0,3,16,18,13,0,3,104,6,0,0,0,0,0,0,0,0,4,83,9,14,10,33,34,14,0,7,204,18,4,3,3,8,4,0,0,0,41,86,14,19,24,31,27,23,0,8,240,51,8,15,42,50,53,44,0,6,270,38,0,4,0,4,3,3,0,3,57,12,0,3,3,0,0,3,0,0,26,27,4,0,4,4,0,7,0,0,50,20,0,0,3,4,5,0,0,0,31,102,13,14,18,27,22,19,0,4,219,30,0,5,10,13,4,5,0,3,77,61,9,13,12,13,0,3,0,7,130,95,7,19,16,30,34,12,0,5,211,141,19,21,19,42,34,20,0,3,305,30,6,6,10,3,12,10,0,0,76,44,9,4,11,18,16,9,0,3,108,40,0,5,13,7,15,8,0,7,98
20401,102,0,3,14,20,17,20,0,9,191,8,0,0,0,0,0,0,0,0,13,48,7,0,7,8,6,6,0,0,84,6,0,0,0,0,0,0,0,0,4,37,7,6,5,9,13,6,0,9,86,12,0,4,0,3,0,0,0,0,21,68,8,10,20,15,8,0,0,3,123,73,6,13,14,28,22,22,3,7,184,32,7,3,3,7,3,6,0,0,74,9,0,0,0,3,0,0,0,0,17,6,0,6,0,0,0,3,0,0,12,9,0,3,0,0,0,0,0,0,16,35,3,4,7,9,3,5,0,5,71,23,6,0,0,4,0,0,0,3,36,87,10,5,17,28,11,8,0,7,179,106,9,7,19,15,11,12,4,4,196,124,6,20,24,25,21,8,0,15,250,17,0,0,0,0,9,15,0,0,49,20,7,0,5,3,0,0,0,4,39,35,0,0,6,3,5,10,0,9,69
