POW_SA3_CODE_2021,IE_Mng_OMEs_Nil_e,IE_Mng_OMEs_1_19_e,IE_Mng_OMEs_20mo_e,IE_Mng_OMEs_NE_NS,IE_Mng_Tot,IE_Pro_OMEs_Nil_e,IE_Pro_OMEs_1_19_e,IE_Pro_OMEs_20mo_e,IE_Pro_OMEs_NE_NS,IE_Pro_Tot,IE_TecTW_OMEs_Nil_e,IE_TecTW_OMEs_1_19_e,IE_TecTW_OMEs_20mo_e,IE_TecTW_OMEs_NE_NS,IE_TecTW_Tot,IE_CoPSW_OMEs_Nil_e,IE_CoPSW_OMEs_1_19_e,IE_CoPSW_OMEs_20mo_e,IE_CoPSW_OMEs_NE_NS,IE_CoPSW_Tot,IE_ClAW_OMEs_Nil_e,IE_ClAW_OMEs_1_19_e,IE_ClAW_OMEs_20mo_e,IE_ClAW_OMEs_NE_NS,IE_ClAW_Tot,IE_SWs_OMEs_Nil_e,IE_SWs_OMEs_1_19_e,IE_SWs_OMEs_20mo_e,IE_SWs_OMEs_NE_NS,IE_SWs_Tot,IE_MaOpD_OMEs_Nil_e,IE_MaOpD_OMEs_1_19_e,IE_MaOpD_OMEs_20mo_e,IE_MaOpD_OMEs_NE_NS,IE_MaOpD_Tot,IE_Lab_OMEs_Nil_e,IE_Lab_OMEs_1_19_e,IE_Lab_OMEs_20mo_e,IE_Lab_OMEs_NE_NS,IE_Lab_Tot,IE_IDNS_OMEs_Nil_e,IE_IDNS_OMEs_1_19_e,IE_IDNS_OMEs_20mo_e,IE_IDNS_OMEs_NE_NS,IE_IDNS_Tot,IE_Tot_OMEs_Nil_e,IE_Tot_OMEs_1_19_e,IE_Tot_OMEs_20mo_e,IE_Tot_OMEs_NE_NS,IE_Tot_Tot,UIE_Mng_OMEs_Nil_e,UIE_Mng_OMEs_1_19_e,UIE_Mng_OMEs_20mo_e,UIE_Mng_OMEs_NE_NS,UIE_Mng_Tot,UIE_Pro_OMEs_Nil_e,UIE_Pro_OMEs_1_19_e,UIE_Pro_OMEs_20mo_e,UIE_Pro_OMEs_NE_NS,UIE_Pro_Tot,UIE_TecTW_OMEs_Nil_e,UIE_TecTW_OMEs_1_19_e,UIE_TecTW_OMEs_20mo_e,UIE_TecTW_OMEs_NE_NS,UIE_TecTW_Tot,UIE_CoPSW_OMEs_Nil_e,UIE_CoPSW_OMEs_1_19_e,UIE_CoPSW_OMEs_20mo_e,UIE_CoPSW_OMEs_NE_NS,UIE_CoPSW_Tot,UIE_ClAW_OMEs_Nil_e,UIE_ClAW_OMEs_1_19_e,UIE_ClAW_OMEs_20mo_e,UIE_ClAW_OMEs_NE_NS,UIE_ClAW_Tot,UIE_SWs_OMEs_Nil_e,UIE_SWs_OMEs_1_19_e,UIE_SWs_OMEs_20mo_e,UIE_SWs_OMEs_NE_NS,UIE_SWs_Tot,UIE_MaOpD_OMEs_Nil_e,UIE_MaOpD_OMEs_1_19_e,UIE_MaOpD_OMEs_20mo_e,UIE_MaOpD_OMEs_NE_NS,UIE_MaOpD_Tot,UIE_Lab_OMEs_Nil_e,UIE_Lab_OMEs_1_19_e,UIE_Lab_OMEs_20mo_e,UIE_Lab_OMEs_NE_NS,UIE_Lab_Tot,UIE_IDNS_OMEs_Nil_e,UIE_IDNS_OMEs_1_19_e,UIE_IDNS_OMEs_20mo_e,UIE_IDNS_OMEs_NE_NS,UIE_IDNS_Tot,UIE_Tot_OMEs_Nil_e,UIE_Tot_OMEs_1_19_e,UIE_Tot_OMEs_20mo_e,UIE_Tot_OMEs_NE_NS,UIE_Tot_Tot,Tot_Mng_OMEs_Nil_e,Tot_Mng_OMEs_1_19_e,Tot_Mng_OMEs_20mo_e,Tot_Mng_OMEs_NE_NS,Tot_Mng_Tot,Tot_Pro_OMEs_Nil_e,Tot_Pro_OMEs_1_19_e,Tot_Pro_OMEs_20mo_e,Tot_Pro_OMEs_NE_NS,Tot_Pro_Tot,Tot_TecTW_OMEs_Nil_e,Tot_TecTW_OMEs_1_19_e,Tot_TecTW_OMEs_20mo_e,Tot_TecTW_OMEs_NE_NS,Tot_TecTW_Tot,Tot_CoPSW_OMEs_Nil_e,Tot_CoPSW_OMEs_1_19_e,Tot_CoPSW_OMEs_20mo_e,Tot_CoPSW_OMEs_NE_NS,Tot_CoPSW_Tot,Tot_ClAW_OMEs_Nil_e,Tot_ClAW_OMEs_1_19_e,Tot_ClAW_OMEs_20mo_e,Tot_ClAW_OMEs_NE_NS,Tot_ClAW_Tot,Tot_SWs_OMEs_Nil_e,Tot_SWs_OMEs_1_19_e,Tot_SWs_OMEs_20mo_e,Tot_SWs_OMEs_NE_NS,Tot_SWs_Tot,Tot_MaOpD_OMEs_Nil_e,Tot_MaOpD_OMEs_1_19_e,Tot_MaOpD_OMEs_20mo_e,Tot_MaOpD_OMEs_NE_NS,Tot_MaOpD_Tot,Tot_Lab_OMEs_Nil_e,Tot_Lab_OMEs_1_19_e,Tot_Lab_OMEs_20mo_e,Tot_Lab_OMEs_NE_NS,Tot_Lab_Tot,Tot_IDNS_OMEs_Nil_e,Tot_IDNS_OMEs_1_19_e,Tot_IDNS_OMEs_20mo_e,Tot_IDNS_OMEs_NE_NS,Tot_IDNS_Tot,Tot_Tot_OMEs_Nil_e,Tot_Tot_OMEs_1_19_e,Tot_Tot_OMEs_20mo_e,Tot_Tot_OMEs_NE_NS,Tot_Tot_Tot
20101,135,702,228,0,1062,270,365,71,3,706,197,392,18,0,605,31,45,9,0,84,85,219,30,0,329,44,88,24,0,155,75,69,14,0,155,63,54,3,0,123,17,22,3,8,42,905,1958,394,14,3278,185,142,13,0,337,669,123,22,3,820,587,165,0,0,758,268,36,0,0,307,113,25,4,0,145,72,19,3,0,96,132,18,0,0,148,192,67,0,3,258,26,8,0,0,31,2253,597,44,14,2904,317,847,237,0,1400,942,488,88,4,1525,781,557,24,3,1370,303,84,9,0,396,190,245,29,0,468,118,107,23,0,255,210,81,17,0,304,250,120,6,0,384,46,23,3,10,78,3162,2558,439,26,6182
20102,128,283,31,4,444,96,77,0,0,168,62,86,3,0,153,8,5,0,0,19,23,46,0,0,76,11,19,0,0,27,24,28,0,0,52,17,21,0,0,38,15,5,0,0,17,377,570,40,16,994,305,104,0,5,420,237,25,4,6,277,213,55,0,0,271,82,4,0,0,86,48,15,0,0,64,44,4,0,0,51,40,3,0,0,41,107,13,0,6,128,14,6,0,0,18,1087,234,9,19,1354,433,391,30,8,863,330,105,6,6,445,274,141,3,3,421,92,12,0,3,105,67,63,9,0,139,57,24,0,0,79,62,28,0,3,96,119,35,0,6,160,31,5,0,0,38,1465,801,47,31,2347
20103,70,186,21,3,279,19,30,0,0,49,33,56,4,0,97,8,3,0,0,9,15,44,0,0,56,4,12,0,0,16,16,13,0,0,26,7,15,0,0,23,0,6,0,0,4,169,360,28,5,565,177,143,0,11,331,65,18,0,0,85,128,39,0,0,164,40,7,0,4,44,29,8,0,0,31,13,11,0,0,27,26,3,0,0,34,42,9,0,0,51,13,0,0,0,13,531,227,0,22,779,246,325,19,12,611,82,43,0,0,131,165,95,4,0,262,40,8,0,4,53,38,52,0,3,92,19,21,0,0,43,38,13,0,0,60,55,26,0,0,79,15,6,0,0,20,698,591,29,24,1342
20201,94,570,164,0,827,154,321,71,0,545,124,267,17,0,402,14,45,3,0,66,55,200,42,0,291,26,62,25,0,115,53,52,3,0,109,36,55,9,0,104,19,12,6,0,35,578,1586,338,6,2504,154,154,10,4,324,457,117,4,0,580,476,173,0,3,648,244,14,7,0,264,82,33,0,0,119,59,15,0,0,75,117,12,0,0,132,182,54,0,0,237,25,7,0,0,38,1788,588,24,7,2407,254,725,174,4,1151,613,439,79,0,1125,601,435,20,5,1056,260,63,6,0,325,133,234,37,0,407,80,80,26,0,194,169,64,7,0,242,220,109,9,0,338,43,23,6,0,75,2361,2172,363,10,4912
20202,124,371,44,4,547,179,141,11,4,341,72,116,0,0,189,13,11,0,0,28,55,78,7,0,141,7,45,5,0,60,25,24,0,0,52,31,25,0,0,50,16,7,5,0,31,518,815,81,11,1429,312,163,4,13,492,589,60,9,0,655,404,105,0,3,517,174,7,0,0,184,74,28,0,0,91,53,13,0,0,64,51,9,0,0,59,131,18,0,3,159,18,4,0,0,25,1805,407,9,22,2243,440,531,50,21,1041,768,206,21,4,992,476,213,0,3,704,187,18,0,0,212,124,106,7,0,233,60,55,4,0,125,72,34,0,4,111,159,46,0,0,204,33,13,5,0,54,2321,1217,96,36,3674
20203,94,137,15,3,247,3,16,0,0,21,13,22,4,0,32,0,0,0,0,0,4,16,0,0,24,0,9,3,0,12,8,13,0,0,18,10,5,0,0,10,0,0,0,0,0,133,212,25,4,371,272,139,0,3,416,25,6,0,0,26,60,15,0,0,75,14,0,0,0,14,11,5,0,0,16,12,0,0,0,12,11,0,0,0,15,22,3,0,0,28,3,0,0,0,7,441,165,0,3,609,368,276,15,8,664,29,17,0,0,46,78,35,4,0,111,14,0,0,0,14,16,18,0,0,41,17,9,3,0,24,25,12,0,0,39,27,6,0,0,39,4,0,0,0,4,571,377,25,8,976
20301,87,135,17,3,238,42,40,3,0,81,50,60,0,0,108,4,4,0,0,12,22,46,6,0,80,0,15,0,0,15,18,17,0,0,35,9,16,3,0,35,0,6,0,0,9,243,329,27,5,603,172,74,0,0,243,95,9,0,0,105,161,23,0,0,188,46,0,0,0,50,26,5,0,0,28,9,5,0,0,16,17,3,0,0,20,48,12,0,0,57,6,5,0,0,13,580,131,0,5,722,258,209,17,3,481,132,44,3,0,190,202,81,4,4,289,50,6,0,0,59,52,54,6,0,109,12,14,0,0,29,37,21,0,0,59,59,32,3,0,91,10,8,0,0,24,819,465,32,7,1325
20302,310,1283,357,3,1954,428,698,94,4,1221,359,692,35,5,1083,56,97,17,0,177,172,344,27,9,548,67,166,32,0,264,140,101,22,0,264,105,148,9,0,260,27,66,12,0,105,1672,3587,613,19,5885,380,246,30,0,648,1278,285,12,3,1578,1124,312,0,3,1439,563,69,5,4,638,206,61,0,0,267,110,42,5,0,155,323,22,0,0,341,363,78,0,8,451,82,9,0,0,92,4424,1113,54,18,5607,686,1528,382,3,2605,1710,983,107,3,2807,1483,1001,35,10,2525,624,165,19,7,815,371,407,30,9,813,182,205,33,3,421,465,117,21,0,609,472,224,17,8,703,103,76,12,6,199,6094,4703,660,35,11490
20303,228,593,82,5,910,328,310,14,4,655,182,271,10,0,461,26,41,0,0,73,105,121,20,0,251,48,71,14,0,129,20,13,0,0,39,43,69,0,0,115,22,24,5,0,53,1008,1520,146,11,2684,254,129,10,4,396,805,82,10,4,893,665,138,0,11,808,284,22,0,0,310,120,19,0,4,142,64,25,0,0,87,39,10,0,0,47,175,42,0,0,219,33,8,0,0,41,2445,466,17,21,2957,484,728,85,11,1305,1135,388,23,6,1547,844,408,10,14,1273,317,66,0,0,381,227,140,19,4,391,111,98,14,0,218,63,23,0,0,81,225,108,0,0,337,60,27,5,0,96,3457,1989,159,32,5640
20401,175,444,59,7,683,104,145,10,5,256,110,172,3,4,285,13,11,6,0,31,54,113,9,3,173,25,43,4,0,75,51,44,3,0,96,40,47,5,0,88,16,9,3,0,22,585,1017,93,21,1713,496,228,3,16,734,226,50,4,0,287,433,130,3,8,566,133,13,4,0,149,68,32,0,0,97,50,21,0,0,70,74,7,0,0,85,175,37,0,5,209,30,3,0,0,35,1673,516,14,29,2239,668,671,59,22,1423,330,195,17,3,546,544,295,4,12,852,145,26,12,0,186,122,137,9,3,270,73,60,7,0,145,123,51,3,5,174,207,86,5,3,298,41,11,3,0,60,2254,1536,108,55,3947
20402,133,375,52,6,571,72,136,8,0,215,84,145,10,0,244,14,18,3,0,41,42,96,10,0,151,22,38,10,0,69,25,34,0,0,62,25,32,0,0,58,11,3,0,0,17,421,879,103,11,1421,449,195,6,9,658,171,67,4,0,241,317,107,0,0,426,110,10,0,0,120,53,31,0,0,80,24,16,0,0,41,53,10,0,0,60,120,31,0,3,153,24,11,0,0,28,1306,476,18,17,1815,585,567,64,13,1229,242,202,12,0,459,401,251,10,4,665,123,27,0,0,158,91,126,14,0,232,43,53,10,0,107,75,48,6,0,126,146,60,3,5,209,27,12,0,0,43,1732,1355,118,29,3235
