POW_SA3_CODE_2021,Tot_PINS_Mng,Tot_PINS_Pro,Tot_PINS_TecTW,Tot_PINS_CoPSW,Tot_PINS_ClAW,Tot_PINS_SWks,Tot_PINS_MaOpDv,Tot_PINS_Lab,Tot_PINS_IDNS,Tot_PINS_Tot,Tot_Tot_Mng,Tot_Tot_Pro,Tot_Tot_TecTW,Tot_Tot_CoPSW,Tot_Tot_ClAW,Tot_Tot_SWks,Tot_Tot_MaOpDv,Tot_Tot_Lab,Tot_Tot_IDNS,Tot_Tot_Tot
20101,39,55,70,57,36,47,28,48,89,475,5598,12103,7257,7552,7028,5459,2979,5264,788,54038
20102,28,8,21,8,10,3,0,16,17,121,1851,1412,1281,1067,830,633,429,1132,135,8765
20103,26,4,9,13,12,10,3,14,20,111,1391,1043,977,1050,669,623,480,1016,141,7391
20201,28,59,52,36,31,37,20,41,83,388,4884,11142,5989,6587,6096,4755,2491,4560,710,47221
20202,39,28,39,28,14,17,14,26,39,244,2580,3371,2417,2527,1585,1347,1028,3060,321,18235
20203,30,0,9,0,4,7,9,17,8,93,1298,457,512,226,311,180,609,605,75,4268
20301,19,13,15,9,7,0,5,10,8,79,1104,766,713,569,452,300,266,707,75,4952
20302,82,123,138,94,83,64,69,97,241,1007,11492,24900,14007,14091,12897,9716,6640,9587,1800,105131
20303,28,30,42,36,24,27,8,19,50,269,3322,4838,3728,3947,2357,2829,579,2514,365,24487
20401,60,32,51,26,19,25,14,33,64,326,3988,3459,3013,3392,2229,1887,1340,2986,462,22754
20402,45,21,29,25,12,11,13,32,43,229,3245,3919,2811,2772,2156,1738,1393,2747,376,21154
20403,51,23,40,35,18,29,26,38,70,339,5115,5717,4972,4640,3330,2834,2899,3936,589,34033
20501,62,26,48,33,16,19,13,41,48,308,2957,3585,2666,2550,2149,1739,1019,2792,317,19772
20502,48,21,35,14,19,20,12,38,35,237,2714,2879,2243,2540,1946,1663,1053,2371,383,17799
20503,84,22,42,33,16,38,17,50,63,366,4335,4071,3372,3030,2435,2500,1239,2883,494,24354
20504,31,37,72,34,38,37,22,49,107,436,3289,6221,5294,4521,4697,3085,2424,3264,643,33455
20505,47,14,30,14,18,18,8,28,43,225,3002,3051,2585,2491,1656,1439,1043,2079,369,17714
20601,21,48,51,33,22,22,7,18,63,292,3461,7590,3359,4304,2926,2520,1111,1956,478,27701
20602,17,39,18,18,16,9,5,5,41,168,2381,4606,2535,2588,1780,1352,718,1088,294,17352
20603,19,37,22,23,21,21,12,15,55,228,2563,5807,2186,3478,3122,2128,505,1514,413,21703
20604,360,899,201,217,462,140,67,140,1082,3577,87420,208888,26264,30559,83548,20805,6194,15346,9561,488582
20605,95,139,87,51,65,47,30,38,221,770,18243,28910,9940,7011,12428,6377,3541,4643,1802,92908
20606,44,69,35,21,25,29,8,10,82,338,5967,10768,3634,4478,3691,3908,532,1942,671,35586
20607,71,185,89,60,69,46,14,43,214,791,16886,35326,8674,8041,11306,7147,1857,4010,1616,94862
20701,84,175,50,59,80,48,11,34,183,716,12592,27479,6054,9074,10274,6711,1115,3537,1373,78222
20702,20,38,27,34,18,39,7,13,52,253,3372,5750,2630,4367,2849,4401,811,1902,446,26526
20703,31,99,45,43,42,23,9,19,123,439,6003,17805,4573,5620,7450,3625,1015,2623,883,49600
20801,50,72,31,35,37,27,8,24,77,361,4799,9264,3794,5118,3777,3026,707,1834,563,32884
20802,51,122,53,47,31,23,7,17,109,464,5289,13220,4668,6593,5027,3498,815,2618,776,42510
20803,81,77,129,49,65,61,45,67,180,760,10853,12384,10524,7059,8569,7856,5669,7214,1386,71510
20804,28,64,17,26,28,25,3,12,68,268,3395,6696,2070,3221,2811,4774,352,1483,396,25202
20901,34,89,74,53,55,37,14,20,109,484,4736,15878,5776,6502,5573,3594,1421,2956,727,47174
20902,41,70,63,39,29,43,11,35,71,405,4433,8976,3966,5078,4272,4100,2343,2796,639,36609
20903,25,23,33,22,24,16,4,11,44,197,2042,3662,2435,2516,1834,1371,483,1263,254,15870
20904,65,95,141,67,76,77,52,92,213,874,8024,14003,10103,8542,8546,8372,6274,8156,1531,73549
21001,35,41,84,30,51,33,30,28,105,438,5339,5675,6326,3359,5903,3553,3372,3397,827,37754
21002,4,10,20,9,9,7,6,8,22,92,1082,1619,1432,1130,1034,814,334,827,133,8406
21003,17,28,46,11,20,8,7,14,41,197,1798,3372,2511,2739,1692,1341,1055,1655,318,16490
21004,14,6,25,8,16,18,5,9,19,125,1067,1915,1495,1514,1227,1376,464,949,159,10171
21005,102,97,170,65,86,73,93,100,303,1096,10476,13447,13474,9129,11743,7234,12711,10390,2274,90874
21101,79,90,123,52,66,51,53,37,179,740,10427,13481,10739,6747,9744,6795,5808,6931,1420,72089
21102,11,14,9,5,9,4,6,3,14,67,722,1534,742,902,617,245,72,394,87,5311
21103,40,60,81,67,42,36,22,37,122,503,5622,9598,6726,5762,5497,5428,2501,4688,783,46602
21104,18,23,25,22,31,16,11,15,51,220,3332,6129,2773,3521,3217,2838,1103,1767,441,25117
21105,80,59,100,65,61,50,28,55,112,612,5925,7802,7436,6280,4848,4408,2308,5428,780,45211
21201,48,26,79,26,28,32,22,37,83,391,3841,4888,5284,4010,3380,3323,2140,4043,606,31507
21202,55,59,86,49,40,59,24,34,125,541,5069,9557,6179,5628,5462,5957,2608,4565,865,45896
21203,21,35,55,55,28,39,30,43,108,401,3596,6639,4946,5715,3578,4249,2680,4238,715,36363
21204,129,132,197,91,116,80,149,111,362,1362,16738,18956,18007,8519,17348,9263,19180,14504,2909,125415
21205,100,194,116,69,95,81,51,72,300,1076,16501,35112,13244,10709,16024,8853,5326,7224,2271,115259
21301,66,76,98,69,64,44,73,69,198,758,6829,12353,7987,6489,8102,5920,8529,6770,1469,64456
21302,33,39,54,19,26,24,36,37,85,350,4410,5908,5550,3460,3927,2841,4858,3702,770,35433
21303,36,55,42,42,37,37,28,37,124,422,5395,10251,4323,5109,4579,5125,3284,3718,885,42663
21304,35,54,79,61,39,44,50,37,116,518,4221,7545,6126,6839,4766,5003,4188,4309,908,43902
21305,87,89,111,79,93,72,135,71,261,1000,9375,15508,10071,9824,9732,8565,15009,8698,2044,88819
21401,49,72,104,64,59,55,28,54,141,626,5763,11598,7220,6994,6464,5499,2599,4985,930,52045
21402,90,81,107,52,58,58,35,63,131,681,7399,10328,9800,9150,5926,6478,2090,6257,1041,58473
21501,90,28,33,25,21,20,25,43,56,343,5491,4080,3003,3640,2526,2017,1709,3617,501,26594
21502,56,28,52,34,19,30,18,38,61,338,3449,4113,2985,3026,2631,2434,1505,3189,557,23895
