POW_SA3_CODE_2021,SW_300_399_Tot,SW_400_499_A_15_19,SW_400_499_A_20_24,SW_400_499_A_25_34,SW_400_499_A_35_44,SW_400_499_A_45_54,SW_400_499_A_55_64,SW_400_499_A_65_74,SW_400_499_A_75ov,SW_400_499_Tot,SW_500_649_A_15_19,SW_500_649_A_20_24,SW_500_649_A_25_34,SW_500_649_A_35_44,SW_500_649_A_45_54,SW_500_649_A_55_64,SW_500_649_A_65_74,SW_500_649_A_75ov,SW_500_649_Tot,SW_650_799_A_15_19,SW_650_799_A_20_24,SW_650_799_A_25_34,SW_650_799_A_35_44,SW_650_799_A_45_54,SW_650_799_A_55_64,SW_650_799_A_65_74,SW_650_799_A_75ov,SW_650_799_Tot,SW_800_999_A_15_19,SW_800_999_A_20_24,SW_800_999_A_25_34,SW_800_999_A_35_44,SW_800_999_A_45_54,SW_800_999_A_55_64,SW_800_999_A_65_74,SW_800_999_A_75ov,SW_800_999_Tot,SW_1000_1249_A_15_19,SW_1000_1249_A_20_24,SW_1000_1249_A_25_34,SW_1000_1249_A_35_44,SW_1000_1249_A_45_54,SW_1000_1249_A_55_64,SW_1000_1249_A_65_74,SW_1000_1249_A_75ov,SW_1000_1249_Tot,SW_1250_1499_A_15_19,SW_1250_1499_A_20_24,SW_1250_1499_A_25_34,SW_1250_1499_A_35_44,SW_1250_1499_A_45_54,SW_1250_1499_A_55_64,SW_1250_1499_A_65_74,SW_1250_1499_A_75ov,SW_1250_1499_Tot,SW_1500_1749_A_15_19,SW_1500_1749_A_20_24,SW_1500_1749_A_25_34,SW_1500_1749_A_35_44,SW_1500_1749_A_45_54,SW_1500_1749_A_55_64,SW_1500_1749_A_65_74,SW_1500_1749_A_75ov,SW_1500_1749_Tot,SW_1750_1999_A_15_19,SW_1750_1999_A_20_24,SW_1750_1999_A_25_34,SW_1750_1999_A_35_44,SW_1750_1999_A_45_54,SW_1750_1999_A_55_64,SW_1750_1999_A_65_74,SW_1750_1999_A_75ov,SW_1750_1999_Tot,SW_2000_2999_A_15_19,SW_2000_2999_A_20_24,SW_2000_2999_A_25_34,SW_2000_2999_A_35_44,SW_2000_2999_A_45_54,SW_2000_2999_A_55_64,SW_2000_2999_A_65_74,SW_2000_2999_A_75ov,SW_2000_2999_Tot,SW_3000_3499_A_15_19,SW_3000_3499_A_20_24,SW_3000_3499_A_25_34,SW_3000_3499_A_35_44,SW_3000_3499_A_45_54,SW_3000_3499_A_55_64,SW_3000_3499_A_65_74,SW_3000_3499_A_75ov,SW_3000_3499_Tot,SW_3500mo_A_15_19,SW_3500mo_A_20_24,SW_3500mo_A_25_34,SW_3500mo_A_35_44,SW_3500mo_A_45_54,SW_3500mo_A_55_64,SW_3500mo_A_65_74,SW_3500mo_A_75ov,SW_3500mo_Tot,SW_PINS_A_15_19,SW_PINS_A_20_24,SW_PINS_A_25_34,SW_PINS_A_35_44,SW_PINS_A_45_54,SW_PINS_A_55_64,SW_PINS_A_65_74,SW_PINS_A_75ov,SW_PINS_Tot,SW_Tot_A_15_19,SW_Tot_A_20_24,SW_Tot_A_25_34,SW_Tot_A_35_44,SW_Tot_A_45_54,SW_Tot_A_55_64,SW_Tot_A_65_74,SW_Tot_A_75ov,SW_Tot_Tot,MaOpD_NNI_A_15_19,MaOpD_NNI_A_20_24,MaOpD_NNI_A_25_34,MaOpD_NNI_A_35_44,MaOpD_NNI_A_45_54,MaOpD_NNI_A_55_64,MaOpD_NNI_A_65_74,MaOpD_NNI_A_75ov,MaOpD_NNI_Tot,MaOpD_1_149_A_15_19,MaOpD_1_149_A_20_24,MaOpD_1_149_A_25_34,MaOpD_1_149_A_35_44,MaOpD_1_149_A_45_54,MaOpD_1_149_A_55_64,MaOpD_1_149_A_65_74,MaOpD_1_149_A_75ov,MaOpD_1_149_Tot,MaOpD_150_299_A_15_19,MaOpD_150_299_A_20_24,MaOpD_150_299_A_25_34,MaOpD_150_299_A_35_44,MaOpD_150_299_A_45_54,MaOpD_150_299_A_55_64,MaOpD_150_299_A_65_74,MaOpD_150_299_A_75ov,MaOpD_150_299_Tot,MaOpD_300_399_A_15_19,MaOpD_300_399_A_20_24,MaOpD_300_399_A_25_34,MaOpD_300_399_A_35_44,MaOpD_300_399_A_45_54,MaOpD_300_399_A_55_64,MaOpD_300_399_A_65_74,MaOpD_300_399_A_75ov,MaOpD_300_399_Tot,MaOpD_400_499_A_15_19,MaOpD_400_499_A_20_24,MaOpD_400_499_A_25_34,MaOpD_400_499_A_35_44,MaOpD_400_499_A_45_54,MaOpD_400_499_A_55_64,MaOpD_400_499_A_65_74,MaOpD_400_499_A_75ov,MaOpD_400_499_Tot,MaOpD_500_649_A_15_19,MaOpD_500_649_A_20_24,MaOpD_500_649_A_25_34,MaOpD_500_649_A_35_44,MaOpD_500_649_A_45_54,MaOpD_500_649_A_55_64,MaOpD_500_649_A_65_74,MaOpD_500_649_A_75ov,MaOpD_500_649_Tot,MaOpD_650_799_A_15_19,MaOpD_650_799_A_20_24,MaOpD_650_799_A_25_34,MaOpD_650_799_A_35_44,MaOpD_650_799_A_45_54,MaOpD_650_799_A_55_64,MaOpD_650_799_A_65_74,MaOpD_650_799_A_75ov,MaOpD_650_799_Tot,MaOpD_800_999_A_15_19,MaOpD_800_999_A_20_24,MaOpD_800_999_A_25_34,MaOpD_800_999_A_35_44,MaOpD_800_999_A_45_54,MaOpD_800_999_A_55_64,MaOpD_800_999_A_65_74,MaOpD_800_999_A_75ov,MaOpD_800_999_Tot,MaOpD_1000_1249_A_15_19,MaOpD_1000_1249_A_20_24,MaOpD_1000_1249_A_25_34,MaOpD_1000_1249_A_35_44,MaOpD_1000_1249_A_45_54,MaOpD_1000_1249_A_55_64,MaOpD_1000_1249_A_65_74,MaOpD_1000_1249_A_75ov,MaOpD_1000_1249_Tot,MaOpD_1250_1499_A_15_19
20101,421,54,138,83,39,49,59,8,3,430,71,184,127,100,83,85,27,0,677,35,155,166,92,101,96,25,0,670,34,121,176,95,110,110,26,3,663,0,49,130,107,101,77,26,0,491,0,11,60,54,55,47,10,0,236,0,7,29,34,40,31,5,3,153,0,3,22,17,21,19,6,4,90,0,4,28,34,34,24,10,0,135,0,0,5,11,6,5,0,0,22,4,0,12,15,20,5,6,0,72,16,12,4,0,10,3,0,0,47,1419,927,960,651,682,635,163,22,5459,5,0,0,0,0,0,0,0,7,18,0,0,0,0,0,0,0,27,14,10,8,3,3,0,4,0,43,0,17,11,3,4,10,10,0,61,12,14,17,12,6,20,12,0,91,6,23,37,17,33,33,28,0,174,12,20,51,41,56,64,31,6,273,13,46,123,84,116,127,38,0,542,3,36,122,115,159,164,38,0,640,0
20102,60,8,4,9,0,10,10,4,0,59,0,15,10,20,17,25,8,0,92,3,13,13,27,22,24,4,0,106,0,9,12,14,20,13,3,0,72,0,0,11,7,15,11,0,0,43,0,0,3,6,8,10,0,0,16,0,0,0,3,3,7,0,0,14,0,0,0,0,0,0,0,0,8,0,0,0,0,10,4,0,0,14,0,0,0,0,0,5,0,0,6,0,0,0,0,5,3,0,0,7,0,0,0,0,0,0,4,0,3,118,76,72,80,119,134,32,5,633,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,5,0,5,0,0,0,0,5,0,0,0,7,0,0,3,0,0,0,8,0,14,0,0,0,4,5,4,5,0,20,4,0,4,7,9,10,0,0,29,0,3,13,6,17,14,4,0,62,0,6,12,16,26,30,3,0,100,0
20103,54,3,8,10,0,3,14,5,0,42,5,21,17,18,24,25,4,0,107,0,21,24,10,22,9,0,0,89,3,11,13,18,17,13,8,0,85,0,4,7,7,5,9,0,0,40,0,0,0,6,0,5,3,0,12,0,0,0,5,7,3,3,0,14,0,0,0,0,4,0,0,0,7,0,0,0,0,3,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,10,143,83,82,68,103,108,36,5,623,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,0,0,0,0,0,3,3,0,10,0,0,0,0,0,3,5,0,15,0,0,0,6,8,7,3,0,21,3,0,4,3,18,9,6,0,43,0,11,13,11,18,26,10,0,89,0,8,18,22,24,30,3,0,106,0
20201,327,76,111,64,32,60,51,13,6,409,63,150,113,71,81,78,18,6,582,32,131,126,87,95,97,21,3,595,14,92,148,107,102,87,18,6,576,7,56,114,77,82,79,12,0,424,0,6,48,28,57,34,8,5,186,0,5,32,43,39,25,5,5,148,0,5,15,20,20,26,3,0,90,0,3,20,36,30,15,4,0,110,0,0,3,8,7,0,0,0,25,0,0,7,16,14,9,3,0,47,12,4,6,4,4,0,4,0,37,1291,753,777,583,641,548,131,27,4755,0,0,0,0,0,5,0,0,11,27,3,5,0,0,4,0,0,39,27,8,3,0,4,4,4,0,46,13,11,8,8,9,6,3,0,61,12,15,7,11,6,13,6,0,80,8,19,24,20,17,38,28,3,154,9,30,50,43,55,64,19,0,263,3,45,89,82,110,131,32,5,499,7,38,107,96,133,128,31,0,543,0
20202,102,14,24,14,16,18,34,11,0,135,10,27,23,19,37,39,16,0,169,8,30,21,26,38,31,15,0,165,4,16,19,30,34,29,5,0,132,0,11,8,15,23,33,8,4,98,0,3,4,15,18,15,6,0,61,0,0,6,6,13,10,0,0,38,0,0,6,0,9,8,0,0,20,0,0,6,4,8,3,3,0,27,0,0,0,0,0,3,0,0,8,0,0,3,4,11,5,3,0,27,5,0,4,0,3,0,0,0,17,332,142,141,158,241,230,90,11,1347,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,7,0,5,0,4,0,0,0,16,0,4,5,5,0,4,0,0,17,0,4,5,3,0,13,8,0,32,0,3,7,0,5,26,11,0,56,5,3,9,10,15,30,14,0,79,0,18,30,20,40,47,9,3,165,3,10,41,41,53,61,15,3,226,0
20203,14,0,0,6,3,5,9,0,0,17,5,0,4,0,4,4,0,0,21,0,5,0,5,3,4,4,0,18,0,0,0,5,8,3,3,0,15,0,0,0,0,3,9,0,0,10,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,45,10,17,22,23,43,16,0,180,0,0,0,0,3,0,0,0,3,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,4,0,0,4,0,0,0,0,13,0,0,0,4,4,6,5,0,15,0,0,0,0,5,3,3,0,20,0,0,4,6,3,6,7,0,30,0,3,5,6,15,14,0,0,47,0,11,19,17,19,25,6,0,97,0
20301,32,5,4,0,5,0,6,3,0,23,3,11,3,0,5,10,0,0,32,0,0,5,9,7,4,0,0,23,4,0,7,4,3,3,0,0,25,0,0,6,7,5,9,0,0,27,0,0,4,4,5,0,0,0,15,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,10,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,82,40,37,43,53,40,6,0,300,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,0,0,4,0,0,3,3,0,11,0,0,0,0,0,0,0,0,3,0,0,0,4,9,3,0,0,15,0,0,0,7,3,0,0,0,15,0,0,4,3,10,7,4,0,30,0,3,11,10,16,17,3,0,64,0
20302,756,128,268,104,85,104,102,36,0,817,98,347,193,125,162,150,46,7,1128,39,272,247,141,185,137,36,0,1065,12,211,305,202,180,157,46,0,1103,14,102,247,170,153,119,28,6,835,3,33,159,126,105,91,17,4,541,0,13,85,90,84,53,13,0,338,0,6,39,59,51,45,8,4,207,0,0,48,97,79,41,4,0,275,0,0,6,17,16,12,7,0,62,0,0,12,30,27,13,6,0,94,18,13,6,0,6,12,8,0,64,2408,1820,1629,1259,1249,1048,283,21,9716,0,0,4,5,9,3,3,0,23,40,8,4,0,3,3,4,0,68,38,32,10,8,8,9,9,0,122,21,52,36,22,18,13,15,0,183,17,60,39,25,31,25,26,4,220,16,81,89,76,38,62,27,5,399,25,104,157,96,109,149,43,4,691,33,176,301,201,250,298,79,4,1341,6,67,308,280,369,334,68,5,1445,0
20303,230,39,75,27,25,26,59,13,6,263,22,93,48,42,41,67,21,3,341,3,68,59,39,56,51,13,0,294,4,47,56,26,50,53,15,0,257,0,19,51,43,50,33,8,0,202,0,6,24,22,25,20,13,0,110,0,0,21,20,30,22,5,3,103,0,4,4,8,20,13,4,0,59,0,0,5,24,22,17,4,0,65,0,0,0,6,10,5,0,3,22,0,4,16,20,23,7,6,0,66,12,0,0,7,10,0,0,0,27,762,467,348,325,390,402,118,13,2829,0,0,0,0,0,0,0,0,4,14,3,0,0,0,0,0,0,17,9,4,0,0,0,5,0,0,24,3,5,6,0,3,0,0,0,19,3,5,8,3,7,10,4,0,35,4,5,11,9,4,10,8,0,47,4,15,14,8,13,22,11,3,74,0,11,23,18,17,24,0,0,93,0,8,10,18,20,27,9,0,91,0
20401,122,22,32,15,15,28,32,9,0,150,19,37,44,36,52,43,16,0,246,8,51,39,46,56,90,21,0,304,5,26,54,46,58,52,9,4,249,0,15,38,27,28,39,8,4,158,0,4,12,7,12,23,3,0,66,0,4,14,13,14,9,5,0,57,0,3,6,4,9,8,0,0,29,0,0,8,9,11,11,8,0,41,0,0,0,7,5,0,0,0,16,0,0,5,4,8,6,6,0,23,4,8,5,0,8,0,4,0,25,396,222,268,236,306,342,104,13,1887,0,0,0,0,0,4,0,0,6,6,0,0,0,0,0,0,0,7,0,3,0,0,4,10,7,0,16,0,0,0,0,6,7,4,3,28,3,7,0,0,7,14,0,0,40,0,6,19,15,24,22,11,0,102,10,16,17,12,21,33,15,4,116,12,25,42,26,47,63,18,4,238,11,29,49,51,70,79,20,0,317,3
