POW_SA3_CODE_2021,CIII_IV_1250_1499_Mng,CIII_IV_1250_1499_Pro,CIII_IV_1250_1499_TecTW,CIII_IV_1250_1499_CoPSW,CIII_IV_1250_1499_ClAW,CIII_IV_1250_1499_SWks,CIII_IV_1250_1499_MaOpDv,CIII_IV_1250_1499_Lab,CIII_IV_1250_1499_IDNS,CIII_IV_1250_1499_Tot,CIII_IV_1500_1749_Mng,CIII_IV_1500_1749_Pro,CIII_IV_1500_1749_TecTW,CIII_IV_1500_1749_CoPSW,CIII_IV_1500_1749_ClAW,CIII_IV_1500_1749_SWks,CIII_IV_1500_1749_MaOpDv,CIII_IV_1500_1749_Lab,CIII_IV_1500_1749_IDNS,CIII_IV_1500_1749_Tot,CIII_IV_1750_1999_Mng,CIII_IV_1750_1999_Pro,CIII_IV_1750_1999_TecTW,CIII_IV_1750_1999_CoPSW,CIII_IV_1750_1999_ClAW,CIII_IV_1750_1999_SWks,CIII_IV_1750_1999_MaOpDv,CIII_IV_1750_1999_Lab,CIII_IV_1750_1999_IDNS,CIII_IV_1750_1999_Tot,CIII_IV_2000_2999_Mng,CIII_IV_2000_2999_Pro,CIII_IV_2000_2999_TecTW,CIII_IV_2000_2999_CoPSW,CIII_IV_2000_2999_ClAW,CIII_IV_2000_2999_SWks,CIII_IV_2000_2999_MaOpDv,CIII_IV_2000_2999_Lab,CIII_IV_2000_2999_IDNS,CIII_IV_2000_2999_Tot,CIII_IV_3000_3499_Mng,CIII_IV_3000_3499_Pro,CIII_IV_3000_3499_TecTW,CIII_IV_3000_3499_CoPSW,CIII_IV_3000_3499_ClAW,CIII_IV_3000_3499_SWks,CIII_IV_3000_3499_MaOpDv,CIII_IV_3000_3499_Lab,CIII_IV_3000_3499_IDNS,CIII_IV_3000_3499_Tot,CIII_IV_3500mo_Mng,CIII_IV_3500mo_Pro,CIII_IV_3500mo_TecTW,CIII_IV_3500mo_CoPSW,CIII_IV_3500mo_ClAW,CIII_IV_3500mo_SWks,CIII_IV_3500mo_MaOpDv,CIII_IV_3500mo_Lab,CIII_IV_3500mo_IDNS,CIII_IV_3500mo_Tot,CIII_IV_PINS_Mng,CIII_IV_PINS_Pro,CIII_IV_PINS_TecTW,CIII_IV_PINS_CoPSW,CIII_IV_PINS_ClAW,CIII_IV_PINS_SWks,CIII_IV_PINS_MaOpDv,CIII_IV_PINS_Lab,CIII_IV_PINS_IDNS,CIII_IV_PINS_Tot,CIII_IV_Tot_Mng,CIII_IV_Tot_Pro,CIII_IV_Tot_TecTW,CIII_IV_Tot_CoPSW,CIII_IV_Tot_ClAW,CIII_IV_Tot_SWks,CIII_IV_Tot_MaOpDv,CIII_IV_Tot_Lab,CIII_IV_Tot_IDNS,CIII_IV_Tot_Tot,CI_II_NNI_Mng,CI_II_NNI_Pro,CI_II_NNI_TecTW,CI_II_NNI_CoPSW,CI_II_NNI_ClAW,CI_II_NNI_SWks,CI_II_NNI_MaOpDv,CI_II_NNI_Lab,CI_II_NNI_IDNS,CI_II_NNI_Tot,CI_II_1_149_Mng,CI_II_1_149_Pro,CI_II_1_149_TecTW,CI_II_1_149_CoPSW,CI_II_1_149_ClAW,CI_II_1_149_SWks,CI_II_1_149_MaOpDv,CI_II_1_149_Lab,CI_II_1_149_IDNS,CI_II_1_149_Tot,CI_II_150_299_Mng,CI_II_150_299_Pro,CI_II_150_299_TecTW,CI_II_150_299_CoPSW,CI_II_150_299_ClAW,CI_II_150_299_SWks,CI_II_150_299_MaOpDv,CI_II_150_299_Lab,CI_II_150_299_IDNS,CI_II_150_299_Tot,CI_II_300_399_Mng,CI_II_300_399_Pro,CI_II_300_399_TecTW,CI_II_300_399_CoPSW,CI_II_300_399_ClAW,CI_II_300_399_SWks,CI_II_300_399_MaOpDv,CI_II_300_399_Lab,CI_II_300_399_IDNS,CI_II_300_399_Tot,CI_II_400_499_Mng,CI_II_400_499_Pro,CI_II_400_499_TecTW,CI_II_400_499_CoPSW,CI_II_400_499_ClAW,CI_II_400_499_SWks,CI_II_400_499_MaOpDv,CI_II_400_499_Lab,CI_II_400_499_IDNS,CI_II_400_499_Tot,CI_II_500_649_Mng,CI_II_500_649_Pro,CI_II_500_649_TecTW,CI_II_500_649_CoPSW,CI_II_500_649_ClAW,CI_II_500_649_SWks,CI_II_500_649_MaOpDv,CI_II_500_649_Lab,CI_II_500_649_IDNS,CI_II_500_649_Tot,CI_II_650_799_Mng,CI_II_650_799_Pro,CI_II_650_799_TecTW,CI_II_650_799_CoPSW,CI_II_650_799_ClAW,CI_II_650_799_SWks,CI_II_650_799_MaOpDv,CI_II_650_799_Lab,CI_II_650_799_IDNS,CI_II_650_799_Tot,CI_II_800_999_Mng,CI_II_800_999_Pro,CI_II_800_999_TecTW,CI_II_800_999_CoPSW,CI_II_800_999_ClAW,CI_II_800_999_SWks,CI_II_800_999_MaOpDv,CI_II_800_999_Lab,CI_II_800_999_IDNS,CI_II_800_999_Tot,CI_II_1000_1249_Mng,CI_II_1000_1249_Pro,CI_II_1000_1249_TecTW,CI_II_1000_1249_CoPSW,CI_II_1000_1249_ClAW,CI_II_1000_1249_SWks,CI_II_1000_1249_MaOpDv,CI_II_1000_1249_Lab,CI_II_1000_1249_IDNS,CI_II_1000_1249_Tot,CI_II_1250_1499_Mng,CI_II_1250_1499_Pro,CI_II_1250_1499_TecTW,CI_II_1250_1499_CoPSW,CI_II_1250_1499_ClAW,CI_II_1250_1499_SWks,CI_II_1250_1499_MaOpDv,CI_II_1250_1499_Lab,CI_II_1250_1499_IDNS,CI_II_1250_1499_Tot,CI_II_1500_1749_Mng,CI_II_1500_1749_Pro,CI_II_1500_1749_TecTW,CI_II_1500_1749_CoPSW,CI_II_1500_1749_ClAW,CI_II_1500_1749_SWks,CI_II_1500_1749_MaOpDv,CI_II_1500_1749_Lab,CI_II_1500_1749_IDNS,CI_II_1500_1749_Tot,CI_II_1750_1999_Mng,CI_II_1750_1999_Pro,CI_II_1750_1999_TecTW,CI_II_1750_1999_CoPSW,CI_II_1750_1999_ClAW,CI_II_1750_1999_SWks,CI_II_1750_1999_MaOpDv,CI_II_1750_1999_Lab,CI_II_1750_1999_IDNS,CI_II_1750_1999_Tot
20101,175,88,651,146,194,61,117,101,16,1558,156,76,404,98,133,30,81,68,13,1060,116,50,241,45,74,22,61,45,5,660,153,40,365,46,63,29,88,62,12,849,39,10,66,10,6,8,16,3,0,155,50,10,49,11,8,15,17,6,3,170,7,0,46,11,7,6,9,12,16,114,1187,526,4116,2007,1547,906,864,1108,152,12416,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,16,0,10,0,46,0,0,0,8,5,18,0,10,0,46,0,0,3,15,4,18,0,6,0,41,4,4,6,11,5,13,0,15,5,60,0,3,13,22,7,20,0,21,0,99,6,4,9,18,24,23,8,17,0,107,8,3,17,13,38,16,10,16,0,117,11,8,9,7,32,11,15,10,0,106,7,7,3,0,27,3,4,3,0,63,6,5,3,0,13,3,6,5,0,46,9,0,0,0,9,4,3,0,0,26
20102,49,8,91,17,19,6,25,11,0,224,32,6,62,0,16,0,19,5,0,149,25,0,30,7,5,0,14,4,0,90,19,8,39,4,6,3,15,0,3,94,3,0,5,0,0,0,0,0,0,16,14,0,6,0,0,0,5,0,0,26,14,0,14,0,0,0,0,4,0,37,387,66,632,251,166,96,145,214,20,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,8,0,3,0,9,0,0,0,6,0,8,0,5,0,18,0,0,3,5,0,0,0,0,0,16,0,0,3,0,0,3,0,4,0,15,0,0,5,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
20103,39,9,70,30,25,7,31,16,3,221,33,4,42,37,7,0,18,16,0,162,12,8,17,25,8,6,4,4,5,77,32,6,48,20,4,0,15,0,0,121,7,0,9,0,4,0,4,0,0,20,11,0,5,0,0,0,0,0,0,20,4,0,5,3,0,0,0,4,0,17,359,65,558,358,152,108,156,227,30,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,7,0,0,0,4,0,0,0,0,0,7,0,0,0,10,3,4,0,3,0,22,4,0,0,5,0,0,0,5,0,18,4,0,3,0,4,0,0,5,0,23,3,0,0,0,0,0,3,0,0,8,3,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3
20201,145,74,521,143,198,59,95,99,16,1348,152,88,388,65,117,44,86,41,16,1004,103,50,221,43,58,17,34,40,11,582,157,56,249,44,40,30,69,40,10,695,39,9,51,5,5,6,10,6,0,128,52,12,31,4,5,11,7,7,0,119,5,10,28,10,6,6,6,11,16,96,1071,541,3483,1877,1318,799,726,919,158,10892,0,0,0,0,0,0,0,6,0,6,0,0,3,3,0,4,0,10,0,17,0,0,0,0,8,10,0,5,0,27,0,0,4,9,3,13,0,10,0,39,0,0,8,5,11,13,0,9,0,43,4,0,14,13,22,12,5,20,0,88,7,0,9,17,11,16,4,26,5,109,12,0,16,16,27,13,7,13,3,111,13,3,8,16,25,9,3,12,0,101,7,3,5,6,19,0,5,3,0,53,9,6,0,0,16,7,0,0,0,33,0,0,0,4,0,3,0,0,0,16
20202,65,14,184,80,25,15,44,44,3,480,53,18,147,76,15,6,51,22,0,390,35,9,82,45,9,4,26,4,3,222,48,13,134,40,6,4,34,7,3,282,12,0,23,0,0,6,7,3,0,49,15,3,5,0,0,4,0,0,0,34,6,5,19,0,5,0,3,4,3,44,471,151,1308,670,307,212,329,588,46,4082,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,10,0,0,6,0,0,0,0,4,0,4,3,0,0,4,0,5,0,3,0,17,3,0,0,3,0,0,0,6,0,17,0,0,3,5,8,4,0,8,0,27,0,3,5,4,5,3,0,9,0,34,4,3,4,6,5,3,3,14,0,43,0,0,8,4,13,3,8,10,0,39,4,0,0,0,3,0,4,3,0,24,3,0,0,4,4,0,0,0,0,8,4,0,0,0,0,0,0,0,0,8
20203,38,5,48,3,8,0,23,21,0,139,48,0,39,0,3,0,31,17,0,132,23,0,15,5,7,0,35,16,0,104,23,6,83,0,0,0,58,5,3,179,7,0,19,0,0,0,7,0,0,30,5,0,9,0,0,0,11,3,0,27,12,0,4,0,0,0,0,6,0,21,350,28,324,72,75,25,224,172,18,1275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,11,0,0,0,0,6,0,0,3,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
20301,33,3,61,7,8,3,19,12,0,151,20,12,42,7,5,0,12,8,0,104,13,0,29,5,4,0,14,8,0,70,25,4,24,4,5,0,5,11,3,79,3,0,5,0,0,0,3,0,0,14,14,0,5,0,0,0,0,0,0,21,3,0,7,0,0,0,0,3,0,19,258,40,382,162,91,44,93,184,17,1260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,5,0,0,0,4,0,0,4,0,9,0,0,0,0,0,0,0,5,0,5,4,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20302,262,151,1071,342,423,128,242,198,38,2850,275,141,994,276,226,66,163,101,47,2284,187,80,650,156,103,44,96,83,27,1435,415,109,1041,151,92,62,138,104,25,2130,66,8,166,14,11,19,25,12,3,326,100,14,174,20,13,12,19,12,4,374,16,5,84,17,17,12,20,15,43,230,2010,974,7639,3884,2526,1451,1659,1931,361,22436,0,0,0,0,5,0,0,0,0,8,0,0,4,0,5,13,4,3,0,27,0,3,4,13,0,14,3,10,0,51,3,3,9,14,8,20,6,11,0,68,3,0,10,24,10,18,8,26,0,92,5,11,16,33,29,25,9,25,0,157,7,0,26,23,30,26,13,27,0,146,11,9,20,20,44,22,18,30,0,183,20,11,18,28,50,10,31,35,0,202,14,9,9,20,35,10,20,11,0,108,5,4,8,5,20,11,9,4,0,60,3,8,0,7,6,3,6,0,0,33
20303,101,27,336,50,47,27,21,39,4,660,86,19,245,19,37,13,20,34,8,470,61,10,149,16,8,9,12,18,0,289,83,22,113,11,13,19,8,17,12,290,24,0,27,0,0,5,0,0,0,64,25,4,25,0,3,9,3,0,0,78,14,3,30,3,0,5,4,0,15,69,672,188,1989,849,407,376,153,482,80,5198,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,3,0,0,0,9,0,0,3,0,0,8,0,10,0,19,0,0,7,6,0,8,0,6,0,23,0,0,0,3,0,0,0,7,0,17,0,0,5,7,3,7,0,9,0,31,0,3,6,7,4,6,0,3,0,36,0,0,0,4,9,5,0,8,0,33,3,0,6,6,11,6,0,0,0,34,7,0,0,4,6,0,0,0,0,16,4,0,0,3,3,0,0,0,0,10,4,5,0,0,0,0,0,0,0,14
20401,98,24,227,66,81,19,68,61,5,647,99,22,201,48,31,16,48,43,12,513,81,20,107,23,8,11,30,23,3,307,84,17,122,20,14,17,23,24,7,328,22,0,16,0,3,0,6,0,0,47,15,5,22,0,0,0,0,6,0,59,10,0,34,8,5,0,4,4,10,75,820,188,1644,824,498,325,434,651,102,5497,0,0,0,0,0,0,0,0,0,3,0,0,3,5,0,0,0,0,0,15,0,0,0,3,4,0,0,11,0,22,4,0,0,3,5,0,0,0,0,15,4,0,4,4,8,7,0,4,0,26,0,0,0,3,11,12,0,7,0,33,5,0,7,11,3,15,0,9,0,54,8,0,10,4,12,12,3,8,0,57,4,4,0,16,10,8,5,9,0,58,3,0,4,4,4,4,0,7,0,22,0,4,0,0,3,0,0,0,0,10,3,0,0,0,0,0,0,0,0,7
