POW_SA3_CODE_2021,SS_NS_None_Mng,SS_NS_None_Pro,SS_NS_None_TecTW,SS_NS_None_CoPSW,SS_NS_None_ClAW,SS_NS_None_SWks,SS_NS_None_MaOpDv,SS_NS_None_Lab,SS_NS_None_IDNS,SS_NS_None_Tot,SS_NS_1_15_Mng,SS_NS_1_15_Pro,SS_NS_1_15_TecTW,SS_NS_1_15_CoPSW,SS_NS_1_15_ClAW,SS_NS_1_15_SWks,SS_NS_1_15_MaOpDv,SS_NS_1_15_Lab,SS_NS_1_15_IDNS,SS_NS_1_15_Tot,SS_NS_16_24_Mng,SS_NS_16_24_Pro,SS_NS_16_24_TecTW,SS_NS_16_24_CoPSW,SS_NS_16_24_ClAW,SS_NS_16_24_SWks,SS_NS_16_24_MaOpDv,SS_NS_16_24_Lab,SS_NS_16_24_IDNS,SS_NS_16_24_Tot,SS_NS_25_34_Mng,SS_NS_25_34_Pro,SS_NS_25_34_TecTW,SS_NS_25_34_CoPSW,SS_NS_25_34_ClAW,SS_NS_25_34_SWks,SS_NS_25_34_MaOpDv,SS_NS_25_34_Lab,SS_NS_25_34_IDNS,SS_NS_25_34_Tot,SS_NS_35_39_Mng,SS_NS_35_39_Pro,SS_NS_35_39_TecTW,SS_NS_35_39_CoPSW,SS_NS_35_39_ClAW,SS_NS_35_39_SWks,SS_NS_35_39_MaOpDv,SS_NS_35_39_Lab,SS_NS_35_39_IDNS,SS_NS_35_39_Tot,SS_NS_40_Mng,SS_NS_40_Pro,SS_NS_40_TecTW,SS_NS_40_CoPSW,SS_NS_40_ClAW,SS_NS_40_SWks,SS_NS_40_MaOpDv,SS_NS_40_Lab,SS_NS_40_IDNS,SS_NS_40_Tot,SS_NS_41_48_Mng,SS_NS_41_48_Pro,SS_NS_41_48_TecTW,SS_NS_41_48_CoPSW,SS_NS_41_48_ClAW,SS_NS_41_48_SWks,SS_NS_41_48_MaOpDv,SS_NS_41_48_Lab,SS_NS_41_48_IDNS,SS_NS_41_48_Tot,SS_NS_49ov_Mng,SS_NS_49ov_Pro,SS_NS_49ov_TecTW,SS_NS_49ov_CoPSW,SS_NS_49ov_ClAW,SS_NS_49ov_SWks,SS_NS_49ov_MaOpDv,SS_NS_49ov_Lab,SS_NS_49ov_IDNS,SS_NS_49ov_Tot,SS_NS_NS_Mng,SS_NS_NS_Pro,SS_NS_NS_TecTW,SS_NS_NS_CoPSW,SS_NS_NS_ClAW,SS_NS_NS_SWks,SS_NS_NS_MaOpDv,SS_NS_NS_Lab,SS_NS_NS_IDNS,SS_NS_NS_Tot,SS_NS_Tot_Mng,SS_NS_Tot_Pro,SS_NS_Tot_TecTW,SS_NS_Tot_CoPSW,SS_NS_Tot_ClAW,SS_NS_Tot_SWks,SS_NS_Tot_MaOpDv,SS_NS_Tot_Lab,SS_NS_Tot_Inad_des_Tot,SS_NS_Tot_Tot,Tot_None_Mng,Tot_None_Pro,Tot_None_TecTW,Tot_None_CoPSW,Tot_None_ClAW,Tot_None_SWks,Tot_None_MaOpDv,Tot_None_Lab,Tot_None_IDNS,Tot_None_Tot,Tot_1_15_Mng,Tot_1_15_Pro,Tot_1_15_TecTW,Tot_1_15_CoPSW,Tot_1_15_ClAW,Tot_1_15_SWks,Tot_1_15_MaOpDv,Tot_1_15_Lab,Tot_1_15_IDNS,Tot_1_15_Tot,Tot_16_24_Mng,Tot_16_24_Pro,Tot_16_24_TecTW,Tot_16_24_CoPSW,Tot_16_24_ClAW,Tot_16_24_SWks,Tot_16_24_MaOpDv,Tot_16_24_Lab,Tot_16_24_IDNS,Tot_16_24_Tot,Tot_25_34_Mng,Tot_25_34_Pro,Tot_25_34_TecTW,Tot_25_34_CoPSW,Tot_25_34_ClAW,Tot_25_34_SWks,Tot_25_34_MaOpDv,Tot_25_34_Lab,Tot_25_34_IDNS,Tot_25_34_Tot,Tot_35_39_Mng,Tot_35_39_Pro,Tot_35_39_TecTW,Tot_35_39_CoPSW,Tot_35_39_ClAW,Tot_35_39_SWks,Tot_35_39_MaOpDv,Tot_35_39_Lab,Tot_35_39_IDNS,Tot_35_39_Tot,Tot_40_Mng,Tot_40_Pro,Tot_40_TecTW,Tot_40_CoPSW,Tot_40_ClAW,Tot_40_SWks,Tot_40_MaOpDv,Tot_40_Lab,Tot_40_IDNS,Tot_40_Tot,Tot_41_48_Mng,Tot_41_48_Pro,Tot_41_48_TecTW,Tot_41_48_CoPSW,Tot_41_48_ClAW,Tot_41_48_SWks,Tot_41_48_MaOpDv,Tot_41_48_Lab,Tot_41_48_IDNS,Tot_41_48_Tot,Tot_49ov_Mng,Tot_49ov_Pro,Tot_49ov_TecTW,Tot_49ov_CoPSW,Tot_49ov_ClAW,Tot_49ov_SWks,Tot_49ov_MaOpDv,Tot_49ov_Lab,Tot_49ov_IDNS,Tot_49ov_Tot,Tot_NS_Mng,Tot_NS_Pro,Tot_NS_TecTW,Tot_NS_CoPSW,Tot_NS_ClAW,Tot_NS_SWks,Tot_NS_MaOpDv,Tot_NS_Lab,Tot_NS_IDNS,Tot_NS_Tot,Tot_Tot_Mng,Tot_Tot_Pro,Tot_Tot_TecTW,Tot_Tot_CoPSW,Tot_Tot_ClAW,Tot_Tot_SWks,Tot_Tot_MaOpDv,Tot_Tot_Lab,Tot_Tot_Inad_des_Tot,Tot_Tot_Tot
20101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,7,13,174,16,158,5,91,3,466,23,69,47,517,102,1068,44,551,17,2434,19,22,57,183,68,231,18,123,7,734,15,22,37,115,43,82,3,34,3,361,9,21,155,71,28,26,6,16,0,325,13,24,162,21,5,8,3,8,0,243,8,8,70,11,3,4,0,0,0,106,0,0,45,10,4,4,0,0,0,63,0,0,3,15,5,19,0,9,24,69,88,179,585,1116,271,1610,78,829,60,4811
20102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,39,0,6,3,25,6,83,4,8,7,66,8,91,0,94,0,283,0,4,12,17,3,15,0,15,0,66,0,0,4,9,0,3,0,6,0,19,3,0,18,3,0,0,0,6,0,31,0,3,16,3,0,0,0,0,0,32,0,0,16,0,0,0,0,5,0,17,3,0,4,0,0,0,0,0,0,8,0,0,0,4,0,5,0,3,3,16,18,21,79,138,17,122,9,149,7,551
20103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,11,0,14,0,11,0,49,3,0,9,42,4,87,3,49,0,198,0,0,0,9,3,22,0,11,0,51,0,3,4,7,0,0,0,7,0,21,0,3,14,4,6,3,0,4,0,36,4,0,15,5,0,3,0,4,0,25,0,0,4,4,0,0,0,0,0,12,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,3,0,3,9,19,8,6,53,88,16,133,8,94,8,417
20201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,3,5,14,143,8,106,7,62,0,353,11,49,40,392,77,925,58,600,15,2172,10,19,48,137,54,194,23,99,0,580,7,30,30,88,35,68,9,32,6,286,10,17,146,47,24,24,0,15,3,291,5,17,143,14,13,9,6,0,4,213,4,9,67,5,6,5,0,0,0,96,5,3,31,3,0,0,0,0,0,45,0,0,8,15,0,19,0,12,21,73,64,148,518,842,215,1348,98,811,49,4103
20202,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,6,50,5,19,0,37,5,137,8,5,18,119,10,257,12,197,15,641,0,3,21,31,10,41,0,18,3,132,0,4,15,22,6,11,0,19,0,68,6,4,40,6,5,5,0,4,0,70,0,0,45,6,0,0,0,8,0,65,0,0,21,0,0,0,0,0,0,30,0,0,6,0,0,0,0,0,0,10,0,0,0,9,0,5,0,7,6,30,24,16,166,247,29,346,15,289,30,1170
20203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,11,7,0,4,19,6,29,9,27,0,96,0,0,0,3,0,0,0,7,0,16,6,0,0,0,0,0,0,0,0,10,0,0,3,3,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,3,0,0,3,5,15,4,23,33,0,44,7,37,3,171
20301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,9,0,30,7,4,16,40,8,65,0,72,0,204,3,4,5,16,0,18,4,12,0,65,3,0,0,6,0,3,0,9,0,24,0,0,20,11,0,0,0,0,0,31,0,0,13,3,0,0,0,0,0,18,0,0,3,0,0,0,0,0,0,11,0,0,10,0,0,0,0,0,0,11,0,0,0,0,0,8,0,0,4,10,15,7,70,99,12,88,7,111,3,409
20302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,5,0,0,0,15,6,13,67,333,35,337,21,121,10,935,49,128,142,1014,207,2043,145,1069,33,4821,27,71,97,349,104,437,74,254,16,1436,27,48,56,166,59,153,30,59,3,608,23,38,264,85,63,42,12,34,9,577,11,40,315,46,21,9,8,18,4,469,8,14,132,15,15,3,4,13,0,205,5,3,47,12,4,0,3,3,0,83,5,5,14,20,0,28,0,14,30,114,167,366,1137,2035,512,3059,300,1579,101,9246
20303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,3,12,216,12,87,4,94,3,428,11,23,35,406,28,666,28,431,10,1640,8,11,26,130,24,119,9,74,4,407,8,4,18,60,15,38,5,13,0,157,5,5,93,33,7,16,0,10,0,160,0,0,90,10,4,8,0,8,0,112,3,4,35,0,0,0,0,0,0,48,0,0,5,0,0,0,0,0,0,17,4,4,8,11,0,21,0,5,13,59,34,51,324,876,88,940,45,639,31,3028
20401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,7,92,10,34,0,45,3,188,15,19,29,147,29,280,5,212,9,740,10,7,16,32,9,61,0,49,0,186,4,13,8,30,0,8,0,12,0,86,0,6,43,28,8,8,0,11,0,107,3,3,49,3,3,0,0,7,0,77,8,4,19,13,0,0,9,0,0,53,5,0,10,10,0,0,0,4,0,23,0,0,3,4,3,9,0,7,16,56,42,57,190,363,66,404,24,343,38,1521
