POW_SA3_CODE_2021,M_M2_BusTot_15_24,M_M2_BusTot_25_34,M_M2_BusTot_35_44,M_M2_BusTot_45_54,M_M2_BusTot_55_64,M_M2_BusTot_65_74,M_M2_BusTot_75ov,M_M2_BusTot_Tot,M_M2_Other_M2_15_24,M_M2_Other_M2_25_34,M_M2_Other_M2_35_44,M_M2_Other_M2_45_54,M_M2_Other_M2_55_64,M_M2_Other_M2_65_74,M_M2_Other_M2_75ov,M_M2_Other_M2_Tot,M_M2_Tot_M2_15_24,M_M2_Tot_M2_25_34,M_M2_Tot_M2_35_44,M_M2_Tot_M2_45_54,M_M2_Tot_M2_55_64,M_M2_Tot_M2_65_74,M_M2_Tot_M2_75ov,M_M2_Tot_M2_Tot,M_M3_Trn_and_2_oth_Ms_15_24,M_M3_Trn_and_2_oth_Ms_25_34,M_M3_Trn_and_2_oth_Ms_35_44,M_M3_Trn_and_2_oth_Ms_45_54,M_M3_Trn_and_2_oth_Ms_55_64,M_M3_Trn_and_2_oth_Ms_65_74,M_M3_Trn_and_2_oth_Ms_75ov,M_M3_Trn_and_2_oth_Ms_Tot,M_M3_Bus2othMs_ex_tn_15_24,M_M3_Bus2othMs_ex_tn_25_34,M_M3_Bus2othMs_ex_tn_35_44,M_M3_Bus2othMs_ex_tn_45_54,M_M3_Bus2othMs_ex_tn_55_64,M_M3_Bus2othMs_ex_tn_65_74,M_M3_Bus2othMs_ex_tn_75ov,M_M3_Bus2othMs_ex_tn_Tot,M_M3_Other_M3_15_24,M_M3_Other_M3_25_34,M_M3_Other_M3_35_44,M_M3_Other_M3_45_54,M_M3_Other_M3_55_64,M_M3_Other_M3_65_74,M_M3_Other_M3_75ov,M_M3_Other_M3_Tot,M_M3_Tot_M3_15_24,M_M3_Tot_M3_25_34,M_M3_Tot_M3_35_44,M_M3_Tot_M3_45_54,M_M3_Tot_M3_55_64,M_M3_Tot_M3_65_74,M_M3_Tot_M3_75ov,M_M3_Tot_M3_Tot,M_Wkd_at_home_15_24,M_Wkd_at_home_25_34,M_Wkd_at_home_35_44,M_Wkd_at_home_45_54,M_Wkd_at_home_55_64,M_Wkd_at_home_65_74,M_Wkd_at_home_75ov,M_Wkd_at_home_Tot,M_Did_not_go_to_work_15_24,M_Did_not_go_to_work_25_34,M_Did_not_go_to_work_35_44,M_Did_not_go_to_work_45_54,M_Did_not_go_to_work_55_64,M_Did_not_go_to_work_65_74,M_Did_not_go_to_work_75ov,M_Did_not_go_to_work_Tot,M_MT_NS_15_24,M_MT_NS_25_34,M_MT_NS_35_44,M_MT_NS_45_54,M_MT_NS_55_64,M_MT_NS_65_74,M_MT_NS_75ov,M_MT_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75ov,M_Tot_Tot,F_M1_Train_15_24,F_M1_Train_25_34,F_M1_Train_35_44,F_M1_Train_45_54,F_M1_Train_55_64,F_M1_Train_65_74,F_M1_Train_75ov,F_M1_Train_Tot,F_M1_Bus_15_24,F_M1_Bus_25_34,F_M1_Bus_35_44,F_M1_Bus_45_54,F_M1_Bus_55_64,F_M1_Bus_65_74,F_M1_Bus_75ov,F_M1_Bus_Tot,F_M1_Ferry_15_24,F_M1_Ferry_25_34,F_M1_Ferry_35_44,F_M1_Ferry_45_54,F_M1_Ferry_55_64,F_M1_Ferry_65_74,F_M1_Ferry_75ov,F_M1_Ferry_Tot,F_M1_Tram_or_LR_15_24,F_M1_Tram_or_LR_25_34,F_M1_Tram_or_LR_35_44,F_M1_Tram_or_LR_45_54,F_M1_Tram_or_LR_55_64,F_M1_Tram_or_LR_65_74,F_M1_Tram_or_LR_75ov,F_M1_Tram_or_LR_Tot,F_M1_Taxi_or_RSS_15_24,F_M1_Taxi_or_RSS_25_34,F_M1_Taxi_or_RSS_35_44,F_M1_Taxi_or_RSS_45_54,F_M1_Taxi_or_RSS_55_64,F_M1_Taxi_or_RSS_65_74,F_M1_Taxi_or_RSS_75ov,F_M1_Taxi_or_RSS_Tot,F_M1_CarAsDriv_15_24,F_M1_CarAsDriv_25_34,F_M1_CarAsDriv_35_44,F_M1_CarAsDriv_45_54,F_M1_CarAsDriv_55_64,F_M1_CarAsDriv_65_74,F_M1_CarAsDriv_75ov,F_M1_CarAsDriv_Tot,F_M1_CarAsPas_15_24,F_M1_CarAsPas_25_34,F_M1_CarAsPas_35_44,F_M1_CarAsPas_45_54,F_M1_CarAsPas_55_64,F_M1_CarAsPas_65_74,F_M1_CarAsPas_75ov,F_M1_CarAsPas_Tot,F_M1_Truck_15_24,F_M1_Truck_25_34,F_M1_Truck_35_44,F_M1_Truck_45_54,F_M1_Truck_55_64,F_M1_Truck_65_74,F_M1_Truck_75ov,F_M1_Truck_Tot,F_M1_MBikeScoot_15_24,F_M1_MBikeScoot_25_34,F_M1_MBikeScoot_35_44,F_M1_MBikeScoot_45_54,F_M1_MBikeScoot_55_64,F_M1_MBikeScoot_65_74,F_M1_MBikeScoot_75ov,F_M1_MBikeScoot_Tot,F_M1_Bicycle_15_24,F_M1_Bicycle_25_34,F_M1_Bicycle_35_44,F_M1_Bicycle_45_54,F_M1_Bicycle_55_64,F_M1_Bicycle_65_74,F_M1_Bicycle_75ov,F_M1_Bicycle_Tot,F_M1_Other_15_24,F_M1_Other_25_34,F_M1_Other_35_44,F_M1_Other_45_54,F_M1_Other_55_64,F_M1_Other_65_74,F_M1_Other_75ov,F_M1_Other_Tot,F_M1_WlkOnly_15_24,F_M1_WlkOnly_25_34,F_M1_WlkOnly_35_44,F_M1_WlkOnly_45_54,F_M1_WlkOnly_55_64,F_M1_WlkOnly_65_74,F_M1_WlkOnly_75ov,F_M1_WlkOnly_Tot,F_M1_Tot_M1_15_24,F_M1_Tot_M1_25_34,F_M1_Tot_M1_35_44,F_M1_Tot_M1_45_54,F_M1_Tot_M1_55_64,F_M1_Tot_M1_65_74,F_M1_Tot_M1_75ov,F_M1_Tot_M1_Tot,F_M2_TrnBus_15_24,F_M2_TrnBus_25_34,F_M2_TrnBus_35_44,F_M2_TrnBus_45_54,F_M2_TrnBus_55_64,F_M2_TrnBus_65_74,F_M2_TrnBus_75ov,F_M2_TrnBus_Tot
20101,10,5,0,0,4,5,0,20,63,35,23,15,17,9,0,166,79,45,33,22,25,12,0,214,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,3,34,32,17,14,8,0,0,96,35,38,18,16,10,0,0,108,104,532,757,758,513,208,34,2901,709,393,293,328,329,143,18,2205,37,38,15,17,29,10,12,158,4307,5733,5086,5129,4157,1215,134,25759,6,12,9,7,0,0,0,36,81,37,20,17,12,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,13,13,7,4,0,85,2424,3720,3512,3800,2976,512,22,16965,773,205,128,140,124,41,0,1421,0,0,0,3,0,0,0,5,3,5,0,0,0,0,0,11,5,14,17,13,14,0,0,64,6,8,10,5,8,3,0,43,120,132,84,124,134,27,0,627,3443,4163,3793,4121,3274,593,23,19421,0,0,0,4,0,0,0,8
20102,0,0,0,0,0,0,0,4,7,5,0,5,5,0,0,28,3,8,0,7,12,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,3,0,0,0,8,26,45,152,211,244,154,79,911,98,64,68,51,71,38,6,393,5,0,4,8,12,0,3,37,552,717,819,884,896,406,146,4425,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,255,408,396,557,481,80,7,2186,106,26,25,23,18,0,4,199,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,11,0,0,0,7,5,0,0,16,13,25,28,28,64,23,4,187,373,467,454,627,575,109,20,2620,0,0,0,0,0,0,0,0
20103,0,0,0,0,0,0,0,3,3,5,7,3,7,7,0,28,3,5,7,3,11,7,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,8,0,3,4,0,0,0,0,10,17,33,56,95,135,89,28,459,67,38,39,53,57,30,4,290,5,10,7,5,14,9,5,48,504,604,607,769,814,355,91,3751,3,5,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,227,379,401,555,494,129,7,2188,82,26,23,24,19,14,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,7,0,0,0,3,8,0,0,10,34,32,22,36,40,22,5,188,356,439,447,616,562,164,16,2602,3,0,0,0,0,0,0,6
20201,21,11,4,0,0,0,0,33,32,25,24,13,13,5,0,115,57,39,32,18,22,8,0,168,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,6,11,8,11,9,6,0,0,42,11,16,11,13,6,0,0,49,99,445,635,629,454,175,32,2469,585,279,262,223,298,141,15,1807,22,26,22,17,26,18,9,132,3720,4721,4369,4239,3567,1064,116,21799,6,0,4,0,6,0,0,20,97,39,25,13,13,7,0,193,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,16,7,4,0,0,0,30,2187,3269,3254,3268,2672,465,27,15147,679,184,115,129,117,26,7,1265,0,0,0,0,4,0,0,6,4,5,5,0,3,0,0,15,4,20,24,28,16,0,0,96,4,8,19,6,6,0,0,49,109,133,83,96,110,16,5,559,3094,3678,3539,3554,2953,528,35,17387,0,0,0,0,0,0,0,3
20202,0,0,0,0,0,0,0,4,6,17,7,17,9,4,0,55,18,21,7,20,11,4,0,87,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,9,7,3,3,0,0,0,0,14,24,98,264,369,338,228,92,1411,200,111,115,127,176,71,6,814,12,5,8,14,9,4,5,64,1243,1696,1744,1965,1810,726,171,9359,7,9,3,9,10,0,0,35,9,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,6,508,807,947,1269,1057,219,7,4827,190,64,38,46,44,14,0,410,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,6,6,10,17,7,0,0,44,0,4,6,4,3,4,0,15,62,48,42,60,64,28,8,324,785,951,1045,1417,1190,269,21,5675,6,4,0,0,0,0,0,3
20203,0,0,0,0,0,0,0,0,0,6,0,5,5,0,0,8,0,6,0,0,5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,3,0,0,0,0,0,0,5,12,24,69,78,102,87,34,414,22,46,48,47,34,10,8,220,9,0,0,4,5,0,4,33,240,470,549,573,569,257,81,2742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,131,131,171,181,44,0,733,28,11,5,13,13,3,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,12,17,10,13,14,44,28,5,137,119,162,158,205,245,78,8,974,0,0,0,0,0,0,0,0
20301,0,0,0,0,0,0,0,0,6,0,0,5,4,0,0,13,6,0,0,5,4,0,0,13,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,24,53,66,107,133,94,37,512,54,19,22,28,18,13,8,158,0,7,7,0,3,0,0,18,363,428,447,515,418,231,73,2483,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,280,292,285,215,40,0,1327,69,7,9,5,3,3,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,3,0,0,0,0,6,0,0,3,14,8,18,23,30,10,3,101,304,299,319,318,252,55,9,1546,0,0,0,0,0,0,0,0
20302,27,24,7,8,6,3,0,80,69,81,52,53,32,9,0,303,107,139,86,77,46,18,0,471,10,9,5,4,0,0,0,34,7,7,5,0,0,0,0,23,43,53,44,18,13,7,0,170,69,69,48,26,14,7,0,231,233,1418,1976,1636,1128,437,82,6902,1250,686,628,544,609,277,22,4012,48,56,50,44,28,13,18,257,7761,11742,10771,9793,7690,2253,308,50316,29,61,28,14,9,0,0,146,211,161,88,54,61,11,0,585,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,45,37,33,10,14,0,0,136,4241,7022,6313,6780,5059,936,47,30394,1290,412,221,233,241,70,3,2465,0,0,0,4,0,0,0,7,8,7,5,4,3,0,0,30,17,43,30,50,29,8,0,177,12,31,33,31,14,10,0,126,244,244,155,212,201,49,7,1107,6089,8020,6909,7393,5624,1088,57,35180,15,22,7,3,0,0,0,50
20303,3,0,0,0,0,0,0,8,30,13,11,13,9,0,4,78,35,15,11,19,9,0,4,88,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,14,8,0,6,0,0,0,0,15,46,227,460,511,491,333,71,2130,470,201,155,120,163,87,13,1213,25,15,9,8,10,9,4,76,2239,2244,2163,2018,1752,798,144,11356,0,0,4,0,0,0,0,3,19,13,10,0,3,0,0,51,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,12,1144,1358,1409,1495,1163,229,24,6825,388,78,49,33,28,12,3,581,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,9,8,17,8,20,0,0,59,6,6,3,11,0,5,0,30,91,52,58,78,79,21,3,390,1669,1523,1553,1627,1298,264,31,7965,3,0,0,0,0,0,0,9
20401,4,4,0,0,0,4,0,10,23,16,26,7,11,4,0,91,29,23,30,17,15,3,0,113,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,4,0,0,16,9,0,4,0,4,0,0,19,53,139,191,315,319,316,150,1489,236,140,124,128,173,78,23,898,7,7,16,19,17,17,10,98,1734,2015,1886,2138,2128,1063,296,11261,3,0,0,0,0,0,0,7,8,4,4,3,5,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,4,0,0,0,11,676,1161,1312,1594,1367,325,14,6451,232,75,43,43,47,13,3,458,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,5,3,8,9,10,13,0,0,41,14,16,13,9,12,8,0,71,216,150,93,119,141,50,5,775,1154,1417,1476,1781,1595,397,32,7848,4,0,0,0,0,0,0,4
