POW_SA4_CODE_2021,P_EWFT_35_39_ES_NS,P_EWFT_35_39_Tot,P_EWFT_40_44_E,P_EWFT_40_44_OM_IE,P_EWFT_40_44_OM_UIE,P_EWFT_40_44_CFW,P_EWFT_40_44_ES_NS,P_EWFT_40_44_Tot,P_EWFT_45_49_E,P_EWFT_45_49_OM_IE,P_EWFT_45_49_OM_UIE,P_EWFT_45_49_CFW,P_EWFT_45_49_ES_NS,P_EWFT_45_49_Tot,P_EWFT_50_54_E,P_EWFT_50_54_OM_IE,P_EWFT_50_54_OM_UIE,P_EWFT_50_54_CFW,P_EWFT_50_54_ES_NS,P_EWFT_50_54_Tot,P_EWFT_55_59_E,P_EWFT_55_59_OM_IE,P_EWFT_55_59_OM_UIE,P_EWFT_55_59_CFW,P_EWFT_55_59_ES_NS,P_EWFT_55_59_Tot,P_EWFT_60_64_E,P_EWFT_60_64_OM_IE,P_EWFT_60_64_OM_UIE,P_EWFT_60_64_CFW,P_EWFT_60_64_ES_NS,P_EWFT_60_64_Tot,P_EWFT_65_69_E,P_EWFT_65_69_OM_IE,P_EWFT_65_69_OM_UIE,P_EWFT_65_69_CFW,P_EWFT_65_69_ES_NS,P_EWFT_65_69_Tot,P_EWFT_70_74_E,P_EWFT_70_74_OM_IE,P_EWFT_70_74_OM_UIE,P_EWFT_70_74_CFW,P_EWFT_70_74_ES_NS,P_EWFT_70_74_Tot,P_EWFT_75ov_E,P_EWFT_75ov_OM_IE,P_EWFT_75ov_OM_UIE,P_EWFT_75ov_CFW,P_EWFT_75ov_ES_NS,P_EWFT_75ov_Tot,P_EWFT_Tot_E,P_EWFT_Tot_OM_IE,P_EWFT_Tot_OM_UIE,P_EWFT_Tot_CFW,P_EWFT_Tot_ES_NS,P_EWFT_Tot_Tot,P_EWPT_15_19_E,P_EWPT_15_19_OM_IE,P_EWPT_15_19_OM_UIE,P_EWPT_15_19_CFW,P_EWPT_15_19_ES_NS,P_EWPT_15_19_Tot,P_EWPT_20_24_E,P_EWPT_20_24_OM_IE,P_EWPT_20_24_OM_UIE,P_EWPT_20_24_CFW,P_EWPT_20_24_ES_NS,P_EWPT_20_24_Tot,P_EWPT_25_29_E,P_EWPT_25_29_OM_IE,P_EWPT_25_29_OM_UIE,P_EWPT_25_29_CFW,P_EWPT_25_29_ES_NS,P_EWPT_25_29_Tot,P_EWPT_30_34_E,P_EWPT_30_34_OM_IE,P_EWPT_30_34_OM_UIE,P_EWPT_30_34_CFW,P_EWPT_30_34_ES_NS,P_EWPT_30_34_Tot,P_EWPT_35_39_E,P_EWPT_35_39_OM_IE,P_EWPT_35_39_OM_UIE,P_EWPT_35_39_CFW,P_EWPT_35_39_ES_NS,P_EWPT_35_39_Tot,P_EWPT_40_44_E,P_EWPT_40_44_OM_IE,P_EWPT_40_44_OM_UIE,P_EWPT_40_44_CFW,P_EWPT_40_44_ES_NS,P_EWPT_40_44_Tot,P_EWPT_45_49_E,P_EWPT_45_49_OM_IE,P_EWPT_45_49_OM_UIE,P_EWPT_45_49_CFW,P_EWPT_45_49_ES_NS,P_EWPT_45_49_Tot,P_EWPT_50_54_E,P_EWPT_50_54_OM_IE,P_EWPT_50_54_OM_UIE,P_EWPT_50_54_CFW,P_EWPT_50_54_ES_NS,P_EWPT_50_54_Tot,P_EWPT_55_59_E,P_EWPT_55_59_OM_IE,P_EWPT_55_59_OM_UIE,P_EWPT_55_59_CFW,P_EWPT_55_59_ES_NS,P_EWPT_55_59_Tot,P_EWPT_60_64_E,P_EWPT_60_64_OM_IE,P_EWPT_60_64_OM_UIE,P_EWPT_60_64_CFW,P_EWPT_60_64_ES_NS,P_EWPT_60_64_Tot,P_EWPT_65_69_E,P_EWPT_65_69_OM_IE,P_EWPT_65_69_OM_UIE,P_EWPT_65_69_CFW,P_EWPT_65_69_ES_NS,P_EWPT_65_69_Tot,P_EWPT_70_74_E,P_EWPT_70_74_OM_IE,P_EWPT_70_74_OM_UIE,P_EWPT_70_74_CFW,P_EWPT_70_74_ES_NS,P_EWPT_70_74_Tot,P_EWPT_75ov_E,P_EWPT_75ov_OM_IE,P_EWPT_75ov_OM_UIE,P_EWPT_75ov_CFW,P_EWPT_75ov_ES_NS,P_EWPT_75ov_Tot,P_EWPT_Tot_E,P_EWPT_Tot_OM_IE,P_EWPT_Tot_OM_UIE,P_EWPT_Tot_CFW,P_EWPT_Tot_ES_NS,P_EWPT_Tot_Tot,P_EAFW_E,P_EAFW_OM_IE,P_EAFW_OM_UIE,P_EAFW_CFW,P_EAFW_ES_NS,P_EAFW_Tot,P_H_NS_E,P_H_NS_OM_IE,P_H_NS_OM_UIE,P_H_NS_CFW,P_H_NS_ES_NS,P_H_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
201,18,4021,3394,452,272,53,21,4191,3633,525,336,67,30,4586,3557,535,316,66,34,4519,3009,456,300,84,36,3884,1965,342,270,86,37,2704,565,164,165,51,23,962,100,72,94,47,11,322,21,44,55,38,11,159,30998,3420,2519,573,258,37767,3184,10,5,36,15,3245,2829,3,68,12,9,2919,2103,27,113,22,10,2275,2026,70,170,35,15,2311,2116,128,214,46,16,2518,1936,134,201,62,8,2339,1937,148,236,57,17,2400,1868,145,239,52,19,2318,1957,165,263,70,24,2479,1757,140,287,91,32,2303,856,124,207,69,16,1275,298,93,113,76,13,595,84,49,77,86,7,298,22960,1227,2193,709,193,27284,3485,124,247,78,54,3989,818,55,80,62,130,1151,58254,4830,5039,1426,643,70192
202,24,4043,3388,410,313,32,21,4169,3768,491,329,56,22,4660,3536,482,377,57,31,4487,3050,402,328,62,40,3876,2046,300,280,75,30,2723,624,187,174,60,17,1056,96,66,69,49,7,292,19,49,61,37,12,181,31415,3032,2552,490,238,37727,3269,7,12,27,6,3325,2598,7,62,13,8,2690,1876,26,106,16,6,2031,1972,63,171,32,6,2243,2138,95,237,48,12,2528,1985,128,233,44,15,2402,1858,114,270,35,17,2289,1881,157,264,49,25,2369,1971,139,296,67,26,2497,1835,145,312,70,25,2394,901,117,234,76,22,1349,270,85,158,82,15,595,85,47,88,75,16,303,22633,1111,2428,634,200,27010,3376,105,212,89,46,3836,829,52,69,74,127,1154,58256,4308,5263,1292,612,69726
203,43,8722,6701,882,479,51,44,8160,7063,1021,521,73,35,8722,6528,947,516,60,41,8086,5419,769,439,75,42,6747,3347,519,361,61,38,4323,997,271,176,46,15,1501,166,131,81,41,9,423,54,57,49,39,7,209,60303,6341,3981,537,376,71543,6293,17,35,38,13,6389,6400,20,151,25,15,6609,4285,61,314,34,11,4699,3874,173,457,69,10,4588,4286,249,512,94,24,5170,3872,264,519,95,25,4775,3719,299,510,102,27,4656,3375,304,494,75,30,4272,3528,307,481,90,24,4429,3046,291,510,108,31,3986,1582,265,366,118,22,2346,508,165,247,110,15,1042,192,70,110,82,11,463,44947,2479,4710,1034,260,53422,6674,248,469,130,78,7592,1499,104,128,79,208,2016,113427,9175,9282,1774,911,134572
204,24,4315,3604,455,318,72,32,4478,4003,534,410,87,42,5072,4015,619,463,111,48,5257,3586,547,446,141,45,4766,2444,456,448,137,42,3525,820,239,337,138,35,1564,154,114,209,144,19,642,42,71,179,106,30,430,34769,3793,3638,1021,388,43610,3223,5,12,40,18,3299,2341,13,34,9,9,2409,1918,28,99,9,9,2063,1928,71,154,37,11,2192,2011,97,219,47,22,2390,1854,125,221,53,16,2276,1931,131,237,62,19,2387,1981,169,242,69,18,2488,2079,164,291,95,30,2659,2088,201,376,133,39,2841,1116,134,330,175,29,1783,412,95,238,178,17,937,141,49,165,171,26,558,23033,1279,2608,1092,262,28269,3774,156,347,135,69,4480,1109,72,131,113,155,1584,62677,5306,6728,2359,874,77944
205,57,6385,4970,620,541,76,55,6264,5385,732,671,89,83,6958,5549,794,660,115,81,7202,4976,650,692,141,71,6531,3308,512,666,178,72,4736,1019,301,435,164,55,1966,188,155,260,141,29,765,42,88,163,120,29,445,48243,4994,5469,1171,650,60529,4853,11,28,54,28,4968,3382,4,97,26,21,3529,2773,35,209,36,11,3073,3005,106,303,71,25,3509,3309,168,372,90,33,3969,2931,148,312,82,37,3508,3041,190,379,94,47,3745,3253,241,452,102,35,4087,3411,213,479,130,44,4280,3287,273,562,166,71,4356,1576,234,450,213,51,2535,568,143,293,145,36,1186,188,74,237,197,39,729,35583,1838,4167,1413,470,43471,5653,221,477,167,131,6648,1647,119,224,144,304,2438,91127,7170,10341,2895,1556,113091
206,132,86764,66051,3899,1806,174,105,72037,53930,3859,1826,163,119,59903,44390,3777,1650,182,96,50092,31643,3032,1393,137,91,36303,18232,1926,945,119,72,21297,6167,1109,581,82,31,7967,1497,578,296,54,15,2442,294,239,156,39,16,740,491663,25598,13435,1335,897,532930,9851,22,116,59,21,10073,29543,176,717,77,53,30558,24425,386,1316,82,67,26277,21608,738,1671,196,82,24288,21001,1031,1605,263,77,23976,16328,1041,1355,246,54,19026,12743,1060,1314,221,60,15400,11008,1046,1209,229,44,13534,9318,947,1102,236,66,11670,7981,922,1074,207,47,10226,4583,734,823,218,31,6385,1989,580,543,181,23,3321,736,341,351,169,27,1625,171110,9017,13199,2384,656,196361,35769,935,1437,390,360,38895,8193,602,506,346,869,10515,706740,36145,28580,4458,2777,778703
207,12,10969,8196,1114,415,80,23,9823,8089,1337,509,100,31,10065,7685,1411,546,94,30,9767,6057,1175,472,65,30,7793,3909,795,376,55,13,5139,1281,407,233,20,12,1957,325,194,83,12,3,622,84,102,37,14,0,244,70557,8454,3847,619,193,83674,5867,10,102,33,4,6014,8816,46,286,29,16,9194,5065,109,365,41,15,5598,4328,312,414,107,8,5160,4344,457,540,168,13,5526,3882,494,514,170,21,5084,3876,595,546,175,11,5210,3834,568,595,160,13,5169,3608,529,563,118,29,4851,3094,505,558,130,23,4305,1742,443,403,102,19,2708,749,310,308,100,15,1477,352,192,212,111,4,877,49564,4568,5410,1447,192,61187,6406,355,481,138,70,7446,1480,156,137,95,177,2045,128008,13540,9872,2298,636,154349
208,30,11084,8096,1496,588,101,37,10317,8752,1825,771,109,40,11502,8427,1944,814,105,29,11321,6750,1635,702,92,37,9209,4262,1103,526,84,35,6007,1576,629,294,48,10,2557,388,308,139,38,3,871,73,148,58,21,3,303,74316,11489,5342,767,282,92195,7558,11,79,37,12,7694,10473,35,304,27,28,10870,5508,107,385,24,16,6035,4351,236,489,92,17,5179,4411,471,660,124,23,5689,3946,526,752,149,16,5397,4149,643,805,146,17,5770,4172,673,866,171,24,5910,3872,620,727,158,28,5398,3342,620,745,159,20,4882,1914,512,532,163,16,3137,889,381,360,148,19,1796,348,247,197,135,20,940,54929,5089,6888,1530,256,68695,7360,373,682,144,92,8648,1867,196,173,93,239,2568,138469,17147,13086,2537,866,172105
209,36,11558,8646,1368,678,86,37,10807,8819,1411,656,81,27,10997,8381,1450,628,80,38,10576,6872,1172,577,79,47,8755,4505,807,390,65,31,5793,1602,430,202,39,18,2295,306,182,99,19,8,612,67,98,41,10,3,221,77517,9464,5125,629,340,93077,7531,23,75,34,13,7683,8840,62,306,37,17,9270,5360,140,491,60,24,6082,5350,299,696,102,24,6476,5511,455,825,142,23,6955,4808,499,774,146,33,6256,4730,451,723,112,36,6042,4435,462,674,112,44,5723,4050,460,558,114,34,5224,3412,464,548,125,41,4594,1774,322,367,95,25,2569,602,193,184,62,15,1053,256,129,102,59,3,549,56666,3952,6327,1195,329,68472,7353,371,691,157,77,8656,2177,232,195,103,285,2997,143711,14023,12348,2080,1038,173204
210,57,13101,9803,1218,552,79,39,11688,9770,1278,530,73,44,11698,9688,1316,533,98,48,11672,7944,1143,465,56,41,9647,4969,709,298,40,34,6052,1658,326,125,40,17,2157,295,127,57,21,8,512,81,73,37,16,6,215,85541,8802,4180,550,395,99474,5531,17,41,40,16,5642,6797,60,234,32,21,7144,4530,165,425,43,27,5189,4237,258,538,118,26,5175,4242,388,648,137,39,5463,3797,374,534,115,36,4854,3748,361,503,114,28,4757,3601,398,481,110,31,4625,3143,364,426,102,28,4075,2500,335,362,80,30,3303,1193,198,219,89,16,1719,422,147,108,58,8,757,160,88,57,38,6,346,43902,3168,4581,1082,308,53044,6651,329,546,133,114,7771,2538,280,233,102,258,3410,138639,12578,9541,1872,1078,163696
