POW_SA4_CODE_2021,M_NegNilInc_E,M_NegNilInc_OM_IE,M_NegNilInc_OM_UIE,M_NegNilInc_CFW,M_NegNilInc_ES_NS,M_NegNilInc_Tot,M_1_149_E,M_1_149_OM_IE,M_1_149_OM_UIE,M_1_149_CFW,M_1_149_ES_NS,M_1_149_Tot,M_150_299_E,M_150_299_OM_IE,M_150_299_OM_UIE,M_150_299_CFW,M_150_299_ES_NS,M_150_299_Tot,M_300_399_E,M_300_399_OM_IE,M_300_399_OM_UIE,M_300_399_CFW,M_300_399_ES_NS,M_300_399_Tot,M_400_499_E,M_400_499_OM_IE,M_400_499_OM_UIE,M_400_499_CFW,M_400_499_ES_NS,M_400_499_Tot,M_500_649_E,M_500_649_OM_IE,M_500_649_OM_UIE,M_500_649_CFW,M_500_649_ES_NS,M_500_649_Tot,M_650_799_E,M_650_799_OM_IE,M_650_799_OM_UIE,M_650_799_CFW,M_650_799_ES_NS,M_650_799_Tot,M_800_999_E,M_800_999_OM_IE,M_800_999_OM_UIE,M_800_999_CFW,M_800_999_ES_NS,M_800_999_Tot,M_1000_1249_E,M_1000_1249_OM_IE,M_1000_1249_OM_UIE,M_1000_1249_CFW,M_1000_1249_ES_NS,M_1000_1249_Tot,M_1250_1499_E,M_1250_1499_OM_IE,M_1250_1499_OM_UIE,M_1250_1499_CFW,M_1250_1499_ES_NS,M_1250_1499_Tot,M_1500_1749_E,M_1500_1749_OM_IE,M_1500_1749_OM_UIE,M_1500_1749_CFW,M_1500_1749_ES_NS,M_1500_1749_Tot,M_1750_1999_E,M_1750_1999_OM_IE,M_1750_1999_OM_UIE,M_1750_1999_CFW,M_1750_1999_ES_NS,M_1750_1999_Tot,M_2000_2999_E,M_2000_2999_OM_IE,M_2000_2999_OM_UIE,M_2000_2999_CFW,M_2000_2999_ES_NS,M_2000_2999_Tot,M_3000_3499_E,M_3000_3499_OM_IE,M_3000_3499_OM_UIE,M_3000_3499_CFW,M_3000_3499_ES_NS,M_3000_3499_Tot,M_3500mo_E,M_3500mo_OM_IE,M_3500mo_OM_UIE,M_3500mo_CFW,M_3500mo_ES_NS,M_3500mo_Tot,M_PersInc_NS_E,M_PersInc_NS_OM_IE,M_PersInc_NS_OM_UIE,M_PersInc_NS_CFW,M_PersInc_NS_ES_NS,M_PersInc_NS_Tot,M_Tot_E,M_Tot_OM_IE,M_Tot_OM_UIE,M_Tot_CFW,M_Tot_ES_NS,M_Tot_Tot,F_NegNilInc_E,F_NegNilInc_OM_IE,F_NegNilInc_OM_UIE,F_NegNilInc_CFW,F_NegNilInc_ES_NS,F_NegNilInc_Tot,F_1_149_E,F_1_149_OM_IE,F_1_149_OM_UIE,F_1_149_CFW,F_1_149_ES_NS,F_1_149_Tot,F_150_299_E,F_150_299_OM_IE,F_150_299_OM_UIE,F_150_299_CFW,F_150_299_ES_NS,F_150_299_Tot,F_300_399_E,F_300_399_OM_IE,F_300_399_OM_UIE,F_300_399_CFW,F_300_399_ES_NS,F_300_399_Tot,F_400_499_E,F_400_499_OM_IE,F_400_499_OM_UIE,F_400_499_CFW,F_400_499_ES_NS,F_400_499_Tot,F_500_649_E,F_500_649_OM_IE,F_500_649_OM_UIE,F_500_649_CFW,F_500_649_ES_NS,F_500_649_Tot,F_650_799_E,F_650_799_OM_IE,F_650_799_OM_UIE,F_650_799_CFW,F_650_799_ES_NS,F_650_799_Tot,F_800_999_E,F_800_999_OM_IE,F_800_999_OM_UIE,F_800_999_CFW,F_800_999_ES_NS,F_800_999_Tot,F_1000_1249_E,F_1000_1249_OM_IE,F_1000_1249_OM_UIE,F_1000_1249_CFW,F_1000_1249_ES_NS,F_1000_1249_Tot,F_1250_1499_E,F_1250_1499_OM_IE,F_1250_1499_OM_UIE,F_1250_1499_CFW,F_1250_1499_ES_NS,F_1250_1499_Tot,F_1500_1749_E,F_1500_1749_OM_IE,F_1500_1749_OM_UIE,F_1500_1749_CFW,F_1500_1749_ES_NS,F_1500_1749_Tot,F_1750_1999_E,F_1750_1999_OM_IE,F_1750_1999_OM_UIE,F_1750_1999_CFW,F_1750_1999_ES_NS,F_1750_1999_Tot,F_2000_2999_E,F_2000_2999_OM_IE,F_2000_2999_OM_UIE,F_2000_2999_CFW,F_2000_2999_ES_NS,F_2000_2999_Tot,F_3000_3499_E,F_3000_3499_OM_IE,F_3000_3499_OM_UIE,F_3000_3499_CFW,F_3000_3499_ES_NS,F_3000_3499_Tot,F_3500mo_E,F_3500mo_OM_IE,F_3500mo_OM_UIE,F_3500mo_CFW,F_3500mo_ES_NS,F_3500mo_Tot,F_PersInc_NS_E,F_PersInc_NS_OM_IE,F_PersInc_NS_OM_UIE,F_PersInc_NS_CFW,F_PersInc_NS_ES_NS,F_PersInc_NS_Tot,F_Tot_E,F_Tot_OM_IE
201,72,10,40,105,15,234,882,20,37,28,15,975,674,34,69,61,12,848,559,60,152,68,20,864,823,86,182,53,22,1159,1444,170,263,74,33,1990,2039,218,309,57,38,2662,3593,340,347,63,43,4383,4352,390,367,49,49,5207,3152,354,291,41,39,3872,2519,387,250,32,29,3212,1917,256,169,16,14,2368,3065,442,181,27,17,3727,534,165,63,11,3,770,624,439,186,18,10,1276,238,47,39,21,29,378,26466,3407,2957,728,381,33937,83,4,24,116,6,231,1311,10,73,53,14,1456,1248,38,107,68,14,1484,1354,67,172,65,21,1685,1768,71,188,68,28,2124,3173,109,272,72,35,3661,3895,153,252,65,21,4383,4548,150,218,40,31,4980,4653,156,231,39,29,5108,3017,132,130,32,18,3327,2508,124,96,20,7,2758,1522,77,79,15,3,1697,1946,142,100,13,11,2211,241,55,50,0,0,349,279,119,67,10,5,482,244,18,20,22,19,323,31794,1418
202,81,17,25,95,7,230,904,13,36,29,5,986,634,20,70,37,12,776,519,41,152,57,23,784,753,65,197,47,26,1086,1370,134,284,57,31,1866,2095,157,300,44,35,2640,3739,254,369,51,45,4464,4337,374,388,46,37,5187,3026,332,306,30,32,3715,2828,321,253,38,26,3470,2012,222,176,18,10,2440,3238,426,245,32,19,3966,541,161,56,4,5,771,618,362,124,14,10,1128,258,32,41,25,44,391,26962,2932,3025,622,366,33905,88,6,25,101,0,230,1244,9,73,56,16,1402,1233,26,148,69,11,1484,1219,36,165,69,22,1516,1676,57,187,52,26,1998,3113,108,277,60,37,3599,3851,117,275,56,30,4327,4519,150,254,43,30,4993,4325,172,243,44,15,4798,3125,127,139,24,17,3435,2566,138,117,28,11,2852,1669,90,100,12,5,1872,1894,147,133,17,4,2194,237,61,27,10,0,336,274,113,57,14,0,462,254,16,22,20,17,328,31293,1374
203,138,29,51,109,8,330,1800,16,68,38,10,1939,1412,30,128,55,7,1645,1202,71,194,68,25,1562,1573,131,253,52,33,2037,2575,221,380,56,41,3284,3549,318,434,59,39,4398,5785,470,574,62,49,6936,7569,707,757,66,58,9153,5687,663,557,51,51,7012,5089,796,506,41,39,6475,4034,592,330,26,20,5002,7223,1051,457,49,34,8815,1282,358,118,10,18,1782,1750,912,349,36,18,3067,498,81,45,12,77,723,51178,6450,5194,788,545,64153,199,14,55,168,11,451,2645,24,156,69,18,2911,2551,56,254,81,9,2959,2737,90,296,81,23,3214,3532,106,312,103,34,4091,5789,177,428,88,45,6531,7084,205,445,79,39,7850,8338,260,467,54,45,9163,8451,329,423,55,38,9294,6348,267,322,41,26,7000,5052,273,263,44,21,5651,3331,176,153,26,12,3698,4422,305,240,32,14,5012,533,124,65,15,3,737,729,287,169,28,10,1226,514,32,37,18,33,632,62250,2720
204,85,30,48,163,12,338,969,14,49,48,13,1105,609,42,121,81,17,869,571,62,160,100,26,920,825,97,218,108,25,1271,1492,191,319,126,54,2178,2305,238,426,94,52,3118,4097,349,508,97,61,5115,5397,487,563,103,72,6625,3824,386,432,58,38,4739,3203,383,357,49,32,4029,2238,270,221,32,15,2787,3286,420,326,40,29,4102,426,159,81,18,5,690,522,336,176,37,9,1081,293,46,66,44,46,493,30143,3505,4065,1219,519,39451,100,6,34,172,3,315,1332,13,77,75,17,1499,1237,27,161,112,27,1569,1281,65,201,107,26,1684,1696,81,236,106,33,2153,3352,135,325,106,50,3973,4310,178,285,103,41,4924,4868,205,318,70,34,5493,4607,247,309,79,39,5277,3128,160,175,53,22,3542,2452,152,151,41,18,2804,1566,114,90,17,8,1798,1910,185,139,26,6,2262,205,74,46,6,3,324,227,121,86,20,10,468,269,25,34,44,27,401,32539,1800
205,123,33,84,216,18,475,1400,16,76,95,25,1608,961,54,176,93,31,1306,842,97,289,141,37,1415,1216,139,370,106,57,1882,2242,250,519,130,87,3226,3223,325,588,124,97,4352,5253,475,722,120,94,6664,6245,685,807,114,109,7953,4660,512,616,63,56,5910,4180,537,557,49,59,5391,3116,370,344,31,50,3915,5262,611,400,49,50,6371,1123,182,135,16,19,1476,1603,472,280,32,31,2417,524,78,123,52,80,863,41969,4843,6096,1431,886,55220,188,19,54,244,13,514,2096,17,163,108,35,2407,2080,60,253,122,51,2569,2214,84,317,155,52,2820,3069,103,389,133,68,3760,5440,198,493,139,82,6351,6614,207,515,111,77,7523,7080,284,479,94,69,8004,6530,299,420,89,57,7396,4333,221,332,44,36,4968,3570,209,227,37,38,4084,2186,158,141,36,16,2533,2616,207,206,36,19,3089,317,74,57,18,4,472,338,164,130,27,10,676,494,35,81,55,51,707,49164,2326
206,812,178,147,350,31,1522,3108,95,200,92,23,3513,3986,147,323,89,34,4571,4620,282,467,146,53,5577,5917,365,609,136,74,7102,9887,685,980,177,91,11826,13190,1045,1154,167,103,15664,21086,1464,1469,202,157,24381,32967,2020,1837,222,152,37192,32935,1839,1383,118,104,36380,34992,2303,1249,120,103,38765,31561,1950,898,89,78,34577,81843,4088,1666,119,114,87828,25244,1895,587,41,44,27809,47685,7282,3211,139,122,58443,2494,295,175,55,297,3307,352325,25927,16352,2256,1590,398447,1058,77,109,390,36,1671,4637,70,321,115,29,5170,6909,155,540,132,73,7811,8346,250,600,183,78,9458,10286,286,704,162,81,11521,17263,480,1009,191,90,19042,21548,632,1106,165,97,23547,30833,784,1210,159,112,33092,45393,1018,1255,162,119,47946,43196,804,969,95,71,45133,41896,930,807,97,76,43805,31937,755,648,55,44,33439,57135,1443,1069,104,51,59801,12639,637,429,44,20,13772,18937,1772,1344,102,48,22194,2394,114,109,50,180,2853,354419,10214
207,197,65,42,156,7,460,1852,50,94,46,4,2042,1732,78,177,54,4,2043,1555,172,223,85,15,2054,1620,214,246,71,22,2166,2486,335,414,95,15,3346,2978,535,412,82,30,4028,4417,640,572,83,31,5738,5835,819,632,99,28,7416,5063,679,512,50,22,6318,5061,846,406,50,23,6390,4256,657,313,39,12,5275,9753,1353,554,59,12,11733,2410,626,194,19,6,3255,4098,1894,552,48,17,6609,514,88,49,13,74,736,53824,9045,5382,1038,323,69615,234,48,42,167,5,500,2894,53,165,95,9,3214,3289,103,289,93,15,3793,3254,189,282,123,18,3866,3598,204,284,78,29,4201,5450,308,406,123,34,6318,6539,374,410,84,29,7439,7967,386,445,119,18,8936,9501,442,477,90,42,10553,7785,365,357,51,19,8578,7090,379,312,50,13,7841,4837,280,227,41,17,5395,8044,544,366,54,16,9019,1316,242,116,22,4,1701,1862,549,267,36,10,2716,539,37,40,31,33,674,74184,4494
208,226,80,51,176,11,545,2282,38,89,39,8,2445,2019,84,155,60,21,2334,1656,165,215,92,25,2147,2002,214,291,82,30,2608,3045,388,468,92,32,4021,4238,571,538,75,33,5459,7359,796,711,81,54,9001,8764,1112,854,116,44,10893,7120,1023,725,62,35,8969,5900,1269,627,64,29,7880,4392,983,478,58,19,5924,7967,2019,687,77,23,10769,1729,790,219,36,7,2781,3137,2172,642,60,25,6043,645,154,100,23,89,1011,62488,11852,6834,1184,482,82836,332,43,52,232,7,670,3395,40,217,76,10,3741,3583,96,349,103,20,4151,3534,169,351,106,21,4173,4204,197,423,104,34,4954,6586,276,607,120,42,7635,7897,386,653,97,33,9059,9902,452,650,87,40,11137,10604,509,653,91,34,11903,7673,428,517,59,17,8691,5981,539,426,60,14,7015,3967,395,291,48,3,4702,5486,729,494,57,16,6785,892,289,140,29,6,1359,1302,686,377,68,18,2453,648,59,46,31,67,834,75985,5293
209,215,67,62,157,18,521,2090,34,118,43,14,2295,1871,85,191,64,15,2236,1556,158,318,76,32,2133,2019,208,385,75,27,2716,3170,482,620,96,43,4413,4632,628,714,97,53,6124,7676,974,918,88,82,9746,9738,1248,994,84,72,12136,7551,1055,712,61,45,9417,6512,1163,613,45,43,8377,4876,875,388,42,18,6200,7835,1453,536,36,24,9890,1450,495,148,17,10,2113,2023,1159,373,28,12,3591,702,134,81,20,116,1047,63910,10223,7165,1023,639,82955,333,27,53,195,14,627,3235,41,257,97,15,3638,3680,84,367,92,12,4238,3559,148,414,98,28,4246,4310,173,436,91,40,5048,7045,270,603,103,36,8065,8697,376,578,93,45,9786,10692,384,540,68,54,11739,10739,458,567,69,26,11867,8128,345,353,38,18,8872,6865,350,277,34,17,7538,4373,225,187,21,14,4820,5684,402,267,23,15,6390,767,176,89,11,8,1055,943,293,152,5,9,1405,743,48,44,21,57,910,79803,3800
210,301,62,64,147,10,577,1477,26,63,41,16,1620,1479,78,141,60,20,1780,1442,123,256,71,20,1917,1969,222,365,77,22,2663,3376,392,570,85,58,4483,5476,648,700,67,65,6963,10342,932,902,84,90,12355,12832,1250,916,78,112,15194,9870,995,621,58,56,11605,8326,1192,445,45,33,10034,5872,852,334,12,26,7095,10093,1369,414,37,27,11936,1960,471,109,17,6,2564,2820,905,212,15,14,3967,838,148,71,16,116,1190,78480,9671,6180,920,697,95945,322,22,43,163,15,560,2169,17,159,75,26,2448,2658,56,257,103,24,3099,2646,103,280,82,28,3141,3250,130,280,74,21,3755,5404,223,394,111,37,6170,7239,283,370,84,39,8016,8748,339,376,60,42,9566,8557,334,384,56,38,9370,5966,243,215,18,22,6473,4783,313,168,30,10,5307,2865,182,114,13,3,3177,3865,273,146,29,19,4334,529,119,59,4,0,721,542,223,82,18,3,875,598,45,45,19,47,751,60162,2906
