POW_SA4_CODE_2021,SEO_Tot_Bf_91,SEO_Tot_91_95,SEO_Tot_96_00,SEO_Tot_01_05,SEO_Tot_06_10,SEO_Tot_11_15,SEO_Tot_16_20,SEO_Tot_2021,SEO_Tot_NS,SEO_Tot_Tot,UOLSEWVW_AGFF_Bf_91,UOLSEWVW_AGFF_91_95,UOLSEWVW_AGFF_96_00,UOLSEWVW_AGFF_01_05,UOLSEWVW_AGFF_06_10,UOLSEWVW_AGFF_11_15,UOLSEWVW_AGFF_16_20,UOLSEWVW_AGFF_2021,UOLSEWVW_AGFF_NS,UOLSEWVW_AGFF_Tot,UOLSEWVW_Min_Bf_91,UOLSEWVW_Min_91_95,UOLSEWVW_Min_96_00,UOLSEWVW_Min_01_05,UOLSEWVW_Min_06_10,UOLSEWVW_Min_11_15,UOLSEWVW_Min_16_20,UOLSEWVW_Min_2021,UOLSEWVW_Min_NS,UOLSEWVW_Min_Tot,UOLSEWVW_Mnf_Bf_91,UOLSEWVW_Mnf_91_95,UOLSEWVW_Mnf_96_00,UOLSEWVW_Mnf_01_05,UOLSEWVW_Mnf_06_10,UOLSEWVW_Mnf_11_15,UOLSEWVW_Mnf_16_20,UOLSEWVW_Mnf_2021,UOLSEWVW_Mnf_NS,UOLSEWVW_Mnf_Tot,UOLSEWVW_EGWWS_Bf_91,UOLSEWVW_EGWWS_91_95,UOLSEWVW_EGWWS_96_00,UOLSEWVW_EGWWS_01_05,UOLSEWVW_EGWWS_06_10,UOLSEWVW_EGWWS_11_15,UOLSEWVW_EGWWS_16_20,UOLSEWVW_EGWWS_2021,UOLSEWVW_EGWWS_NS,UOLSEWVW_EGWWS_Tot,UOLSEWVW_Const_Bf_91,UOLSEWVW_Const_91_95,UOLSEWVW_Const_96_00,UOLSEWVW_Const_01_05,UOLSEWVW_Const_06_10,UOLSEWVW_Const_11_15,UOLSEWVW_Const_16_20,UOLSEWVW_Const_2021,UOLSEWVW_Const_NS,UOLSEWVW_Const_Tot,UOLSEWVW_WST_Bf_91,UOLSEWVW_WST_91_95,UOLSEWVW_WST_96_00,UOLSEWVW_WST_01_05,UOLSEWVW_WST_06_10,UOLSEWVW_WST_11_15,UOLSEWVW_WST_16_20,UOLSEWVW_WST_2021,UOLSEWVW_WST_NS,UOLSEWVW_WST_Tot,UOLSEWVW_RetT_Bf_91,UOLSEWVW_RetT_91_95,UOLSEWVW_RetT_96_00,UOLSEWVW_RetT_01_05,UOLSEWVW_RetT_06_10,UOLSEWVW_RetT_11_15,UOLSEWVW_RetT_16_20,UOLSEWVW_RetT_2021,UOLSEWVW_RetT_NS,UOLSEWVW_RetT_Tot,UOLSEWVW_AcFd_Bf_91,UOLSEWVW_AcFd_91_95,UOLSEWVW_AcFd_96_00,UOLSEWVW_AcFd_01_05,UOLSEWVW_AcFd_06_10,UOLSEWVW_AcFd_11_15,UOLSEWVW_AcFd_16_20,UOLSEWVW_AcFd_2021,UOLSEWVW_AcFd_NS,UOLSEWVW_AcFd_Tot,UOLSEWVW_TPW_Bf_91,UOLSEWVW_TPW_91_95,UOLSEWVW_TPW_96_00,UOLSEWVW_TPW_01_05,UOLSEWVW_TPW_06_10,UOLSEWVW_TPW_11_15,UOLSEWVW_TPW_16_20,UOLSEWVW_TPW_2021,UOLSEWVW_TPW_NS,UOLSEWVW_TPW_Tot,UOLSEWVW_IMT_Bf_91,UOLSEWVW_IMT_91_95,UOLSEWVW_IMT_96_00,UOLSEWVW_IMT_01_05,UOLSEWVW_IMT_06_10,UOLSEWVW_IMT_11_15,UOLSEWVW_IMT_16_20,UOLSEWVW_IMT_2021,UOLSEWVW_IMT_NS,UOLSEWVW_IMT_Tot,UOLSEWVW_FinIns_Bf_91,UOLSEWVW_FinIns_91_95,UOLSEWVW_FinIns_96_00,UOLSEWVW_FinIns_01_05,UOLSEWVW_FinIns_06_10,UOLSEWVW_FinIns_11_15,UOLSEWVW_FinIns_16_20,UOLSEWVW_FinIns_2021,UOLSEWVW_FinIns_NS,UOLSEWVW_FinIns_Tot,UOLSEWVW_RHRE_Bf_91,UOLSEWVW_RHRE_91_95,UOLSEWVW_RHRE_96_00,UOLSEWVW_RHRE_01_05,UOLSEWVW_RHRE_06_10,UOLSEWVW_RHRE_11_15,UOLSEWVW_RHRE_16_20,UOLSEWVW_RHRE_2021,UOLSEWVW_RHRE_NS,UOLSEWVW_RHRE_Tot,UOLSEWVW_ProSTS_Bf_91,UOLSEWVW_ProSTS_91_95,UOLSEWVW_ProSTS_96_00,UOLSEWVW_ProSTS_01_05,UOLSEWVW_ProSTS_06_10,UOLSEWVW_ProSTS_11_15,UOLSEWVW_ProSTS_16_20,UOLSEWVW_ProSTS_2021,UOLSEWVW_ProSTS_NS,UOLSEWVW_ProSTS_Tot,UOLSEWVW_AdSup_Bf_91,UOLSEWVW_AdSup_91_95,UOLSEWVW_AdSup_96_00,UOLSEWVW_AdSup_01_05,UOLSEWVW_AdSup_06_10,UOLSEWVW_AdSup_11_15,UOLSEWVW_AdSup_16_20,UOLSEWVW_AdSup_2021,UOLSEWVW_AdSup_NS,UOLSEWVW_AdSup_Tot,UOLSEWVW_PubAS_Bf_91,UOLSEWVW_PubAS_91_95,UOLSEWVW_PubAS_96_00,UOLSEWVW_PubAS_01_05,UOLSEWVW_PubAS_06_10,UOLSEWVW_PubAS_11_15,UOLSEWVW_PubAS_16_20,UOLSEWVW_PubAS_2021,UOLSEWVW_PubAS_NS,UOLSEWVW_PubAS_Tot,UOLSEWVW_EdTrn_Bf_91,UOLSEWVW_EdTrn_91_95,UOLSEWVW_EdTrn_96_00,UOLSEWVW_EdTrn_01_05,UOLSEWVW_EdTrn_06_10,UOLSEWVW_EdTrn_11_15,UOLSEWVW_EdTrn_16_20,UOLSEWVW_EdTrn_2021,UOLSEWVW_EdTrn_NS,UOLSEWVW_EdTrn_Tot,UOLSEWVW_HC_SA_Bf_91,UOLSEWVW_HC_SA_91_95,UOLSEWVW_HC_SA_96_00,UOLSEWVW_HC_SA_01_05,UOLSEWVW_HC_SA_06_10,UOLSEWVW_HC_SA_11_15,UOLSEWVW_HC_SA_16_20,UOLSEWVW_HC_SA_2021,UOLSEWVW_HC_SA_NS,UOLSEWVW_HC_SA_Tot,UOLSEWVW_ArtsR_Bf_91,UOLSEWVW_ArtsR_91_95,UOLSEWVW_ArtsR_96_00,UOLSEWVW_ArtsR_01_05,UOLSEWVW_ArtsR_06_10,UOLSEWVW_ArtsR_11_15,UOLSEWVW_ArtsR_16_20,UOLSEWVW_ArtsR_2021,UOLSEWVW_ArtsR_NS,UOLSEWVW_ArtsR_Tot,UOLSEWVW_OthSvs_Bf_91,UOLSEWVW_OthSvs_91_95,UOLSEWVW_OthSvs_96_00,UOLSEWVW_OthSvs_01_05,UOLSEWVW_OthSvs_06_10,UOLSEWVW_OthSvs_11_15,UOLSEWVW_OthSvs_16_20,UOLSEWVW_OthSvs_2021,UOLSEWVW_OthSvs_NS,UOLSEWVW_OthSvs_Tot
201,2117,207,382,398,499,426,345,12,90,4472,11,3,3,4,32,20,28,3,0,116,0,0,0,5,5,0,17,0,0,26,21,0,8,33,65,66,57,0,0,259,0,0,0,7,3,6,4,0,0,27,23,6,3,7,25,38,74,0,0,175,4,0,0,4,4,9,3,0,0,24,22,6,12,25,76,52,115,0,3,305,48,10,15,38,150,166,264,0,6,697,8,3,7,9,57,27,54,0,0,170,5,0,0,0,8,3,7,0,0,25,7,0,0,0,8,5,7,0,0,32,3,0,3,0,8,8,6,0,0,26,19,7,14,29,55,36,47,0,3,213,5,5,3,6,14,14,42,0,3,92,22,6,7,22,26,37,30,0,0,148,30,19,14,38,61,62,53,0,6,282,55,31,41,144,362,364,378,8,14,1394,3,0,3,5,10,6,7,0,0,38,12,6,7,11,39,41,42,0,0,166
202,1862,229,371,404,522,341,281,8,100,4112,13,4,0,10,36,39,42,8,0,139,0,8,3,5,6,12,5,0,0,40,23,11,13,44,153,136,219,0,4,607,0,5,0,5,3,7,6,0,0,21,20,0,5,3,25,31,32,0,0,112,0,0,0,5,3,12,6,0,0,27,19,5,11,36,77,60,75,0,6,295,33,9,21,36,107,122,143,0,4,466,6,0,5,9,37,22,32,0,0,116,0,0,0,0,3,0,7,0,0,25,6,0,5,10,10,5,16,0,0,51,5,0,0,0,0,3,0,0,0,11,12,5,4,14,24,25,44,0,0,126,5,4,4,4,18,16,23,0,0,81,24,8,11,18,30,25,17,0,0,130,15,3,11,25,44,41,45,0,0,184,47,25,52,95,349,319,376,3,15,1270,0,0,6,0,8,9,4,0,0,32,6,3,0,7,24,16,19,0,0,73
203,5012,568,832,1071,1573,1361,955,23,238,11630,42,9,9,17,36,34,39,0,0,192,0,0,0,0,0,0,3,0,0,8,106,43,51,58,205,230,326,4,13,1032,10,0,6,7,37,25,26,0,4,115,110,26,35,46,114,213,229,3,3,783,28,12,6,22,54,49,64,0,0,241,84,37,49,99,270,265,406,4,10,1221,94,24,47,92,327,394,696,5,10,1685,47,11,16,35,203,159,217,0,6,690,10,0,0,11,8,22,28,0,0,80,28,11,11,24,39,37,34,0,0,184,24,0,7,15,16,11,10,0,0,87,73,31,39,63,131,142,179,0,0,659,31,8,21,25,56,77,157,0,5,378,71,24,32,56,107,108,71,0,3,477,98,32,56,101,216,247,214,4,3,971,258,77,136,254,781,733,796,13,24,3067,11,3,0,7,12,10,21,0,0,63,36,13,11,19,101,86,126,0,0,399
204,2545,256,357,466,556,422,406,18,168,5196,35,4,9,10,19,27,52,0,5,156,0,0,0,0,3,0,7,0,0,10,43,5,14,23,57,88,132,12,0,376,4,0,0,0,0,0,5,0,0,10,17,3,5,15,39,44,66,0,3,196,7,0,0,3,12,13,18,0,0,52,33,10,9,25,89,68,101,0,9,344,46,9,26,31,99,109,182,0,13,502,18,4,0,9,59,46,52,0,0,185,0,0,0,0,0,0,0,0,0,9,5,0,0,0,5,0,0,0,0,14,0,0,0,0,3,0,0,0,0,9,15,0,8,10,12,16,20,0,0,81,10,4,3,7,12,22,40,0,3,98,15,15,9,28,51,40,36,3,3,205,29,11,15,25,49,52,44,4,0,233,74,23,42,59,242,231,300,6,10,983,0,4,0,5,6,13,3,0,0,30,7,6,9,3,20,33,17,0,5,96
205,4302,383,590,727,905,663,517,14,247,8361,50,7,21,14,66,95,242,7,8,508,4,0,0,5,3,3,11,0,0,30,45,15,10,23,58,87,115,7,3,368,17,3,8,10,17,10,12,0,0,82,26,9,7,18,22,58,44,0,6,192,8,0,4,6,9,10,13,0,0,47,65,13,22,42,135,103,109,0,8,498,69,16,40,55,168,156,197,0,10,724,13,4,6,16,39,27,16,0,4,122,4,0,3,0,5,9,13,0,0,37,5,0,4,7,13,14,5,0,0,44,11,0,0,0,5,5,4,0,0,26,21,10,8,14,31,45,32,0,0,156,17,0,3,10,26,33,41,0,0,131,40,12,20,24,61,39,31,0,0,223,34,14,18,36,58,46,41,0,4,255,116,44,83,174,451,449,485,15,11,1827,8,3,0,4,6,13,4,0,0,34,15,3,4,7,33,38,30,0,4,134
206,34272,6748,10162,12811,16059,17150,17649,618,1252,116730,20,11,14,44,37,61,44,3,0,236,43,20,33,45,75,48,61,4,4,329,855,353,348,512,1007,924,1141,29,21,5188,337,143,210,539,858,782,609,15,16,3500,913,349,461,708,1338,1332,1394,31,46,6576,547,202,238,443,686,685,661,19,17,3501,1306,462,641,1144,2123,2155,3222,32,91,11182,1125,417,654,1226,2795,3505,8469,37,152,18382,1105,379,509,882,1694,1299,1990,14,53,7923,766,332,491,1068,1489,1620,1472,20,39,7290,2843,1406,2039,3567,5120,5088,4382,83,112,24648,401,136,240,487,812,668,507,8,14,3274,2996,1558,2310,4144,6604,9125,11301,259,159,38453,841,281,391,678,1391,1597,4300,28,50,9562,2162,868,1018,1527,2159,1640,1194,14,63,10649,1204,621,783,1411,2262,2718,2685,36,48,11772,2847,1172,1437,2278,4436,4161,4212,87,115,20738,465,211,316,511,780,577,603,7,25,3494,732,227,272,435,861,882,970,19,32,4421
207,7195,1116,1594,2046,2189,2009,1872,52,263,18334,4,4,3,10,12,11,16,0,0,61,4,3,0,5,3,4,0,0,0,27,169,61,67,110,167,162,169,3,4,918,9,0,6,17,38,27,27,0,0,123,299,90,159,235,382,418,356,11,12,1957,129,63,67,112,193,193,161,5,5,926,523,181,292,467,855,746,936,15,23,4030,300,86,137,276,590,668,1173,0,24,3264,257,69,72,126,209,143,261,3,7,1164,62,21,33,77,106,70,81,0,5,453,226,93,148,288,380,286,215,0,11,1646,174,67,115,216,347,230,108,4,4,1256,697,241,437,717,975,1078,985,23,22,5180,146,35,78,112,165,194,492,4,6,1233,352,136,140,215,219,147,100,5,3,1315,538,259,391,640,936,901,820,4,21,4508,1166,537,662,1112,1953,1779,1781,13,49,9054,42,7,14,23,36,34,36,0,0,196,247,90,106,172,306,268,266,0,17,1461
208,9248,1469,2218,2893,3065,2710,2330,58,349,24347,17,4,10,10,30,18,42,0,0,124,14,0,0,4,0,0,0,0,0,20,884,336,334,425,762,594,795,11,34,4164,20,12,7,20,28,20,27,0,0,128,366,143,172,234,411,456,413,4,18,2213,226,72,119,160,243,183,193,3,10,1193,602,263,292,491,909,814,1062,9,26,4472,345,112,172,318,681,711,1521,10,29,3898,247,97,84,130,292,157,339,0,8,1355,31,16,20,42,66,69,61,0,0,297,147,59,74,123,160,97,73,5,3,742,116,45,36,72,98,85,47,0,0,498,396,193,199,324,471,491,486,13,14,2586,125,36,47,70,141,137,445,0,7,1018,166,68,82,129,196,132,86,0,8,867,351,154,201,310,494,476,445,0,19,2455,1006,530,545,904,1980,1769,2126,8,61,8925,35,9,15,24,33,37,38,0,0,192,273,90,105,125,268,197,325,0,10,1394
209,6731,972,1292,1643,2055,1751,1397,35,294,16169,58,9,17,23,69,65,112,0,3,356,7,0,0,4,11,7,3,0,0,40,855,304,256,339,670,519,625,8,36,3611,22,9,8,21,37,19,30,0,3,151,442,125,157,229,498,486,618,0,22,2569,258,65,68,111,153,173,169,3,11,999,602,198,247,342,854,609,755,6,18,3624,301,83,125,231,650,499,961,3,22,2874,396,133,178,242,778,404,616,0,18,2780,41,18,14,36,49,66,52,0,0,265,124,36,61,84,126,80,45,0,0,563,87,18,28,43,81,51,37,0,0,346,312,102,174,227,333,337,297,3,7,1783,181,54,63,106,213,187,474,4,11,1291,259,102,96,142,305,220,125,0,16,1262,462,173,233,346,668,547,397,6,16,2839,1316,553,698,1188,2802,2160,1858,21,77,10672,31,3,8,31,53,38,26,0,3,195,247,79,84,102,252,228,265,0,6,1272
210,6413,814,1174,1494,1881,1593,1261,37,256,14932,44,7,4,19,37,23,28,0,0,160,14,0,0,5,13,0,5,0,0,42,1496,571,508,609,1409,1207,1507,21,66,7385,66,28,23,34,110,63,49,0,7,376,589,188,267,342,677,581,689,6,23,3367,295,106,105,129,287,197,238,5,10,1378,570,186,192,372,741,553,657,3,22,3296,305,83,110,185,585,451,751,5,30,2505,1035,355,400,697,1776,1030,1393,20,56,6754,40,10,12,41,72,68,76,0,0,321,77,25,43,64,106,58,58,4,3,434,68,12,29,39,82,42,48,0,3,333,212,66,100,136,230,291,254,0,10,1295,251,93,117,126,297,251,545,5,16,1706,303,117,134,230,496,311,160,0,13,1773,433,197,245,302,471,368,263,6,23,2311,616,266,335,505,1215,975,778,7,27,4718,26,8,14,10,39,20,15,0,3,134,289,98,92,121,326,285,308,0,17,1534
