POW_SA4_CODE_2021,UOLSEWVW_IDNS_Bf_91,UOLSEWVW_IDNS_91_95,UOLSEWVW_IDNS_96_00,UOLSEWVW_IDNS_01_05,UOLSEWVW_IDNS_06_10,UOLSEWVW_IDNS_11_15,UOLSEWVW_IDNS_16_20,UOLSEWVW_IDNS_2021,UOLSEWVW_IDNS_NS,UOLSEWVW_IDNS_Tot,UOLSEWVW_Tot_Bf_91,UOLSEWVW_Tot_91_95,UOLSEWVW_Tot_96_00,UOLSEWVW_Tot_01_05,UOLSEWVW_Tot_06_10,UOLSEWVW_Tot_11_15,UOLSEWVW_Tot_16_20,UOLSEWVW_Tot_2021,UOLSEWVW_Tot_NS,UOLSEWVW_Tot_Tot,UOLSE_NWNA_AGFF_Bf_91,UOLSE_NWNA_AGFF_91_95,UOLSE_NWNA_AGFF_96_00,UOLSE_NWNA_AGFF_01_05,UOLSE_NWNA_AGFF_06_10,UOLSE_NWNA_AGFF_11_15,UOLSE_NWNA_AGFF_16_20,UOLSE_NWNA_AGFF_2021,UOLSE_NWNA_AGFF_NS,UOLSE_NWNA_AGFF_Tot,UOLSE_NWNA_Min_Bf_91,UOLSE_NWNA_Min_91_95,UOLSE_NWNA_Min_96_00,UOLSE_NWNA_Min_01_05,UOLSE_NWNA_Min_06_10,UOLSE_NWNA_Min_11_15,UOLSE_NWNA_Min_16_20,UOLSE_NWNA_Min_2021,UOLSE_NWNA_Min_NS,UOLSE_NWNA_Min_Tot,UOLSE_NWNA_Mnf_Bf_91,UOLSE_NWNA_Mnf_91_95,UOLSE_NWNA_Mnf_96_00,UOLSE_NWNA_Mnf_01_05,UOLSE_NWNA_Mnf_06_10,UOLSE_NWNA_Mnf_11_15,UOLSE_NWNA_Mnf_16_20,UOLSE_NWNA_Mnf_2021,UOLSE_NWNA_Mnf_NS,UOLSE_NWNA_Mnf_Tot,UOLSE_NWNA_EGWWS_Bf_91,UOLSE_NWNA_EGWWS_91_95,UOLSE_NWNA_EGWWS_96_00,UOLSE_NWNA_EGWWS_01_05,UOLSE_NWNA_EGWWS_06_10,UOLSE_NWNA_EGWWS_11_15,UOLSE_NWNA_EGWWS_16_20,UOLSE_NWNA_EGWWS_2021,UOLSE_NWNA_EGWWS_NS,UOLSE_NWNA_EGWWS_Tot,UOLSE_NWNA_Const_Bf_91,UOLSE_NWNA_Const_91_95,UOLSE_NWNA_Const_96_00,UOLSE_NWNA_Const_01_05,UOLSE_NWNA_Const_06_10,UOLSE_NWNA_Const_11_15,UOLSE_NWNA_Const_16_20,UOLSE_NWNA_Const_2021,UOLSE_NWNA_Const_NS,UOLSE_NWNA_Const_Tot,UOLSE_NWNA_WST_Bf_91,UOLSE_NWNA_WST_91_95,UOLSE_NWNA_WST_96_00,UOLSE_NWNA_WST_01_05,UOLSE_NWNA_WST_06_10,UOLSE_NWNA_WST_11_15,UOLSE_NWNA_WST_16_20,UOLSE_NWNA_WST_2021,UOLSE_NWNA_WST_NS,UOLSE_NWNA_WST_Tot,UOLSE_NWNA_RetT_Bf_91,UOLSE_NWNA_RetT_91_95,UOLSE_NWNA_RetT_96_00,UOLSE_NWNA_RetT_01_05,UOLSE_NWNA_RetT_06_10,UOLSE_NWNA_RetT_11_15,UOLSE_NWNA_RetT_16_20,UOLSE_NWNA_RetT_2021,UOLSE_NWNA_RetT_NS,UOLSE_NWNA_RetT_Tot,UOLSE_NWNA_AcFd_Bf_91,UOLSE_NWNA_AcFd_91_95,UOLSE_NWNA_AcFd_96_00,UOLSE_NWNA_AcFd_01_05,UOLSE_NWNA_AcFd_06_10,UOLSE_NWNA_AcFd_11_15,UOLSE_NWNA_AcFd_16_20,UOLSE_NWNA_AcFd_2021,UOLSE_NWNA_AcFd_NS,UOLSE_NWNA_AcFd_Tot,UOLSE_NWNA_TPW_Bf_91,UOLSE_NWNA_TPW_91_95,UOLSE_NWNA_TPW_96_00,UOLSE_NWNA_TPW_01_05,UOLSE_NWNA_TPW_06_10,UOLSE_NWNA_TPW_11_15,UOLSE_NWNA_TPW_16_20,UOLSE_NWNA_TPW_2021,UOLSE_NWNA_TPW_NS,UOLSE_NWNA_TPW_Tot,UOLSE_NWNA_IMT_Bf_91,UOLSE_NWNA_IMT_91_95,UOLSE_NWNA_IMT_96_00,UOLSE_NWNA_IMT_01_05,UOLSE_NWNA_IMT_06_10,UOLSE_NWNA_IMT_11_15,UOLSE_NWNA_IMT_16_20,UOLSE_NWNA_IMT_2021,UOLSE_NWNA_IMT_NS,UOLSE_NWNA_IMT_Tot,UOLSE_NWNA_FinIns_Bf_91,UOLSE_NWNA_FinIns_91_95,UOLSE_NWNA_FinIns_96_00,UOLSE_NWNA_FinIns_01_05,UOLSE_NWNA_FinIns_06_10,UOLSE_NWNA_FinIns_11_15,UOLSE_NWNA_FinIns_16_20,UOLSE_NWNA_FinIns_2021,UOLSE_NWNA_FinIns_NS,UOLSE_NWNA_FinIns_Tot,UOLSE_NWNA_RHRE_Bf_91,UOLSE_NWNA_RHRE_91_95,UOLSE_NWNA_RHRE_96_00,UOLSE_NWNA_RHRE_01_05,UOLSE_NWNA_RHRE_06_10,UOLSE_NWNA_RHRE_11_15,UOLSE_NWNA_RHRE_16_20,UOLSE_NWNA_RHRE_2021,UOLSE_NWNA_RHRE_NS,UOLSE_NWNA_RHRE_Tot,UOLSE_NWNA_ProSTS_Bf_91,UOLSE_NWNA_ProSTS_91_95,UOLSE_NWNA_ProSTS_96_00,UOLSE_NWNA_ProSTS_01_05,UOLSE_NWNA_ProSTS_06_10,UOLSE_NWNA_ProSTS_11_15,UOLSE_NWNA_ProSTS_16_20,UOLSE_NWNA_ProSTS_2021,UOLSE_NWNA_ProSTS_NS,UOLSE_NWNA_ProSTS_Tot,UOLSE_NWNA_AdSup_Bf_91,UOLSE_NWNA_AdSup_91_95,UOLSE_NWNA_AdSup_96_00,UOLSE_NWNA_AdSup_01_05,UOLSE_NWNA_AdSup_06_10,UOLSE_NWNA_AdSup_11_15,UOLSE_NWNA_AdSup_16_20,UOLSE_NWNA_AdSup_2021,UOLSE_NWNA_AdSup_NS,UOLSE_NWNA_AdSup_Tot,UOLSE_NWNA_PubAS_Bf_91,UOLSE_NWNA_PubAS_91_95,UOLSE_NWNA_PubAS_96_00,UOLSE_NWNA_PubAS_01_05,UOLSE_NWNA_PubAS_06_10,UOLSE_NWNA_PubAS_11_15,UOLSE_NWNA_PubAS_16_20,UOLSE_NWNA_PubAS_2021,UOLSE_NWNA_PubAS_NS,UOLSE_NWNA_PubAS_Tot,UOLSE_NWNA_EdTrn_Bf_91,UOLSE_NWNA_EdTrn_91_95,UOLSE_NWNA_EdTrn_96_00,UOLSE_NWNA_EdTrn_01_05,UOLSE_NWNA_EdTrn_06_10,UOLSE_NWNA_EdTrn_11_15,UOLSE_NWNA_EdTrn_16_20,UOLSE_NWNA_EdTrn_2021,UOLSE_NWNA_EdTrn_NS,UOLSE_NWNA_EdTrn_Tot,UOLSE_NWNA_HC_SA_Bf_91,UOLSE_NWNA_HC_SA_91_95,UOLSE_NWNA_HC_SA_96_00,UOLSE_NWNA_HC_SA_01_05,UOLSE_NWNA_HC_SA_06_10,UOLSE_NWNA_HC_SA_11_15,UOLSE_NWNA_HC_SA_16_20,UOLSE_NWNA_HC_SA_2021,UOLSE_NWNA_HC_SA_NS,UOLSE_NWNA_HC_SA_Tot,UOLSE_NWNA_ArtsR_Bf_91,UOLSE_NWNA_ArtsR_91_95,UOLSE_NWNA_ArtsR_96_00,UOLSE_NWNA_ArtsR_01_05,UOLSE_NWNA_ArtsR_06_10,UOLSE_NWNA_ArtsR_11_15,UOLSE_NWNA_ArtsR_16_20,UOLSE_NWNA_ArtsR_2021,UOLSE_NWNA_ArtsR_NS,UOLSE_NWNA_ArtsR_Tot
201,16,0,0,18,34,41,48,0,11,161,311,104,144,401,1044,1007,1283,16,57,4372,4,4,6,0,20,17,16,0,0,61,0,0,0,0,0,0,0,0,0,0,6,0,0,9,13,7,5,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,3,0,8,0,6,0,0,12,7,6,0,6,10,18,23,0,0,64,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,4,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,20,0,0,0,0,0,0,0,0,0,3
202,13,0,8,12,50,38,41,0,4,156,242,82,155,332,1024,940,1146,13,39,3971,0,0,0,6,4,12,14,0,0,41,0,0,0,0,0,0,3,0,0,4,3,5,7,12,67,65,95,0,7,261,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,5,0,0,13,0,0,0,0,3,0,0,0,0,8,0,0,0,0,4,8,5,0,0,17,5,4,4,11,11,16,14,0,0,63,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,10,12,0,0,32,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,3,5,3,8,0,0,19,0,0,0,0,0,0,0,0,0,0
203,51,12,16,37,113,141,178,5,23,565,1207,382,553,987,2824,2971,3821,39,110,12895,12,8,6,11,19,18,29,0,0,102,0,0,0,0,0,0,0,0,0,0,12,7,12,9,65,77,30,0,0,211,0,0,0,0,3,0,5,0,0,11,0,0,5,9,17,33,35,0,0,94,0,3,0,0,12,7,10,0,0,26,9,0,3,0,17,14,16,0,0,60,22,0,9,23,27,41,37,0,5,165,3,4,4,0,0,12,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,5,7,0,3,0,14,14,10,0,0,48,0,3,0,0,0,0,0,0,0,4,3,0,0,0,7,4,8,0,0,15,5,0,4,3,12,12,12,0,0,59,0,0,0,0,0,0,0,0,0,0
204,7,0,3,6,31,37,45,0,8,154,363,104,166,265,813,840,1124,27,53,3754,5,0,0,6,0,15,32,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10,48,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,0,0,24,0,0,0,0,0,5,16,0,0,18,0,0,0,0,0,4,3,0,0,11,7,0,6,4,8,10,25,0,4,65,0,0,0,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,21,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,4,5,0,0,15,0,0,0,0,0,0,0,0,0,0
205,24,9,8,25,34,36,59,4,7,209,578,164,275,501,1261,1260,1510,37,69,5648,4,0,0,3,14,30,76,0,0,136,0,0,0,0,0,0,0,0,0,0,5,0,6,4,3,12,49,0,0,81,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,7,4,0,0,14,0,0,0,0,0,3,3,0,0,10,4,0,3,0,4,4,13,0,0,20,17,3,4,9,24,17,25,0,3,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,6,0,0,18,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,6,3,0,0,4,0,6,13,0,0,22,0,0,0,0,0,0,0,0,0,0
206,750,285,430,828,1456,1565,2341,49,351,8045,22253,9430,12843,22489,37976,40446,51563,783,1394,199154,3,7,0,0,0,6,11,0,0,31,0,0,0,0,0,0,0,0,0,3,142,67,45,51,69,48,92,6,10,525,6,0,0,0,5,5,4,0,0,19,55,18,37,50,111,221,201,0,7,699,27,22,13,13,17,13,48,0,5,150,118,35,41,38,95,121,203,4,12,668,246,112,113,220,300,447,967,5,26,2438,50,13,13,34,29,56,246,3,11,449,3,0,4,0,4,3,9,0,3,32,13,0,3,9,11,19,27,0,0,89,3,3,5,3,15,25,23,0,3,83,20,9,14,22,30,48,77,3,3,226,112,34,30,50,97,117,368,0,3,810,29,5,7,3,5,12,12,0,5,65,16,5,7,10,25,34,37,3,0,129,90,31,37,50,82,94,124,0,0,516,14,20,7,14,10,17,9,0,0,91
207,194,58,108,191,335,338,424,5,79,1730,5545,2103,3042,5125,8194,7699,8392,96,299,40504,0,0,0,0,4,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,27,8,11,17,20,30,37,0,4,152,0,0,0,0,0,0,3,0,0,6,16,5,24,36,78,126,148,5,7,444,14,0,7,4,3,41,76,0,4,165,46,18,21,29,61,106,192,6,3,489,107,47,54,93,150,183,362,0,13,1006,14,0,7,8,21,35,48,0,0,132,0,6,0,0,5,0,6,0,0,18,5,4,4,4,8,13,18,0,0,58,12,0,9,6,25,35,19,0,0,100,8,5,7,6,23,29,36,0,0,105,20,7,23,23,38,54,85,0,4,249,14,5,0,4,0,0,0,0,0,31,11,5,0,13,23,32,33,0,0,124,40,22,31,34,66,72,80,0,3,347,0,0,0,3,0,4,7,0,0,12
208,368,137,167,251,473,417,545,8,88,2461,5736,2369,2684,4154,7743,6868,9048,79,334,39019,12,3,8,4,17,20,28,0,0,90,0,0,0,0,0,0,0,0,0,4,185,107,67,87,115,107,92,0,16,781,0,0,0,0,0,0,0,0,0,7,23,11,12,20,68,105,74,0,4,318,26,7,15,16,32,39,56,0,0,189,30,14,13,23,41,79,99,0,5,306,85,35,38,51,105,115,216,3,10,661,21,14,8,8,18,26,45,0,0,138,0,0,0,0,0,0,3,0,0,6,0,0,0,4,6,3,4,0,0,24,3,4,0,0,0,10,0,0,0,28,7,3,5,5,6,18,12,0,0,57,18,4,8,23,25,19,50,0,0,158,0,3,0,0,0,3,0,0,0,17,5,0,0,5,12,17,8,0,4,57,30,18,10,16,51,54,61,0,4,246,0,0,0,0,0,0,3,0,0,3
209,379,111,146,215,405,392,493,11,110,2256,6384,2171,2651,4037,9015,7101,7945,71,375,39751,14,9,11,13,44,38,53,0,0,184,0,0,0,0,4,0,0,0,0,4,225,122,71,79,141,169,123,0,12,945,8,4,3,0,0,0,0,0,0,14,35,10,22,25,72,117,116,3,4,402,26,18,11,11,12,11,18,0,3,114,62,37,25,29,36,73,79,0,0,335,63,31,44,46,75,85,151,0,6,503,25,16,11,12,28,27,46,0,3,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,6,5,0,3,4,0,9,11,0,0,32,26,15,11,27,34,34,55,0,0,209,14,7,0,0,7,0,0,0,0,24,8,0,0,0,14,10,10,0,0,46,37,13,22,25,53,64,57,0,3,273,0,0,0,0,0,3,3,0,0,9
210,458,151,212,262,597,523,715,14,132,3051,7179,2579,2939,4227,9576,7292,8537,82,460,42879,7,0,0,0,5,11,8,0,0,32,0,0,0,0,0,0,0,0,0,6,347,149,109,108,204,268,251,5,24,1463,8,0,3,0,4,3,4,0,0,30,46,20,34,52,89,124,180,4,5,553,31,18,6,9,14,32,29,0,0,138,32,18,24,19,31,49,54,0,6,230,46,30,19,22,43,35,63,0,7,267,72,26,15,22,46,58,103,0,0,354,3,0,0,0,0,0,0,0,0,6,3,0,0,0,4,3,0,0,0,10,4,0,0,0,0,0,0,0,0,7,3,0,0,3,0,3,10,0,0,18,30,25,13,13,45,32,72,0,0,230,4,0,0,0,9,4,4,0,0,22,11,0,6,5,10,3,8,0,0,47,16,16,19,24,41,43,25,0,4,190,0,0,0,0,3,0,0,0,0,3
