POW_SA4_CODE_2021,IE_AgFF_OMOE_Nil_em,IE_AgFF_OMOE_1_19_em,IE_AgFF_OMOE_20mo_em,IE_AgFF_OMOE_NE_NS,IE_AgFF_Tot,IE_Min_OMOE_Nil_em,IE_Min_OMOE_1_19_em,IE_Min_OMOE_20mo_em,IE_Min_OMOE_NE_NS,IE_Min_Tot,IE_Mnf_OMOE_Nil_em,IE_Mnf_OMOE_1_19_em,IE_Mnf_OMOE_20mo_em,IE_Mnf_OMOE_NE_NS,IE_Mnf_Tot,IE_EGWWS_OMOE_Nil_em,IE_EGWWS_OMOE_1_19_em,IE_EGWWS_OMOE_20mo_em,IE_EGWWS_OMOE_NE_NS,IE_EGWWS_Tot,IE_Const_OMOE_Nil_em,IE_Const_OMOE_1_19_em,IE_Const_OMOE_20mo_em,IE_Const_OMOE_NE_NS,IE_Const_Tot,IE_WST_OMOE_Nil_em,IE_WST_OMOE_1_19_em,IE_WST_OMOE_20mo_em,IE_WST_OMOE_NE_NS,IE_WST_Tot,IE_RetT_OMOE_Nil_em,IE_RetT_OMOE_1_19_em,IE_RetT_OMOE_20mo_em,IE_RetT_OMOE_NE_NS,IE_RetT_Tot,IE_AcFd_OMOE_Nil_em,IE_AcFd_OMOE_1_19_em,IE_AcFd_OMOE_20mo_em,IE_AcFd_OMOE_NE_NS,IE_AcFd_Tot,IE_TPW_OMOE_Nil_em,IE_TPW_OMOE_1_19_em,IE_TPW_OMOE_20mo_em,IE_TPW_OMOE_NE_NS,IE_TPW_Tot,IE_IMT_OMOE_Nil_em,IE_IMT_OMOE_1_19_em,IE_IMT_OMOE_20mo_em,IE_IMT_OMOE_NE_NS,IE_IMT_Tot,IE_FinIns_OMOE_Nil_em,IE_FinIns_OMOE_1_19_em,IE_FinIns_OMOE_20mo_em,IE_FinIns_OMOE_NE_NS,IE_FinIns_Tot,IE_RHRE_OMOE_Nil_em,IE_RHRE_OMOE_1_19_em,IE_RHRE_OMOE_20mo_em,IE_RHRE_OMOE_NE_NS,IE_RHRE_Tot,IE_ProSTS_OMOE_Nil_em,IE_ProSTS_OMOE_1_19_em,IE_ProSTS_OMOE_20mo_em,IE_ProSTS_OMOE_NE_NS,IE_ProSTS_Tot,IE_AdSup_OMOE_Nil_em,IE_AdSup_OMOE_1_19_em,IE_AdSup_OMOE_20mo_em,IE_AdSup_OMOE_NE_NS,IE_AdSup_Tot,IE_PubAS_OMOE_Nil_em,IE_PubAS_OMOE_1_19_em,IE_PubAS_OMOE_20mo_em,IE_PubAS_OMOE_NE_NS,IE_PubAS_Tot,IE_EdTrn_OMOE_Nil_em,IE_EdTrn_OMOE_1_19_em,IE_EdTrn_OMOE_20mo_em,IE_EdTrn_OMOE_NE_NS,IE_EdTrn_Tot,IE_HC_SA_OMOE_Nil_em,IE_HC_SA_OMOE_1_19_em,IE_HC_SA_OMOE_20mo_em,IE_HC_SA_OMOE_NE_NS,IE_HC_SA_Tot,IE_ArtsR_OMOE_Nil_em,IE_ArtsR_OMOE_1_19_em,IE_ArtsR_OMOE_20mo_em,IE_ArtsR_OMOE_NE_NS,IE_ArtsR_Tot,IE_OthSvs_OMOE_Nil_em,IE_OthSvs_OMOE_1_19_em,IE_OthSvs_OMOE_20mo_em,IE_OthSvs_OMOE_NE_NS,IE_OthSvs_Tot,IE_IDNS_OMOE_Nil_em,IE_IDNS_OMOE_1_19_em,IE_IDNS_OMOE_20mo_em,IE_IDNS_OMOE_NE_NS,IE_IDNS_Tot,IE_Tot_OMOE_Nil_em,IE_Tot_OMOE_1_19_em,IE_Tot_OMOE_20mo_em,IE_Tot_OMOE_NE_NS,IE_Tot_Tot,UIE_AgFF_OMOE_Nil_em,UIE_AgFF_OMOE_1_19_em,UIE_AgFF_OMOE_20mo_em,UIE_AgFF_OMOE_NE_NS,UIE_AgFF_Tot,UIE_Min_OMOE_Nil_em,UIE_Min_OMOE_1_19_em,UIE_Min_OMOE_20mo_em,UIE_Min_OMOE_NE_NS,UIE_Min_Tot,UIE_Mnf_OMOE_Nil_em,UIE_Mnf_OMOE_1_19_em,UIE_Mnf_OMOE_20mo_em,UIE_Mnf_OMOE_NE_NS,UIE_Mnf_Tot,UIE_EGWWS_OMOE_Nil_em,UIE_EGWWS_OMOE_1_19_em,UIE_EGWWS_OMOE_20mo_em,UIE_EGWWS_OMOE_NE_NS,UIE_EGWWS_Tot,UIE_Const_OMOE_Nil_em,UIE_Const_OMOE_1_19_em,UIE_Const_OMOE_20mo_em,UIE_Const_OMOE_NE_NS,UIE_Const_Tot,UIE_WST_OMOE_Nil_em,UIE_WST_OMOE_1_19_em,UIE_WST_OMOE_20mo_em,UIE_WST_OMOE_NE_NS,UIE_WST_Tot,UIE_RetT_OMOE_Nil_em,UIE_RetT_OMOE_1_19_em,UIE_RetT_OMOE_20mo_em,UIE_RetT_OMOE_NE_NS,UIE_RetT_Tot,UIE_AcFd_OMOE_Nil_em,UIE_AcFd_OMOE_1_19_em,UIE_AcFd_OMOE_20mo_em,UIE_AcFd_OMOE_NE_NS,UIE_AcFd_Tot,UIE_TPW_OMOE_Nil_em,UIE_TPW_OMOE_1_19_em,UIE_TPW_OMOE_20mo_em,UIE_TPW_OMOE_NE_NS,UIE_TPW_Tot,UIE_IMT_OMOE_Nil_em,UIE_IMT_OMOE_1_19_em,UIE_IMT_OMOE_20mo_em,UIE_IMT_OMOE_NE_NS,UIE_IMT_Tot,UIE_FinIns_OMOE_Nil_em,UIE_FinIns_OMOE_1_19_em,UIE_FinIns_OMOE_20mo_em,UIE_FinIns_OMOE_NE_NS,UIE_FinIns_Tot,UIE_RHRE_OMOE_Nil_em,UIE_RHRE_OMOE_1_19_em,UIE_RHRE_OMOE_20mo_em,UIE_RHRE_OMOE_NE_NS,UIE_RHRE_Tot,UIE_ProSTS_OMOE_Nil_em,UIE_ProSTS_OMOE_1_19_em,UIE_ProSTS_OMOE_20mo_em,UIE_ProSTS_OMOE_NE_NS,UIE_ProSTS_Tot,UIE_AdSup_OMOE_Nil_em,UIE_AdSup_OMOE_1_19_em,UIE_AdSup_OMOE_20mo_em,UIE_AdSup_OMOE_NE_NS,UIE_AdSup_Tot,UIE_PubAS_OMOE_Nil_em,UIE_PubAS_OMOE_1_19_em,UIE_PubAS_OMOE_20mo_em,UIE_PubAS_OMOE_NE_NS,UIE_PubAS_Tot,UIE_EdTrn_OMOE_Nil_em,UIE_EdTrn_OMOE_1_19_em,UIE_EdTrn_OMOE_20mo_em,UIE_EdTrn_OMOE_NE_NS,UIE_EdTrn_Tot,UIE_HC_SA_OMOE_Nil_em,UIE_HC_SA_OMOE_1_19_em,UIE_HC_SA_OMOE_20mo_em,UIE_HC_SA_OMOE_NE_NS,UIE_HC_SA_Tot,UIE_ArtsR_OMOE_Nil_em,UIE_ArtsR_OMOE_1_19_em,UIE_ArtsR_OMOE_20mo_em,UIE_ArtsR_OMOE_NE_NS,UIE_ArtsR_Tot,UIE_OthSvs_OMOE_Nil_em,UIE_OthSvs_OMOE_1_19_em,UIE_OthSvs_OMOE_20mo_em,UIE_OthSvs_OMOE_NE_NS,UIE_OthSvs_Tot
201,137,246,14,7,403,15,13,3,0,38,71,218,55,0,341,12,19,0,0,32,305,635,69,5,1013,24,66,12,0,106,57,260,46,0,367,39,235,64,6,340,83,132,23,0,244,24,32,3,0,57,50,76,12,0,133,31,62,22,0,113,220,296,40,0,556,50,66,12,0,127,9,3,6,0,21,39,30,9,0,83,109,196,36,0,340,30,51,11,0,88,78,161,9,0,255,73,70,21,15,177,1450,2885,458,31,4830,393,180,0,17,594,16,4,0,0,16,188,41,0,7,232,9,3,0,0,17,538,182,3,9,733,31,8,0,0,48,210,94,5,4,314,138,99,7,4,249,159,31,3,0,197,40,5,0,0,50,25,3,0,0,30,27,6,3,0,37,424,64,10,0,493,212,54,4,0,267,14,0,0,0,15,188,19,0,0,208,514,106,8,0,628,160,24,0,5,185,444,115,0,0,558
202,133,174,11,5,329,18,17,3,0,34,57,201,67,0,328,8,18,0,0,27,196,513,62,0,774,15,71,3,0,93,62,254,60,0,374,29,205,43,4,285,87,129,14,0,225,24,14,7,0,42,38,80,4,0,119,28,62,19,0,109,198,267,65,5,535,43,57,9,0,107,13,12,7,0,30,30,36,0,0,66,109,212,38,4,362,19,26,9,0,51,57,172,14,0,245,63,90,12,0,157,1225,2615,442,26,4308,481,199,0,15,697,8,3,0,0,13,192,72,0,0,268,16,4,0,0,15,557,211,3,3,781,36,18,0,0,53,207,121,4,0,337,95,107,8,0,216,139,25,0,0,169,49,5,0,0,55,18,9,0,0,26,25,8,0,0,33,436,84,7,0,521,236,28,0,0,266,21,0,0,0,24,193,20,0,0,213,577,83,10,0,668,189,25,0,0,216,416,103,0,0,518
203,116,165,17,0,306,4,10,0,0,17,133,330,77,3,544,16,32,8,0,52,664,1334,124,10,2133,58,137,31,0,222,121,470,74,0,671,77,449,110,0,631,218,193,26,0,440,45,43,3,0,95,126,157,12,0,297,79,148,38,0,260,530,628,82,3,1245,91,139,16,0,248,26,31,9,0,69,70,92,16,0,178,212,473,79,0,766,39,109,15,0,158,158,327,16,0,500,123,173,29,3,338,2922,5435,782,30,9175,293,88,0,4,379,0,7,0,0,5,298,73,9,0,381,17,7,0,0,22,1273,351,4,18,1647,62,23,0,0,84,321,162,12,0,500,157,192,9,0,357,392,22,10,0,422,95,5,0,0,101,82,9,0,0,93,46,17,0,0,71,935,163,10,0,1106,465,68,0,3,533,23,3,0,0,27,421,49,0,0,477,1140,223,11,4,1379,266,36,3,0,305,866,188,0,9,1056
204,281,374,18,12,681,13,10,0,6,31,75,245,62,5,378,9,18,0,0,25,289,627,61,11,983,26,78,13,0,113,70,315,36,6,428,84,370,64,4,529,111,164,27,0,297,12,14,0,0,30,34,71,3,0,110,28,92,12,0,128,191,267,21,5,478,45,89,9,6,146,10,11,4,0,29,41,41,3,0,84,110,181,25,3,325,22,39,0,0,67,86,177,7,3,275,69,79,9,11,160,1594,3273,388,56,5306,1273,350,6,34,1656,6,0,0,0,12,241,87,6,0,335,17,7,0,0,24,759,255,0,9,1028,37,24,7,0,61,191,147,5,5,347,190,209,6,3,408,116,49,0,0,165,30,6,0,0,40,24,5,0,0,26,27,23,0,0,45,371,73,3,7,456,255,47,6,0,305,23,8,4,0,37,175,21,0,0,200,435,99,18,0,552,96,21,0,0,115,495,171,3,4,668
205,327,515,42,21,905,6,23,3,0,32,99,289,60,0,451,25,27,10,0,53,371,911,92,7,1384,29,114,24,0,160,100,457,62,7,630,77,391,60,6,532,159,214,23,9,403,23,21,0,0,53,57,98,9,4,170,56,150,17,0,225,260,379,52,4,698,66,102,10,0,175,18,19,0,0,34,36,25,10,0,71,141,280,63,5,485,31,48,9,0,81,109,257,7,8,376,94,149,10,0,257,2075,4480,553,66,7170,1695,734,5,44,2482,10,3,0,0,14,321,97,0,9,425,30,10,0,0,39,1125,455,0,19,1606,60,27,3,5,96,336,252,9,5,602,209,263,3,6,483,201,57,0,0,262,43,4,0,0,46,61,5,0,0,67,59,12,0,0,74,549,129,11,3,694,424,84,0,6,512,33,11,0,0,39,264,37,0,0,307,805,128,16,7,968,168,24,0,3,197,757,294,0,6,1063
206,37,46,21,0,98,24,17,0,0,40,253,662,155,0,1069,43,51,33,0,123,1152,1672,357,11,3188,206,498,92,4,803,655,1650,273,5,2583,288,2256,503,7,3048,615,280,88,0,978,348,465,83,0,903,946,1279,238,0,2462,519,855,270,0,1646,3078,5161,1644,13,9900,455,647,170,0,1267,128,170,47,3,347,365,507,119,0,984,742,1548,186,5,2482,341,459,67,5,868,430,983,50,5,1465,685,939,223,25,1873,11312,20135,4603,92,36145,52,7,0,0,59,13,0,0,0,15,533,110,3,4,654,41,10,0,0,51,1877,337,17,9,2238,135,38,3,0,178,951,458,34,0,1441,416,482,39,6,942,1139,28,21,0,1187,757,46,11,0,814,436,88,14,3,540,259,62,24,3,347,5549,1018,1100,6,7671,945,124,26,0,1092,205,26,6,0,238,1498,122,9,0,1629,3361,872,32,3,4265,1805,101,8,0,1912,1715,322,11,6,2053
207,21,12,0,0,35,15,6,0,0,23,130,192,45,3,364,9,14,4,0,22,699,966,73,4,1747,194,216,19,0,429,386,658,90,3,1137,106,662,83,0,853,148,120,12,0,285,75,76,12,0,159,486,451,47,4,988,294,329,54,0,682,1403,1532,222,6,3164,174,205,33,0,408,33,28,11,0,74,174,207,56,0,431,426,856,89,0,1376,59,83,7,0,154,170,393,18,0,574,305,278,42,7,629,5307,7290,911,30,13540,24,3,0,0,27,9,0,0,0,7,178,36,0,0,214,9,3,0,0,13,844,171,7,0,1023,67,13,0,0,81,383,138,31,0,554,123,140,9,0,269,438,14,0,0,448,148,3,0,0,155,236,34,0,0,272,150,18,3,0,170,1556,260,28,4,1851,459,60,0,0,517,37,6,0,0,44,846,71,3,3,930,1416,333,18,0,1777,280,10,0,0,300,649,145,3,0,796
208,24,30,11,0,61,17,14,0,0,31,272,655,158,4,1090,18,34,3,0,63,952,1475,145,5,2582,195,396,70,3,665,452,833,120,0,1408,127,726,99,0,954,221,173,28,0,422,123,122,16,0,258,497,390,29,0,919,313,286,54,6,653,1613,1573,109,0,3294,264,292,44,0,597,47,51,14,0,115,202,238,42,0,479,422,857,130,5,1416,113,163,24,0,295,313,543,29,6,886,384,495,58,10,950,6574,9355,1176,40,17147,20,6,0,0,23,4,0,0,0,4,388,97,12,0,499,17,5,0,0,18,1340,244,6,6,1600,94,36,0,0,134,529,220,10,0,762,199,214,0,0,419,390,24,5,0,422,178,8,0,0,186,203,24,3,0,231,165,31,0,0,197,2045,313,10,4,2377,604,74,3,0,685,49,0,0,0,56,878,83,5,0,968,1811,372,23,0,2207,450,30,0,0,482,1123,202,0,6,1323
209,39,75,9,0,126,10,13,0,0,28,261,683,185,10,1140,36,38,6,0,78,1176,1863,145,6,3188,120,319,69,0,509,294,705,105,3,1103,103,591,56,0,752,432,264,23,0,725,93,80,7,0,178,246,185,0,0,432,138,194,40,0,377,839,822,65,3,1731,154,237,41,0,437,51,58,9,0,116,133,136,38,0,307,292,683,102,3,1072,80,90,18,0,191,255,555,23,0,836,270,364,57,11,704,5021,7951,1002,47,14023,105,18,0,0,122,5,0,0,0,5,462,99,7,0,573,27,3,0,0,31,1618,330,5,0,1958,88,50,3,0,146,518,181,22,6,713,238,176,5,0,423,925,46,0,3,979,160,7,0,0,169,147,17,0,0,163,81,16,3,0,101,1382,198,10,0,1596,615,76,0,0,690,51,5,0,0,58,695,73,4,0,772,1406,262,7,4,1682,441,28,3,0,469,1008,212,0,0,1222
210,42,53,6,0,103,6,9,0,0,16,323,933,220,5,1478,36,55,7,0,95,1063,1741,205,11,3029,131,357,74,0,557,208,532,73,3,818,80,343,52,3,482,871,501,71,9,1454,46,44,11,0,98,141,122,0,0,272,94,153,19,0,272,453,522,43,10,1014,158,205,45,0,407,27,46,9,0,78,93,100,16,0,208,186,400,64,5,652,28,59,14,0,102,260,490,20,0,773,249,366,41,11,670,4503,7027,991,54,12578,98,22,0,0,116,5,0,0,0,5,477,143,14,0,625,31,8,0,0,46,1242,361,7,8,1622,87,34,7,0,118,334,156,15,3,513,169,146,0,0,316,1258,48,3,6,1311,81,7,0,0,87,78,3,0,0,88,46,15,0,0,54,760,121,0,0,879,456,75,0,4,534,32,3,0,0,42,420,45,0,0,470,875,120,14,0,1007,198,17,0,0,221,886,181,3,0,1070
