POW_SA4_CODE_2021,Lab_1_149_H_0,Lab_1_149_H_1_19,Lab_1_149_H_20_29,Lab_1_149_H_30_34,Lab_1_149_H_35_39,Lab_1_149_H_40_44,Lab_1_149_H_45_49,Lab_1_149_H_50ov,Lab_1_149_H_NS,Lab_1_149_H_Tot,Lab_150_299_H_0,Lab_150_299_H_1_19,Lab_150_299_H_20_29,Lab_150_299_H_30_34,Lab_150_299_H_35_39,Lab_150_299_H_40_44,Lab_150_299_H_45_49,Lab_150_299_H_50ov,Lab_150_299_H_NS,Lab_150_299_H_Tot,Lab_300_399_H_0,Lab_300_399_H_1_19,Lab_300_399_H_20_29,Lab_300_399_H_30_34,Lab_300_399_H_35_39,Lab_300_399_H_40_44,Lab_300_399_H_45_49,Lab_300_399_H_50ov,Lab_300_399_H_NS,Lab_300_399_H_Tot,Lab_400_499_H_0,Lab_400_499_H_1_19,Lab_400_499_H_20_29,Lab_400_499_H_30_34,Lab_400_499_H_35_39,Lab_400_499_H_40_44,Lab_400_499_H_45_49,Lab_400_499_H_50ov,Lab_400_499_H_NS,Lab_400_499_H_Tot,Lab_500_649_H_0,Lab_500_649_H_1_19,Lab_500_649_H_20_29,Lab_500_649_H_30_34,Lab_500_649_H_35_39,Lab_500_649_H_40_44,Lab_500_649_H_45_49,Lab_500_649_H_50ov,Lab_500_649_H_NS,Lab_500_649_H_Tot,Lab_650_799_H_0,Lab_650_799_H_1_19,Lab_650_799_H_20_29,Lab_650_799_H_30_34,Lab_650_799_H_35_39,Lab_650_799_H_40_44,Lab_650_799_H_45_49,Lab_650_799_H_50ov,Lab_650_799_H_NS,Lab_650_799_H_Tot,Lab_800_999_H_0,Lab_800_999_H_1_19,Lab_800_999_H_20_29,Lab_800_999_H_30_34,Lab_800_999_H_35_39,Lab_800_999_H_40_44,Lab_800_999_H_45_49,Lab_800_999_H_50ov,Lab_800_999_H_NS,Lab_800_999_H_Tot,Lab_1000_1249_H_0,Lab_1000_1249_H_1_19,Lab_1000_1249_H_20_29,Lab_1000_1249_H_30_34,Lab_1000_1249_H_35_39,Lab_1000_1249_H_40_44,Lab_1000_1249_H_45_49,Lab_1000_1249_H_50ov,Lab_1000_1249_H_NS,Lab_1000_1249_H_Tot,Lab_1250_1499_H_0,Lab_1250_1499_H_1_19,Lab_1250_1499_H_20_29,Lab_1250_1499_H_30_34,Lab_1250_1499_H_35_39,Lab_1250_1499_H_40_44,Lab_1250_1499_H_45_49,Lab_1250_1499_H_50ov,Lab_1250_1499_H_NS,Lab_1250_1499_H_Tot,Lab_1500_1749_H_0,Lab_1500_1749_H_1_19,Lab_1500_1749_H_20_29,Lab_1500_1749_H_30_34,Lab_1500_1749_H_35_39,Lab_1500_1749_H_40_44,Lab_1500_1749_H_45_49,Lab_1500_1749_H_50ov,Lab_1500_1749_H_NS,Lab_1500_1749_H_Tot,Lab_1750_1999_H_0,Lab_1750_1999_H_1_19,Lab_1750_1999_H_20_29,Lab_1750_1999_H_30_34,Lab_1750_1999_H_35_39,Lab_1750_1999_H_40_44,Lab_1750_1999_H_45_49,Lab_1750_1999_H_50ov,Lab_1750_1999_H_NS,Lab_1750_1999_H_Tot,Lab_2000_2999_H_0,Lab_2000_2999_H_1_19,Lab_2000_2999_H_20_29,Lab_2000_2999_H_30_34,Lab_2000_2999_H_35_39,Lab_2000_2999_H_40_44,Lab_2000_2999_H_45_49,Lab_2000_2999_H_50ov,Lab_2000_2999_H_NS,Lab_2000_2999_H_Tot,Lab_3000_3499_H_0,Lab_3000_3499_H_1_19,Lab_3000_3499_H_20_29,Lab_3000_3499_H_30_34,Lab_3000_3499_H_35_39,Lab_3000_3499_H_40_44,Lab_3000_3499_H_45_49,Lab_3000_3499_H_50ov,Lab_3000_3499_H_NS,Lab_3000_3499_H_Tot,Lab_3500mo_H_0,Lab_3500mo_H_1_19,Lab_3500mo_H_20_29,Lab_3500mo_H_30_34,Lab_3500mo_H_35_39,Lab_3500mo_H_40_44,Lab_3500mo_H_45_49,Lab_3500mo_H_50ov,Lab_3500mo_H_NS,Lab_3500mo_H_Tot,Lab_PINS_H_0,Lab_PINS_H_1_19,Lab_PINS_H_20_29,Lab_PINS_H_30_34,Lab_PINS_H_35_39,Lab_PINS_H_40_44,Lab_PINS_H_45_49,Lab_PINS_H_50ov,Lab_PINS_H_NS,Lab_PINS_H_Tot,Lab_Tot_H_0,Lab_Tot_H_1_19,Lab_Tot_H_20_29,Lab_Tot_H_30_34,Lab_Tot_H_35_39,Lab_Tot_H_40_44,Lab_Tot_H_45_49,Lab_Tot_H_50ov,Lab_Tot_H_NS,Lab_Tot_H_Tot,OIDNS_NNI_H_0,OIDNS_NNI_H_1_19,OIDNS_NNI_H_20_29,OIDNS_NNI_H_30_34,OIDNS_NNI_H_35_39,OIDNS_NNI_H_40_44,OIDNS_NNI_H_45_49,OIDNS_NNI_H_50ov,OIDNS_NNI_H_NS,OIDNS_NNI_H_Tot,OIDNS_1_149_H_0,OIDNS_1_149_H_1_19,OIDNS_1_149_H_20_29,OIDNS_1_149_H_30_34,OIDNS_1_149_H_35_39,OIDNS_1_149_H_40_44,OIDNS_1_149_H_45_49,OIDNS_1_149_H_50ov,OIDNS_1_149_H_NS,OIDNS_1_149_H_Tot,OIDNS_150_299_H_0,OIDNS_150_299_H_1_19,OIDNS_150_299_H_20_29,OIDNS_150_299_H_30_34,OIDNS_150_299_H_35_39,OIDNS_150_299_H_40_44,OIDNS_150_299_H_45_49,OIDNS_150_299_H_50ov,OIDNS_150_299_H_NS,OIDNS_150_299_H_Tot,OIDNS_300_399_H_0,OIDNS_300_399_H_1_19,OIDNS_300_399_H_20_29,OIDNS_300_399_H_30_34,OIDNS_300_399_H_35_39,OIDNS_300_399_H_40_44,OIDNS_300_399_H_45_49,OIDNS_300_399_H_50ov,OIDNS_300_399_H_NS,OIDNS_300_399_H_Tot
201,99,514,22,3,0,0,0,3,9,650,41,378,54,7,8,5,0,9,8,505,43,266,83,11,13,3,0,6,14,440,51,280,148,38,18,15,8,4,10,573,67,273,310,103,47,25,8,19,15,872,46,207,202,166,241,102,24,23,11,1021,45,83,140,128,448,251,37,47,21,1191,41,45,57,70,245,299,64,74,17,915,18,13,30,29,92,120,37,65,6,408,16,12,18,12,47,88,32,52,3,282,3,7,9,10,27,61,25,35,0,172,5,4,3,3,25,48,52,42,0,188,3,0,0,3,6,4,4,3,0,19,0,0,0,0,3,4,0,16,0,30,0,22,4,3,13,5,0,9,23,82,494,2134,1091,588,1227,1041,292,404,142,7412,5,4,0,0,3,0,0,3,14,36,4,16,0,0,0,0,0,0,20,40,6,18,0,0,0,0,0,0,19,42,7,10,7,0,0,0,0,3,34,68
202,72,606,14,0,0,4,0,4,7,706,37,395,49,7,4,3,3,0,11,508,33,281,66,11,9,14,3,4,9,431,47,259,138,33,12,13,7,8,11,530,45,296,296,98,56,36,9,25,20,890,67,170,238,231,307,152,25,42,19,1258,52,124,141,189,520,422,73,66,29,1614,56,48,73,80,353,362,84,95,20,1164,12,12,24,31,105,137,50,78,0,452,9,10,11,10,50,85,22,50,0,238,3,3,3,4,19,29,17,40,0,118,7,0,0,3,11,33,11,52,0,120,0,0,0,4,4,7,0,11,3,23,0,3,0,0,6,0,0,7,0,20,9,13,10,10,13,20,0,0,20,82,471,2250,1074,720,1468,1313,298,483,149,8231,11,5,0,0,3,5,0,3,20,48,8,23,0,0,0,0,0,0,17,48,3,19,5,0,0,0,0,0,13,41,6,13,5,0,0,9,0,0,18,46
203,159,1035,17,6,5,0,0,4,7,1240,72,749,84,14,7,3,0,0,9,941,66,544,132,27,18,7,3,10,13,821,85,528,295,37,21,22,8,11,22,1036,102,479,509,138,88,55,13,14,20,1413,70,314,351,246,320,184,21,42,35,1587,74,166,222,225,623,522,75,83,27,2018,43,104,119,116,480,497,90,128,25,1599,24,32,50,33,188,245,67,121,6,766,13,14,13,26,73,134,42,102,7,436,5,10,8,17,48,91,38,61,4,291,12,18,14,4,39,91,26,130,7,334,0,8,0,4,3,7,3,21,0,45,6,12,0,8,4,11,4,23,0,66,6,34,11,9,19,17,0,11,29,129,777,4081,1834,902,1951,1898,389,771,214,12807,13,7,3,0,0,7,0,8,34,77,13,30,5,0,0,0,0,0,28,76,6,28,3,6,4,3,0,3,27,78,8,39,6,0,0,0,0,3,19,78
204,117,599,18,8,3,8,0,0,11,761,58,438,60,15,4,7,0,4,13,607,46,336,84,28,23,10,0,14,12,542,47,288,164,44,30,17,6,17,21,626,80,359,311,119,91,57,6,37,26,1080,81,224,291,204,306,170,30,50,16,1364,65,129,154,185,514,350,80,99,34,1611,60,72,62,105,399,424,82,120,14,1335,38,24,29,25,162,209,53,100,5,646,28,21,15,14,69,135,41,74,4,405,8,6,12,6,37,73,21,61,0,239,3,3,3,3,24,46,22,78,7,187,0,0,0,0,0,3,0,3,0,17,3,12,5,4,6,4,0,20,0,46,9,22,3,5,11,21,3,8,25,105,664,2561,1225,765,1678,1539,347,693,191,9669,8,5,4,0,0,5,0,3,33,54,4,21,0,0,0,4,0,0,23,52,5,20,4,0,0,3,0,0,20,59,6,14,6,3,0,0,0,0,16,48
205,133,809,20,4,8,3,0,5,25,1005,84,644,77,14,9,14,0,5,8,859,63,518,136,34,23,10,4,15,25,818,81,466,247,64,43,28,9,13,31,990,108,470,472,178,119,67,20,40,47,1532,104,286,388,310,394,200,45,57,45,1835,91,146,222,291,668,426,86,141,44,2101,53,92,108,121,457,439,122,168,33,1592,29,39,37,57,185,236,85,127,20,809,17,21,23,22,93,142,61,125,11,519,8,12,12,19,65,92,69,75,8,348,20,14,10,13,73,104,107,123,11,482,9,3,3,3,7,20,4,43,0,90,3,8,5,3,11,19,5,21,0,74,16,46,11,6,26,26,0,20,52,209,837,3631,1787,1149,2173,1845,612,991,361,13380,22,12,0,3,4,4,0,8,39,92,18,30,0,0,4,0,0,0,43,100,7,25,4,0,7,4,0,0,27,77,13,19,12,3,0,0,0,6,40,100
206,255,1215,42,7,0,9,0,7,11,1553,234,1148,186,21,13,9,0,8,31,1645,249,1044,423,50,29,17,0,6,34,1861,256,1080,1060,96,54,54,5,19,61,2682,317,1191,1853,325,191,127,18,21,72,4108,305,812,1269,543,819,317,32,64,77,4244,219,543,860,484,1303,652,91,115,93,4349,143,289,487,306,963,769,144,179,73,3363,76,127,167,105,447,445,112,168,30,1676,42,56,86,73,321,397,105,149,25,1256,39,47,34,48,212,326,110,173,21,1007,62,39,46,58,210,474,213,455,26,1595,16,11,9,6,25,69,48,180,0,360,11,14,12,16,25,42,30,165,0,325,24,37,24,15,24,24,10,17,84,267,2316,7739,6584,2159,4651,3733,913,1752,666,30504,64,40,17,4,22,39,8,43,212,441,55,103,8,3,3,5,0,13,74,265,48,123,19,9,3,3,0,3,104,311,54,129,52,14,8,11,0,9,150,427
207,103,781,27,0,0,0,0,0,4,918,67,588,62,8,4,8,0,0,10,745,58,447,144,28,10,9,0,0,6,702,60,332,248,32,21,8,0,0,10,716,52,315,442,99,54,23,0,7,9,1005,57,195,314,134,192,69,14,14,13,999,37,104,201,138,302,128,22,28,13,977,19,67,129,71,242,184,41,31,10,802,15,30,36,35,114,98,31,40,5,401,14,19,15,12,66,63,22,32,0,245,8,11,11,8,36,45,18,27,4,162,4,15,16,3,33,44,20,42,0,181,0,0,0,6,6,12,0,18,0,42,4,4,4,5,0,4,4,14,0,35,9,15,7,3,7,3,0,0,17,65,525,2959,1658,585,1078,707,166,257,124,8068,3,9,11,0,0,8,0,6,34,81,8,29,7,3,0,11,0,5,27,80,7,43,16,0,0,3,0,0,14,83,5,46,23,9,3,6,0,5,32,121
208,151,1039,25,8,0,3,0,0,3,1237,68,690,97,15,10,0,0,3,11,906,55,519,157,34,6,6,9,9,6,805,50,408,328,49,21,24,3,5,13,899,81,422,509,133,124,56,7,10,22,1360,68,259,397,238,519,178,14,31,23,1732,67,199,284,254,867,442,74,82,30,2303,39,108,136,123,550,444,83,113,25,1620,15,54,71,60,258,223,64,84,15,835,16,25,29,32,115,138,41,67,6,462,9,19,12,6,56,102,32,53,3,292,8,15,23,13,37,112,47,90,0,353,3,3,0,0,10,13,9,18,0,62,0,9,8,10,3,9,3,22,0,68,9,31,7,7,16,15,0,8,20,116,660,3846,2104,981,2586,1774,394,610,188,13154,12,14,5,5,0,5,7,19,54,115,15,38,10,0,3,5,0,0,25,99,9,51,10,5,0,5,0,0,17,89,11,41,12,3,0,3,0,0,39,112
209,132,1076,28,6,0,0,0,3,9,1251,75,837,116,11,8,9,0,0,14,1068,61,547,191,28,23,15,3,5,16,895,70,502,413,42,28,19,7,5,12,1103,88,499,652,183,112,49,11,30,27,1646,84,301,483,321,531,192,19,35,37,2011,88,221,291,306,926,545,108,90,52,2622,57,110,143,144,639,539,101,137,30,1895,23,46,56,62,279,314,65,113,13,979,20,24,29,26,139,191,51,95,9,582,10,11,14,19,69,75,40,72,8,318,15,15,14,14,46,107,51,110,4,379,0,0,0,0,5,14,9,23,0,57,0,3,0,3,8,17,6,33,0,76,12,31,14,8,23,19,6,8,43,156,762,4284,2461,1187,2851,2111,484,757,277,15182,14,18,7,0,6,3,0,3,48,114,17,57,4,5,0,0,0,0,27,100,5,39,9,0,0,0,0,0,32,84,4,50,16,6,4,0,0,7,41,125
210,101,787,26,10,0,3,0,8,10,946,68,687,99,13,7,8,0,0,13,903,66,472,188,41,15,16,8,7,18,841,75,417,371,47,42,31,4,10,20,1009,82,381,624,171,140,66,10,18,26,1524,94,310,495,323,765,272,34,25,37,2372,87,235,341,362,1321,667,134,122,54,3328,61,124,185,159,799,732,196,200,47,2502,37,66,75,55,350,405,126,150,21,1273,30,39,37,38,230,270,65,150,29,878,9,20,18,21,110,158,70,148,9,562,15,19,18,10,99,167,64,184,6,590,4,3,0,3,9,22,4,32,6,86,0,6,4,3,10,12,16,31,0,83,5,33,13,5,26,20,3,10,43,162,753,3657,2521,1273,3941,2872,748,1100,354,17220,14,5,0,5,7,4,0,0,59,103,5,34,7,5,0,3,0,0,20,82,10,39,4,0,6,0,0,0,30,88,3,47,18,4,0,9,0,3,27,118
