POW_SA4_CODE_2021,CI_II_2000_2999_Mng,CI_II_2000_2999_Pro,CI_II_2000_2999_TecTW,CI_II_2000_2999_CoPSW,CI_II_2000_2999_ClAW,CI_II_2000_2999_SWks,CI_II_2000_2999_MaOpDv,CI_II_2000_2999_Lab,CI_II_2000_2999_IDNS,CI_II_2000_2999_Tot,CI_II_3000_3499_Mng,CI_II_3000_3499_Pro,CI_II_3000_3499_TecTW,CI_II_3000_3499_CoPSW,CI_II_3000_3499_ClAW,CI_II_3000_3499_SWks,CI_II_3000_3499_MaOpDv,CI_II_3000_3499_Lab,CI_II_3000_3499_IDNS,CI_II_3000_3499_Tot,CI_II_3500mo_Mng,CI_II_3500mo_Pro,CI_II_3500mo_TecTW,CI_II_3500mo_CoPSW,CI_II_3500mo_ClAW,CI_II_3500mo_SWks,CI_II_3500mo_MaOpDv,CI_II_3500mo_Lab,CI_II_3500mo_IDNS,CI_II_3500mo_Tot,CI_II_PINS_Mng,CI_II_PINS_Pro,CI_II_PINS_TecTW,CI_II_PINS_CoPSW,CI_II_PINS_ClAW,CI_II_PINS_SWks,CI_II_PINS_MaOpDv,CI_II_PINS_Lab,CI_II_PINS_IDNS,CI_II_PINS_Tot,CI_II_Tot_Mng,CI_II_Tot_Pro,CI_II_Tot_TecTW,CI_II_Tot_CoPSW,CI_II_Tot_ClAW,CI_II_Tot_SWks,CI_II_Tot_MaOpDv,CI_II_Tot_Lab,CI_II_Tot_IDNS,CI_II_Tot_Tot,LE_IDNS_NNI_Mng,LE_IDNS_NNI_Pro,LE_IDNS_NNI_TecTW,LE_IDNS_NNI_CoPSW,LE_IDNS_NNI_ClAW,LE_IDNS_NNI_SWks,LE_IDNS_NNI_MaOpDv,LE_IDNS_NNI_Lab,LE_IDNS_NNI_IDNS,LE_IDNS_NNI_Tot,LE_IDNS_1_149_Mng,LE_IDNS_1_149_Pro,LE_IDNS_1_149_TecTW,LE_IDNS_1_149_CoPSW,LE_IDNS_1_149_ClAW,LE_IDNS_1_149_SWks,LE_IDNS_1_149_MaOpDv,LE_IDNS_1_149_Lab,LE_IDNS_1_149_IDNS,LE_IDNS_1_149_Tot,LE_IDNS_150_299_Mng,LE_IDNS_150_299_Pro,LE_IDNS_150_299_TecTW,LE_IDNS_150_299_CoPSW,LE_IDNS_150_299_ClAW,LE_IDNS_150_299_SWks,LE_IDNS_150_299_MaOpDv,LE_IDNS_150_299_Lab,LE_IDNS_150_299_IDNS,LE_IDNS_150_299_Tot,LE_IDNS_300_399_Mng,LE_IDNS_300_399_Pro,LE_IDNS_300_399_TecTW,LE_IDNS_300_399_CoPSW,LE_IDNS_300_399_ClAW,LE_IDNS_300_399_SWks,LE_IDNS_300_399_MaOpDv,LE_IDNS_300_399_Lab,LE_IDNS_300_399_IDNS,LE_IDNS_300_399_Tot,LE_IDNS_400_499_Mng,LE_IDNS_400_499_Pro,LE_IDNS_400_499_TecTW,LE_IDNS_400_499_CoPSW,LE_IDNS_400_499_ClAW,LE_IDNS_400_499_SWks,LE_IDNS_400_499_MaOpDv,LE_IDNS_400_499_Lab,LE_IDNS_400_499_IDNS,LE_IDNS_400_499_Tot,LE_IDNS_500_649_Mng,LE_IDNS_500_649_Pro,LE_IDNS_500_649_TecTW,LE_IDNS_500_649_CoPSW,LE_IDNS_500_649_ClAW,LE_IDNS_500_649_SWks,LE_IDNS_500_649_MaOpDv,LE_IDNS_500_649_Lab,LE_IDNS_500_649_IDNS,LE_IDNS_500_649_Tot,LE_IDNS_650_799_Mng,LE_IDNS_650_799_Pro,LE_IDNS_650_799_TecTW,LE_IDNS_650_799_CoPSW,LE_IDNS_650_799_ClAW,LE_IDNS_650_799_SWks,LE_IDNS_650_799_MaOpDv,LE_IDNS_650_799_Lab,LE_IDNS_650_799_IDNS,LE_IDNS_650_799_Tot,LE_IDNS_800_999_Mng,LE_IDNS_800_999_Pro,LE_IDNS_800_999_TecTW,LE_IDNS_800_999_CoPSW,LE_IDNS_800_999_ClAW,LE_IDNS_800_999_SWks,LE_IDNS_800_999_MaOpDv,LE_IDNS_800_999_Lab,LE_IDNS_800_999_IDNS,LE_IDNS_800_999_Tot,LE_IDNS_1000_1249_Mng,LE_IDNS_1000_1249_Pro,LE_IDNS_1000_1249_TecTW,LE_IDNS_1000_1249_CoPSW,LE_IDNS_1000_1249_ClAW,LE_IDNS_1000_1249_SWks,LE_IDNS_1000_1249_MaOpDv,LE_IDNS_1000_1249_Lab,LE_IDNS_1000_1249_IDNS,LE_IDNS_1000_1249_Tot,LE_IDNS_1250_1499_Mng,LE_IDNS_1250_1499_Pro,LE_IDNS_1250_1499_TecTW,LE_IDNS_1250_1499_CoPSW,LE_IDNS_1250_1499_ClAW,LE_IDNS_1250_1499_SWks,LE_IDNS_1250_1499_MaOpDv,LE_IDNS_1250_1499_Lab,LE_IDNS_1250_1499_IDNS,LE_IDNS_1250_1499_Tot,LE_IDNS_1500_1749_Mng,LE_IDNS_1500_1749_Pro,LE_IDNS_1500_1749_TecTW,LE_IDNS_1500_1749_CoPSW,LE_IDNS_1500_1749_ClAW,LE_IDNS_1500_1749_SWks,LE_IDNS_1500_1749_MaOpDv,LE_IDNS_1500_1749_Lab,LE_IDNS_1500_1749_IDNS,LE_IDNS_1500_1749_Tot,LE_IDNS_1750_1999_Mng,LE_IDNS_1750_1999_Pro,LE_IDNS_1750_1999_TecTW,LE_IDNS_1750_1999_CoPSW,LE_IDNS_1750_1999_ClAW,LE_IDNS_1750_1999_SWks,LE_IDNS_1750_1999_MaOpDv,LE_IDNS_1750_1999_Lab,LE_IDNS_1750_1999_IDNS,LE_IDNS_1750_1999_Tot,LE_IDNS_2000_2999_Mng,LE_IDNS_2000_2999_Pro,LE_IDNS_2000_2999_TecTW,LE_IDNS_2000_2999_CoPSW,LE_IDNS_2000_2999_ClAW,LE_IDNS_2000_2999_SWks,LE_IDNS_2000_2999_MaOpDv,LE_IDNS_2000_2999_Lab,LE_IDNS_2000_2999_IDNS,LE_IDNS_2000_2999_Tot,LE_IDNS_3000_3499_Mng,LE_IDNS_3000_3499_Pro,LE_IDNS_3000_3499_TecTW,LE_IDNS_3000_3499_CoPSW,LE_IDNS_3000_3499_ClAW,LE_IDNS_3000_3499_SWks,LE_IDNS_3000_3499_MaOpDv,LE_IDNS_3000_3499_Lab,LE_IDNS_3000_3499_IDNS,LE_IDNS_3000_3499_Tot,LE_IDNS_3500mo_Mng,LE_IDNS_3500mo_Pro,LE_IDNS_3500mo_TecTW,LE_IDNS_3500mo_CoPSW,LE_IDNS_3500mo_ClAW,LE_IDNS_3500mo_SWks,LE_IDNS_3500mo_MaOpDv,LE_IDNS_3500mo_Lab,LE_IDNS_3500mo_IDNS,LE_IDNS_3500mo_Tot
201,12,0,0,6,0,3,3,4,0,29,0,0,0,0,0,3,0,0,0,5,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,106,45,90,158,193,179,70,161,5,1008,6,0,0,4,0,0,0,3,7,20,3,0,6,3,0,6,3,9,4,39,4,0,6,5,4,4,0,16,6,38,3,0,3,5,3,9,0,10,5,48,9,11,5,12,0,7,3,15,4,72,15,6,15,21,18,11,9,31,6,133,22,17,15,28,22,16,6,24,14,156,25,16,25,33,19,26,15,23,8,201,29,34,34,25,35,11,21,13,10,205,16,30,16,15,18,8,16,12,9,138,11,29,0,16,8,5,6,6,7,99,9,17,3,10,9,0,4,4,4,61,27,33,5,8,7,5,3,4,0,77,8,5,4,0,0,0,3,0,0,19,10,19,0,5,0,0,0,4,0,33
202,4,0,0,3,11,0,0,0,0,15,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,11,88,38,96,141,192,143,55,196,16,957,0,0,0,0,0,0,0,0,4,12,4,0,3,7,5,21,0,8,0,44,3,5,10,3,8,11,3,0,0,39,3,6,5,8,4,5,5,16,7,63,11,7,6,13,4,8,4,14,9,75,14,10,16,17,12,11,13,29,12,134,15,14,19,35,20,21,14,36,4,178,21,22,16,31,29,15,11,37,6,194,24,25,18,25,26,12,18,25,11,187,15,32,13,14,21,4,14,4,5,120,16,32,9,16,7,5,7,0,6,98,11,22,5,3,4,6,3,0,5,64,27,29,8,13,9,0,3,3,4,96,4,8,0,0,0,0,0,3,0,18,8,10,0,0,0,8,0,0,5,35
203,16,11,3,5,6,5,5,0,0,56,6,3,0,0,0,0,3,0,0,6,7,6,0,0,0,3,0,4,0,19,0,0,0,0,0,0,0,0,0,7,134,87,149,243,284,235,130,239,16,1509,3,0,4,0,4,3,0,0,20,35,0,3,7,7,0,15,0,20,14,72,4,4,5,8,15,13,0,16,8,77,6,8,5,21,9,14,5,13,8,91,5,4,15,23,9,18,3,30,10,117,6,13,15,59,41,21,11,39,14,225,20,26,31,65,35,30,16,49,16,286,21,25,46,64,54,29,32,43,24,343,25,61,42,53,40,19,38,35,28,337,31,47,29,25,31,9,18,22,13,233,22,47,13,15,19,13,10,10,16,167,13,39,8,13,3,9,5,8,7,102,50,64,27,23,13,9,10,10,15,205,15,18,0,0,4,10,0,0,5,49,24,31,3,11,4,0,0,3,13,89
204,9,5,0,3,5,8,7,3,0,37,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,136,37,115,201,194,177,87,233,11,1188,12,0,0,0,3,0,3,3,13,29,5,0,0,9,0,16,0,13,8,49,11,0,4,6,7,10,0,18,7,76,27,0,11,8,5,13,4,17,3,91,22,6,8,20,8,10,3,23,10,108,28,10,11,36,22,24,8,32,6,190,17,12,22,31,15,21,15,46,15,199,30,25,33,47,28,17,27,49,13,275,33,36,32,24,33,9,34,41,17,254,21,20,15,16,26,12,16,18,7,146,27,26,9,10,5,7,15,4,8,111,21,14,0,12,5,4,9,5,0,70,32,32,3,16,5,3,9,4,7,111,5,0,0,0,0,4,3,0,0,16,19,8,4,0,5,3,0,0,0,38
205,15,0,6,9,12,0,5,0,0,44,0,5,0,0,4,5,0,0,0,10,8,0,3,0,0,3,0,0,0,12,7,0,0,0,6,0,0,3,0,17,209,89,165,271,322,229,89,271,15,1655,14,0,3,0,4,0,3,3,14,49,6,0,0,25,4,28,4,21,16,101,7,0,11,16,9,20,3,34,10,117,17,5,12,18,16,11,4,22,8,119,15,11,13,33,18,29,4,43,15,176,29,21,31,55,28,30,9,52,20,271,36,26,33,61,41,54,12,57,12,334,39,29,35,58,44,28,27,60,26,348,60,58,29,38,34,22,30,39,17,322,42,50,18,18,38,12,30,21,4,242,39,46,14,11,18,6,17,18,3,176,15,24,3,10,9,5,11,11,3,93,26,36,19,23,7,5,14,21,8,153,15,7,3,3,0,0,3,3,0,35,16,18,13,4,7,6,10,3,3,77
206,101,122,24,31,78,34,19,19,10,431,44,20,10,0,9,3,4,0,0,97,63,29,9,9,6,19,0,0,0,142,0,6,4,3,9,4,0,0,5,27,591,508,365,749,1192,439,145,394,64,4444,23,19,13,6,10,14,4,11,86,178,5,18,5,16,14,24,0,16,20,119,3,24,19,46,16,37,7,38,45,243,18,26,22,60,31,51,16,42,47,312,14,38,38,78,48,43,25,87,67,436,37,64,70,117,94,67,32,116,69,672,52,101,112,143,147,83,35,124,102,901,114,193,149,188,235,88,71,133,156,1328,164,314,232,193,369,95,68,98,168,1711,129,410,118,101,327,70,37,42,135,1371,160,457,102,84,247,61,18,31,105,1266,162,437,74,56,151,50,23,22,88,1055,442,881,94,86,199,79,41,30,123,1962,159,229,11,13,38,20,8,3,32,522,351,418,20,13,60,42,3,10,74,989
207,15,14,0,7,9,8,0,0,0,55,3,0,0,0,0,3,0,0,0,10,6,8,0,0,0,7,0,0,0,19,0,0,0,0,0,0,0,0,0,7,115,85,100,201,247,157,31,111,5,1056,6,9,4,0,5,3,0,9,15,43,0,11,0,16,10,9,0,4,9,63,5,9,4,23,5,19,0,17,7,88,4,13,6,14,9,19,3,13,15,99,6,21,12,34,13,19,6,11,21,140,12,16,22,37,24,21,4,38,20,193,12,28,27,62,29,21,18,22,14,235,21,59,37,62,63,34,16,35,30,344,35,69,46,54,53,34,13,24,19,339,26,80,28,17,33,18,7,8,22,245,29,66,25,23,46,14,4,0,17,228,26,60,9,14,14,12,3,3,12,146,61,104,12,21,30,14,8,3,17,262,22,42,3,9,0,5,0,0,3,89,44,72,5,5,10,6,0,3,10,154
208,17,6,4,6,10,11,4,9,0,61,5,3,0,0,0,0,0,0,0,14,7,4,0,0,3,5,0,0,0,21,0,0,0,0,0,0,0,0,3,6,155,93,175,217,305,225,92,173,16,1457,9,10,0,7,9,8,0,0,19,62,6,0,0,11,3,7,0,4,13,48,8,13,3,22,14,26,0,7,6,98,11,11,10,24,12,17,6,25,15,122,7,20,20,33,27,18,8,25,7,171,21,35,23,57,33,32,16,41,23,280,13,37,37,58,54,32,26,53,28,338,45,51,61,79,53,41,40,55,41,460,50,87,67,78,75,40,36,45,36,514,35,77,48,26,46,28,29,19,31,344,52,95,41,25,42,23,14,5,30,327,48,50,27,15,24,15,9,11,19,210,88,106,16,20,21,16,10,8,21,295,22,23,6,0,3,8,0,0,13,67,45,68,4,5,4,22,6,4,14,167
209,16,11,7,4,6,0,5,3,0,43,0,0,0,0,0,0,0,0,0,12,6,0,5,0,0,5,0,0,0,10,0,0,4,0,3,0,0,0,0,10,115,79,170,226,330,254,132,192,17,1512,3,4,8,4,10,10,3,0,11,50,0,7,5,11,4,12,0,10,7,68,0,7,10,19,12,25,3,18,8,104,7,18,15,27,18,28,7,22,16,160,7,10,18,48,25,26,10,40,16,187,15,22,36,60,32,41,19,39,16,282,19,39,48,75,58,47,45,61,25,411,36,54,69,96,74,31,43,71,26,510,43,84,72,59,79,33,51,40,44,510,36,86,39,47,49,22,26,22,26,344,27,95,41,28,31,11,28,19,11,295,35,64,25,24,18,11,14,7,16,208,46,84,24,21,5,12,6,9,15,229,9,27,6,4,0,0,3,0,4,58,23,38,4,4,8,7,0,0,12,88
210,20,7,12,13,6,4,8,8,0,88,0,0,0,0,0,0,0,0,0,6,5,0,0,3,0,3,0,0,0,21,0,0,0,6,0,0,0,0,0,10,129,54,202,298,387,197,219,240,21,1751,5,5,5,4,0,3,0,5,8,39,3,0,0,10,0,8,4,6,8,52,6,4,5,6,9,18,0,10,8,70,6,7,20,15,12,16,10,21,17,128,12,11,19,26,15,19,13,18,18,149,12,11,36,43,30,38,29,38,18,266,23,23,53,61,48,32,54,50,41,377,32,29,83,73,68,46,101,68,52,554,54,47,76,48,94,42,100,61,44,562,27,53,39,40,63,23,55,27,34,368,36,56,29,25,56,8,28,21,21,279,28,46,25,7,21,14,12,18,17,186,58,80,28,29,34,17,21,11,23,286,22,19,5,3,4,8,0,9,3,64,41,46,6,3,5,3,0,6,9,119
