POW_SA4_CODE_2021,M2_BusFer_Mng,M2_BusFer_Pro,M2_BusFer_TecTW,M2_BusFer_CoPSW,M2_BusFer_ClAW,M2_BusFer_SWks,M2_BusFer_MaOpDv,M2_BusFer_Lab,M2_BusFer_IDNS,M2_BusFer_Tot,M2_BusTrm_or_LR_Mng,M2_BusTrm_or_LR_Pro,M2_BusTrm_or_LR_TecTW,M2_BusTrm_or_LR_CoPSW,M2_BusTrm_or_LR_ClAW,M2_BusTrm_or_LR_SWks,M2_BusTrm_or_LR_MaOpDv,M2_BusTrm_or_LR_Lab,M2_BusTrm_or_LR_IDNS,M2_BusTrm_or_LR_Tot,M2_BusCarAsDriv_Mng,M2_BusCarAsDriv_Pro,M2_BusCarAsDriv_TecTW,M2_BusCarAsDriv_CoPSW,M2_BusCarAsDriv_ClAW,M2_BusCarAsDriv_SWks,M2_BusCarAsDriv_MaOpDv,M2_BusCarAsDriv_Lab,M2_BusCarAsDriv_IDNS,M2_BusCarAsDriv_Tot,M2_BusCarAsPas_Mng,M2_BusCarAsPas_Pro,M2_BusCarAsPas_TecTW,M2_BusCarAsPas_CoPSW,M2_BusCarAsPas_ClAW,M2_BusCarAsPas_SWks,M2_BusCarAsPas_MaOpDv,M2_BusCarAsPas_Lab,M2_BusCarAsPas_IDNS,M2_BusCarAsPas_Tot,M2_BusOth_Mng,M2_BusOth_Pro,M2_BusOth_TecTW,M2_BusOth_CoPSW,M2_BusOth_ClAW,M2_BusOth_SWks,M2_BusOth_MaOpDv,M2_BusOth_Lab,M2_BusOth_IDNS,M2_BusOth_Tot,M2_Bus_and_Tot_Mng,M2_Bus_and_Tot_Pro,M2_Bus_and_Tot_TecTW,M2_Bus_and_Tot_CoPSW,M2_Bus_and_Tot_ClAW,M2_Bus_and_Tot_SWks,M2_Bus_and_Tot_MaOpDv,M2_Bus_and_Tot_Lab,M2_Bus_and_Tot_IDNS,M2_Bus_and_Tot_Tot,M2_Oth_M2_Mng,M2_Oth_M2_Pro,M2_Oth_M2_TecTW,M2_Oth_M2_CoPSW,M2_Oth_M2_ClAW,M2_Oth_M2_SWks,M2_Oth_M2_MaOpDv,M2_Oth_M2_Lab,M2_Oth_M2_IDNS,M2_Oth_M2_Tot,M2_Tot_M2_Mng,M2_Tot_M2_Pro,M2_Tot_M2_TecTW,M2_Tot_M2_CoPSW,M2_Tot_M2_ClAW,M2_Tot_M2_SWks,M2_Tot_M2_MaOpDv,M2_Tot_M2_Lab,M2_Tot_M2_IDNS,M2_Tot_M2_Tot,M3_Trn_2_OthM_Mng,M3_Trn_2_OthM_Pro,M3_Trn_2_OthM_TecTW,M3_Trn_2_OthM_CoPSW,M3_Trn_2_OthM_ClAW,M3_Trn_2_OthM_SWks,M3_Trn_2_OthM_MaOpDv,M3_Trn_2_OthM_Lab,M3_Trn_2_OthM_IDNS,M3_Trn_2_OthM_Tot,M3_Bus_2_OthM_ex_trn_Mng,M3_Bus_2_OthM_ex_trn_Pro,M3_Bus_2_OthM_ex_trn_TecTW,M3_Bus_2_OthM_ex_trn_CoPSW,M3_Bus_2_OthM_ex_trn_ClAW,M3_Bus_2_OthM_ex_trn_SWks,M3_Bus_2_OthM_ex_trn_MaOpDv,M3_Bus_2_OthM_ex_trn_Lab,M3_Bus_2_OthM_ex_trn_IDNS,M3_Bus_2_OthM_ex_trn_Tot,M3_Oth_M3_Mng,M3_Oth_M3_Pro,M3_Oth_M3_TecTW,M3_Oth_M3_CoPSW,M3_Oth_M3_ClAW,M3_Oth_M3_SWks,M3_Oth_M3_MaOpDv,M3_Oth_M3_Lab,M3_Oth_M3_IDNS,M3_Oth_M3_Tot,M3_Tot_M3_Mng,M3_Tot_M3_Pro,M3_Tot_M3_TecTW,M3_Tot_M3_CoPSW,M3_Tot_M3_ClAW,M3_Tot_M3_SWks,M3_Tot_M3_MaOpDv,M3_Tot_M3_Lab,M3_Tot_M3_IDNS,M3_Tot_M3_Tot,Wkd_at_home_Mng,Wkd_at_home_Pro,Wkd_at_home_TecTW,Wkd_at_home_CoPSW,Wkd_at_home_ClAW,Wkd_at_home_SWks,Wkd_at_home_MaOpDv,Wkd_at_home_Lab,Wkd_at_home_IDNS,Wkd_at_home_Tot,Did_not_go_to_work_Mng,Did_not_go_to_work_Pro,Did_not_go_to_work_TecTW,Did_not_go_to_work_CoPSW,Did_not_go_to_work_ClAW,Did_not_go_to_work_SWks,Did_not_go_to_work_MaOpDv,Did_not_go_to_work_Lab,Did_not_go_to_work_IDNS,Did_not_go_to_work_Tot,Meth_of_trav_NS_Mng,Meth_of_trav_NS_Pro,Meth_of_trav_NS_TecTW,Meth_of_trav_NS_CoPSW,Meth_of_trav_NS_ClAW,Meth_of_trav_NS_SWks,Meth_of_trav_NS_MaOpDv,Meth_of_trav_NS_Lab,Meth_of_trav_NS_IDNS,Meth_of_trav_NS_Tot,Tot_Mng,Tot_Pro,Tot_TecTW,Tot_CoPSW,Tot_ClAW,Tot_SWks,Tot_MaOpDv,Tot_Lab,Tot_IDNS,Tot_Tot
201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,16,0,5,3,8,0,9,0,10,0,36,0,4,0,7,0,0,0,9,0,23,4,11,10,17,9,17,3,19,0,79,42,57,59,44,18,42,41,44,7,355,47,83,71,75,25,65,48,80,4,494,0,11,0,0,0,0,4,0,0,17,0,0,0,7,0,3,0,6,0,9,0,0,0,4,0,4,0,6,0,17,0,11,6,12,0,7,3,4,0,45,2305,3599,666,494,2296,318,44,113,158,10002,548,1554,661,1852,879,1357,324,1077,99,8352,37,38,33,34,23,27,21,38,196,446,8837,14552,9523,9668,8531,6717,3889,7412,1066,70192
202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,4,3,3,0,20,0,0,5,15,4,18,0,12,0,56,0,4,0,0,5,4,0,7,0,17,0,8,9,20,9,22,9,24,0,94,36,51,53,31,15,47,23,52,4,308,43,77,63,69,25,70,30,100,3,485,0,3,0,3,0,0,0,3,0,8,0,0,0,4,0,0,0,11,0,14,7,0,0,0,0,0,4,7,0,19,6,7,3,3,6,3,3,14,0,47,2515,3755,587,496,2266,256,53,133,186,10255,531,1683,649,1713,782,1329,379,1078,100,8252,36,25,32,28,20,26,19,40,179,412,8764,14965,8920,9347,7987,6284,4134,8231,1112,69726
203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,13,8,0,3,5,0,54,0,5,8,21,6,28,0,32,0,110,5,4,4,17,7,9,0,14,3,56,9,18,23,46,19,47,4,56,3,218,62,106,98,72,47,60,68,101,10,635,79,183,147,157,83,128,79,186,16,1056,6,23,12,13,0,3,0,8,3,76,4,9,3,11,0,7,5,11,0,47,3,7,3,4,0,0,0,4,0,23,14,36,15,26,5,17,6,24,6,142,4739,9556,1289,1068,5562,739,85,188,424,23654,1049,3295,1341,3464,1553,2816,625,1824,188,16152,40,60,50,60,32,33,34,61,274,641,15919,30503,18456,18607,15704,12845,7482,12807,2242,134572
204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,6,5,3,0,26,0,0,0,5,0,10,0,11,0,19,0,3,0,10,4,3,0,6,0,19,0,9,7,11,5,13,6,14,0,60,60,41,81,57,14,35,45,77,8,422,65,51,90,74,17,51,54,101,6,505,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,15,0,0,4,0,4,4,0,0,22,15,6,0,4,0,3,6,3,0,34,3735,2545,640,513,1754,230,96,275,176,9972,664,1426,733,1978,674,1222,506,1236,115,8564,80,33,56,48,15,30,23,52,253,584,12354,13095,10799,10817,7712,6449,5633,9669,1422,77944
205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,6,0,3,7,3,0,37,0,6,0,7,3,13,0,11,0,42,0,0,0,0,0,0,3,0,0,10,8,7,9,19,4,15,10,19,0,85,93,106,112,53,33,52,51,108,9,622,106,120,129,78,52,83,65,140,12,785,0,9,6,9,0,6,0,7,0,30,0,0,7,3,0,0,0,4,0,13,17,0,5,5,0,0,0,0,0,30,17,8,16,13,5,7,3,18,0,76,4824,3995,952,843,3202,410,112,308,288,14927,879,2154,1236,2867,1320,2023,659,1778,201,13116,106,52,72,87,45,53,43,89,411,957,16302,19813,16161,15128,12882,10433,6778,13380,2211,113091
206,0,0,0,0,0,0,0,0,0,6,69,210,86,184,125,102,29,128,10,934,33,82,16,15,43,16,7,9,10,227,6,24,7,34,8,25,4,16,0,119,14,26,11,16,10,11,4,10,5,103,111,345,119,256,188,153,44,152,22,1394,435,1071,426,552,378,292,132,273,48,3603,2075,6401,2383,2925,3658,1704,600,2161,441,22356,430,1679,520,752,813,385,95,594,134,5392,17,39,15,33,18,24,4,16,3,153,47,83,27,70,27,33,9,16,3,300,484,1796,557,858,847,434,106,618,138,5848,84568,195832,10072,4918,68980,12312,265,557,6224,383718,9204,20651,6998,16442,10321,8875,1731,5188,1559,80971,184,426,220,219,155,161,105,148,1354,2966,136928,301895,56595,60461,118797,44234,14454,30504,14836,778703
207,0,0,0,0,0,0,0,0,0,0,7,19,7,30,13,26,0,21,3,134,9,21,9,12,4,12,0,4,0,77,0,6,8,25,13,31,0,20,4,106,0,14,0,12,5,7,0,4,0,38,14,63,24,77,31,73,7,49,9,354,68,146,85,111,47,77,18,54,23,633,159,548,268,513,268,311,54,316,46,2485,14,91,42,128,49,44,11,56,5,451,4,7,0,14,6,11,8,13,0,59,0,14,0,3,3,6,0,0,0,28,17,110,50,145,53,65,17,68,3,536,10614,26596,1565,1495,9329,2371,77,162,935,53134,1513,4202,1478,4379,2104,3364,312,1550,232,19138,52,82,33,34,35,23,20,29,257,566,21962,51034,13261,19060,20579,14737,2944,8068,2706,154349
208,0,0,0,0,0,0,0,0,0,4,4,3,4,13,0,12,6,5,0,49,10,10,10,8,5,6,0,11,0,61,4,7,6,36,4,46,8,24,0,135,0,4,4,11,0,16,0,7,0,42,18,25,23,73,17,72,14,49,4,291,77,122,112,115,62,97,50,101,20,758,187,442,342,649,234,414,163,462,53,2942,33,97,54,191,52,81,30,103,13,661,0,6,4,9,0,14,0,4,0,42,0,5,4,4,5,9,0,3,0,34,38,110,68,207,58,106,29,112,16,737,8649,18508,1497,1488,7048,2592,72,181,821,40851,1636,3499,2094,4987,1970,4747,546,2106,212,21796,52,85,55,54,39,40,24,40,329,714,24343,41564,21063,21993,20181,19153,7544,13154,3116,172105
209,0,0,0,0,0,0,0,0,0,0,6,14,15,22,11,19,5,33,0,137,7,17,11,13,0,7,5,13,4,69,0,22,13,37,5,57,0,35,3,171,0,10,7,15,8,13,10,7,0,61,11,61,42,96,26,92,21,85,6,439,71,147,135,99,58,83,104,117,12,825,134,415,341,397,179,278,204,412,38,2389,19,79,30,89,26,41,20,66,5,368,4,8,7,12,7,28,4,8,3,71,5,5,8,3,3,3,0,3,0,34,21,88,39,105,31,70,22,79,6,471,5375,14811,1571,1686,6672,1394,112,175,597,32389,1386,4610,1820,4519,1899,3976,762,2106,227,21311,51,81,85,50,40,41,29,44,297,713,19234,42517,22285,22634,20230,17446,10516,15182,3154,173204
210,0,0,0,0,0,0,0,0,0,0,8,7,4,13,19,9,12,17,0,81,4,6,13,36,9,17,16,0,0,113,0,4,13,22,4,31,11,26,0,109,4,0,5,9,6,9,3,4,0,42,18,18,36,80,34,65,41,51,4,344,65,85,169,96,76,77,163,144,20,902,118,210,307,289,168,224,280,410,38,2052,11,42,38,57,21,36,31,80,9,317,0,5,3,10,4,17,3,3,0,54,3,6,3,0,8,7,8,9,0,43,12,49,49,70,30,58,38,89,11,408,4890,9842,1251,1341,5901,1243,104,176,508,25253,1189,2432,1665,3599,1730,2924,1302,1814,275,16939,37,62,80,46,64,43,46,66,347,785,19762,26030,25239,17869,21607,14316,17944,17220,3720,163696
