POW_SA4_CODE_2021,P_M1_Tram_or_LR_15_24,P_M1_Tram_or_LR_25_34,P_M1_Tram_or_LR_35_44,P_M1_Tram_or_LR_45_54,P_M1_Tram_or_LR_55_64,P_M1_Tram_or_LR_65_74,P_M1_Tram_or_LR_75ov,P_M1_Tram_or_LR_Tot,P_M1_Taxi_or_RSS_15_24,P_M1_Taxi_or_RSS_25_34,P_M1_Taxi_or_RSS_35_44,P_M1_Taxi_or_RSS_45_54,P_M1_Taxi_or_RSS_55_64,P_M1_Taxi_or_RSS_65_74,P_M1_Taxi_or_RSS_75ov,P_M1_Taxi_or_RSS_Tot,P_M1_CarAsDriv_15_24,P_M1_CarAsDriv_25_34,P_M1_CarAsDriv_35_44,P_M1_CarAsDriv_45_54,P_M1_CarAsDriv_55_64,P_M1_CarAsDriv_65_74,P_M1_CarAsDriv_75ov,P_M1_CarAsDriv_Tot,P_M1_CarAsPas_15_24,P_M1_CarAsPas_25_34,P_M1_CarAsPas_35_44,P_M1_CarAsPas_45_54,P_M1_CarAsPas_55_64,P_M1_CarAsPas_65_74,P_M1_CarAsPas_75ov,P_M1_CarAsPas_Tot,P_M1_Truck_15_24,P_M1_Truck_25_34,P_M1_Truck_35_44,P_M1_Truck_45_54,P_M1_Truck_55_64,P_M1_Truck_65_74,P_M1_Truck_75ov,P_M1_Truck_Tot,P_M1_MBikeScoot_15_24,P_M1_MBikeScoot_25_34,P_M1_MBikeScoot_35_44,P_M1_MBikeScoot_45_54,P_M1_MBikeScoot_55_64,P_M1_MBikeScoot_65_74,P_M1_MBikeScoot_75ov,P_M1_MBikeScoot_Tot,P_M1_Bicycle_15_24,P_M1_Bicycle_25_34,P_M1_Bicycle_35_44,P_M1_Bicycle_45_54,P_M1_Bicycle_55_64,P_M1_Bicycle_65_74,P_M1_Bicycle_75ov,P_M1_Bicycle_Tot,P_M1_Other_15_24,P_M1_Other_25_34,P_M1_Other_35_44,P_M1_Other_45_54,P_M1_Other_55_64,P_M1_Other_65_74,P_M1_Other_75ov,P_M1_Other_Tot,P_M1_WlkOnly_15_24,P_M1_WlkOnly_25_34,P_M1_WlkOnly_35_44,P_M1_WlkOnly_45_54,P_M1_WlkOnly_55_64,P_M1_WlkOnly_65_74,P_M1_WlkOnly_75ov,P_M1_WlkOnly_Tot,P_M1_Tot_M1_15_24,P_M1_Tot_M1_25_34,P_M1_Tot_M1_35_44,P_M1_Tot_M1_45_54,P_M1_Tot_M1_55_64,P_M1_Tot_M1_65_74,P_M1_Tot_M1_75ov,P_M1_Tot_M1_Tot,P_M2_TrnBus_15_24,P_M2_TrnBus_25_34,P_M2_TrnBus_35_44,P_M2_TrnBus_45_54,P_M2_TrnBus_55_64,P_M2_TrnBus_65_74,P_M2_TrnBus_75ov,P_M2_TrnBus_Tot,P_M2_TrnFer_15_24,P_M2_TrnFer_25_34,P_M2_TrnFer_35_44,P_M2_TrnFer_45_54,P_M2_TrnFer_55_64,P_M2_TrnFer_65_74,P_M2_TrnFer_75ov,P_M2_TrnFer_Tot,P_M2_TrnTrm_or_LR_15_24,P_M2_TrnTrm_or_LR_25_34,P_M2_TrnTrm_or_LR_35_44,P_M2_TrnTrm_or_LR_45_54,P_M2_TrnTrm_or_LR_55_64,P_M2_TrnTrm_or_LR_65_74,P_M2_TrnTrm_or_LR_75ov,P_M2_TrnTrm_or_LR_Tot,P_M2_TrnCarAsDriv_15_24,P_M2_TrnCarAsDriv_25_34,P_M2_TrnCarAsDriv_35_44,P_M2_TrnCarAsDriv_45_54,P_M2_TrnCarAsDriv_55_64,P_M2_TrnCarAsDriv_65_74,P_M2_TrnCarAsDriv_75ov,P_M2_TrnCarAsDriv_Tot,P_M2_TrnCarAsPas_15_24,P_M2_TrnCarAsPas_25_34,P_M2_TrnCarAsPas_35_44,P_M2_TrnCarAsPas_45_54,P_M2_TrnCarAsPas_55_64,P_M2_TrnCarAsPas_65_74,P_M2_TrnCarAsPas_75ov,P_M2_TrnCarAsPas_Tot,P_M2_TrnOth_15_24,P_M2_TrnOth_25_34,P_M2_TrnOth_35_44,P_M2_TrnOth_45_54,P_M2_TrnOth_55_64,P_M2_TrnOth_65_74,P_M2_TrnOth_75ov,P_M2_TrnOth_Tot,P_M2_Train_and_Tot_15_24,P_M2_Train_and_Tot_25_34,P_M2_Train_and_Tot_35_44,P_M2_Train_and_Tot_45_54,P_M2_Train_and_Tot_55_64,P_M2_Train_and_Tot_65_74,P_M2_Train_and_Tot_75ov,P_M2_Train_and_Tot_Tot,P_M2_BusFer_15_24,P_M2_BusFer_25_34,P_M2_BusFer_35_44,P_M2_BusFer_45_54,P_M2_BusFer_55_64,P_M2_BusFer_65_74,P_M2_BusFer_75ov,P_M2_BusFer_Tot,P_M2_BusTrm_or_LR_15_24,P_M2_BusTrm_or_LR_25_34,P_M2_BusTrm_or_LR_35_44,P_M2_BusTrm_or_LR_45_54,P_M2_BusTrm_or_LR_55_64,P_M2_BusTrm_or_LR_65_74,P_M2_BusTrm_or_LR_75ov,P_M2_BusTrm_or_LR_Tot,P_M2_BusCarAsDriv_15_24,P_M2_BusCarAsDriv_25_34,P_M2_BusCarAsDriv_35_44,P_M2_BusCarAsDriv_45_54,P_M2_BusCarAsDriv_55_64,P_M2_BusCarAsDriv_65_74,P_M2_BusCarAsDriv_75ov,P_M2_BusCarAsDriv_Tot,P_M2_BusCarAsPas_15_24,P_M2_BusCarAsPas_25_34,P_M2_BusCarAsPas_35_44,P_M2_BusCarAsPas_45_54,P_M2_BusCarAsPas_55_64,P_M2_BusCarAsPas_65_74,P_M2_BusCarAsPas_75ov,P_M2_BusCarAsPas_Tot,P_M2_BusOth_15_24,P_M2_BusOth_25_34,P_M2_BusOth_35_44,P_M2_BusOth_45_54,P_M2_BusOth_55_64,P_M2_BusOth_65_74,P_M2_BusOth_75ov,P_M2_BusOth_Tot,P_M2_BusTot_15_24,P_M2_BusTot_25_34,P_M2_BusTot_35_44,P_M2_BusTot_45_54,P_M2_BusTot_55_64,P_M2_BusTot_65_74,P_M2_BusTot_75ov,P_M2_BusTot_Tot,P_M2_Other_M2_15_24,P_M2_Other_M2_25_34,P_M2_Other_M2_35_44,P_M2_Other_M2_45_54,P_M2_Other_M2_55_64,P_M2_Other_M2_65_74,P_M2_Other_M2_75ov,P_M2_Other_M2_Tot,P_M2_Tot_M2_15_24,P_M2_Tot_M2_25_34,P_M2_Tot_M2_35_44,P_M2_Tot_M2_45_54,P_M2_Tot_M2_55_64,P_M2_Tot_M2_65_74,P_M2_Tot_M2_75ov,P_M2_Tot_M2_Tot
201,0,3,0,0,0,0,0,3,52,48,28,29,11,9,0,182,5785,9729,8958,9610,7879,1804,169,43931,1936,480,299,276,238,79,10,3317,19,62,53,108,88,37,7,378,14,21,21,26,25,3,0,111,57,52,62,80,80,19,0,351,18,33,49,32,45,12,9,200,340,366,259,385,449,180,43,2014,8384,10890,9769,10578,8837,2151,243,50862,8,0,0,6,4,5,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12,9,3,4,0,0,26,3,0,0,0,0,0,0,6,0,3,0,0,0,0,0,7,17,16,9,7,11,3,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,0,16,18,5,8,0,0,0,0,36,10,10,3,0,3,0,0,23,30,20,13,4,7,5,0,79,112,85,56,46,32,19,4,355,159,121,74,56,52,27,4,494
202,3,0,0,0,0,0,0,3,13,26,18,17,5,3,0,75,5589,9359,9059,9373,7852,1826,148,43207,1796,518,285,305,248,64,11,3231,13,59,63,97,106,39,6,380,36,27,20,31,32,9,0,168,69,78,96,115,80,16,0,461,17,36,38,32,51,29,5,202,391,360,271,364,445,177,59,2062,8123,10573,9929,10402,8853,2173,230,50281,4,9,5,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,9,3,0,0,24,14,0,6,0,0,0,0,14,0,3,8,7,7,0,0,24,20,16,12,11,11,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,3,0,0,0,0,20,38,6,0,0,3,0,0,56,4,12,5,6,0,0,0,17,54,19,12,4,4,0,0,94,80,74,52,46,45,11,0,308,156,109,78,64,64,14,0,485
203,0,3,0,0,0,3,0,5,85,83,71,26,22,5,0,298,11258,19073,17091,16974,12915,2931,296,80538,3347,884,490,402,388,116,9,5635,24,75,105,154,116,54,5,542,60,57,45,54,54,11,0,284,170,172,159,205,161,28,3,895,45,87,84,89,67,35,0,411,662,576,432,531,531,200,34,2966,16101,21398,18688,18564,14393,3420,361,92923,18,32,12,6,0,0,0,85,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,6,11,20,11,6,4,0,57,8,6,5,0,0,0,0,23,6,7,10,10,0,0,0,32,40,68,46,27,10,7,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,5,13,14,3,0,54,67,24,16,4,8,0,0,110,19,20,10,5,0,0,0,56,92,63,26,23,19,5,0,218,168,162,100,116,67,15,4,635,303,293,169,166,95,27,3,1056
204,0,0,4,0,0,0,0,4,26,20,21,11,12,5,0,96,5403,9480,9773,10962,9471,2585,267,47950,1904,514,307,272,242,75,15,3330,14,61,88,101,136,56,31,487,36,38,33,44,61,18,12,248,110,92,104,116,120,34,9,588,139,106,82,91,98,56,15,587,1433,900,504,602,775,363,99,4671,9194,11283,10956,12238,10955,3210,446,58286,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,5,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,6,6,5,4,4,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,4,4,0,0,26,14,0,0,0,3,0,0,19,6,0,0,7,0,0,0,19,24,13,3,8,12,4,0,60,122,98,70,52,65,13,9,422,151,117,74,62,70,14,9,505
205,0,4,0,0,0,0,0,3,25,17,5,17,14,6,0,91,8502,14779,14652,16059,13970,3493,362,71821,2975,741,430,435,352,120,21,5078,18,90,109,164,160,58,10,611,37,48,52,73,80,28,3,313,124,73,96,109,92,24,0,526,51,83,92,113,126,54,19,537,718,629,542,656,818,351,96,3804,12624,16549,16044,17676,15656,4156,526,83224,6,7,4,0,4,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,5,0,0,18,19,3,0,0,0,0,0,22,5,3,0,0,0,0,0,12,32,14,11,8,14,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,8,5,0,6,0,37,29,8,0,5,3,0,0,42,0,3,0,3,0,0,0,10,33,12,12,11,9,4,0,85,118,153,115,101,92,39,12,622,182,185,139,116,109,46,12,785
206,4452,7903,2898,1524,1099,379,44,18299,301,659,302,127,88,38,5,1524,16182,47256,41564,34959,24406,6535,780,171667,3133,2674,1497,1202,1138,379,63,10089,44,156,156,166,154,56,3,730,226,825,549,441,260,35,0,2330,1304,4376,2827,2015,1068,170,5,11767,230,785,783,536,367,105,24,2836,4664,8521,4241,2680,2042,640,103,22886,37323,86910,64350,49459,34462,9245,1095,282847,958,1320,983,525,404,83,0,4278,0,4,0,0,0,0,0,9,1008,1833,907,448,331,75,5,4607,798,1918,1735,1031,584,132,3,6194,288,428,217,141,91,24,6,1191,139,391,279,157,89,19,0,1072,3187,5888,4126,2298,1496,340,14,17356,0,0,0,0,0,0,0,6,228,344,140,87,90,34,3,934,39,75,44,46,31,0,0,227,57,30,12,12,5,0,0,119,17,35,10,11,11,4,0,103,347,484,216,157,143,43,4,1394,668,1379,725,460,298,60,6,3603,4204,7752,5066,2915,1937,446,32,22356
207,301,348,108,63,52,20,5,894,59,87,34,27,18,6,4,233,8105,15550,13466,13236,10364,2867,374,63961,2215,795,449,375,404,136,24,4402,10,33,48,74,79,28,7,277,39,97,39,42,41,9,0,272,116,164,147,147,130,25,5,728,60,114,103,112,98,25,5,523,1122,924,529,488,471,188,30,3747,13075,19335,15432,14919,11906,3370,453,78489,196,261,82,67,57,18,0,679,0,0,0,0,0,0,0,0,106,177,52,23,15,0,0,377,44,66,64,40,28,0,0,249,39,34,14,11,3,0,0,104,17,33,13,12,17,4,0,93,398,567,231,157,110,28,8,1503,0,0,0,0,0,0,0,0,42,51,8,16,6,6,0,134,8,29,24,3,3,3,0,77,70,14,10,5,5,0,0,106,12,10,7,3,3,0,0,38,137,109,44,26,22,12,6,354,171,182,96,98,61,19,0,633,709,857,377,284,195,62,9,2485
208,123,178,77,34,44,11,0,464,96,128,54,38,18,13,0,344,11253,20072,18129,19132,14698,4309,510,88104,2875,1045,576,499,490,171,25,5685,16,78,95,115,125,61,12,493,61,114,65,66,59,20,0,383,296,191,128,220,193,24,3,1058,79,138,107,179,114,40,0,669,1312,656,511,633,583,188,41,3918,17413,24005,20274,21264,16601,4913,599,105072,364,327,124,116,67,20,0,1015,0,0,0,0,0,0,0,0,131,166,61,23,26,3,0,402,43,62,40,43,24,8,3,233,59,32,12,10,4,0,0,122,29,39,23,17,14,3,0,118,623,623,259,206,135,35,4,1887,0,0,0,0,0,0,0,4,17,23,9,0,0,0,0,49,7,8,18,13,5,3,3,61,79,28,7,14,3,4,0,135,15,18,0,3,0,0,0,42,124,80,36,29,12,10,3,291,196,180,141,105,107,23,3,758,945,882,441,347,252,69,13,2942
209,82,85,39,22,12,6,0,240,75,125,90,56,26,8,4,376,12332,24203,22050,21228,15761,3821,357,99758,3756,1127,645,653,547,136,25,6887,33,141,212,227,177,44,12,844,38,121,59,54,37,13,0,321,99,229,208,193,128,10,0,876,92,151,156,135,105,37,8,681,824,696,469,445,423,135,30,3029,18232,27815,24374,23319,17469,4277,441,115932,200,258,114,63,54,16,3,706,0,0,0,0,0,0,0,0,27,44,3,0,8,3,0,86,20,47,45,24,14,6,0,156,37,27,12,0,3,3,0,79,12,29,17,12,14,5,0,98,300,405,193,105,94,28,3,1127,0,0,0,0,0,0,0,0,36,39,23,17,7,0,0,137,11,20,20,14,12,0,0,69,94,37,21,10,10,0,0,171,18,18,14,10,3,3,0,61,161,110,74,53,29,11,0,439,213,228,154,120,88,18,8,825,669,741,427,275,207,55,14,2389
210,41,50,25,9,9,0,0,127,99,125,111,61,35,7,0,445,11888,25330,24224,22985,16610,3399,315,104759,3627,1269,656,608,536,132,15,6849,71,294,303,273,238,81,9,1263,52,119,51,46,60,4,0,339,64,113,102,111,55,10,0,451,75,196,191,151,106,30,4,745,387,274,243,243,259,89,20,1520,16827,28361,26166,24700,18054,3777,382,118265,134,159,78,51,37,16,0,471,0,0,0,0,0,0,0,0,22,30,11,5,0,0,0,72,15,47,18,26,16,4,0,127,24,24,7,4,6,0,0,72,9,26,17,8,0,0,0,64,206,287,131,95,65,22,0,807,0,0,0,0,0,0,0,0,20,30,15,6,9,0,0,81,18,36,17,20,22,0,0,113,66,20,14,9,9,0,0,109,13,10,4,3,6,0,0,42,115,98,42,39,35,7,0,344,225,249,162,148,89,21,0,902,550,632,336,280,197,52,0,2052
