POW_SA4_CODE_2021,EWPT_20_24_TertUni_or_OHE_FT,EWPT_20_24_TertUni_or_OHE_PT,EWPT_20_24_TertUni_or_OHE_NS,EWPT_20_24_TertUni_or_OHE_Tot,EWPT_20_24_Other_FT,EWPT_20_24_Other_PT,EWPT_20_24_Other_NS,EWPT_20_24_Other_Tot,EWPT_20_24_Not_Stated,EWPT_20_24_Tot,EWPT_25_29_TertVE_TPTP_FT,EWPT_25_29_TertVE_TPTP_PT,EWPT_25_29_TertVE_TPTP_NS,EWPT_25_29_TertVE_TPTP_Tot,EWPT_25_29_TertUni_or_OHE_FT,EWPT_25_29_TertUni_or_OHE_PT,EWPT_25_29_TertUni_or_OHE_NS,EWPT_25_29_TertUni_or_OHE_Tot,EWPT_25_29_Other_FT,EWPT_25_29_Other_PT,EWPT_25_29_Other_NS,EWPT_25_29_Other_Tot,EWPT_25_29_Not_Stated,EWPT_25_29_Tot,EWPT_30ov_TertVE_TPTP_FT,EWPT_30ov_TertVE_TPTP_PT,EWPT_30ov_TertVE_TPTP_NS,EWPT_30ov_TertVE_TPTP_Tot,EWPT_30ov_TertUni_or_OHE_FT,EWPT_30ov_TertUni_or_OHE_PT,EWPT_30ov_TertUni_or_OHE_NS,EWPT_30ov_TertUni_or_OHE_Tot,EWPT_30ov_Other_FT,EWPT_30ov_Other_PT,EWPT_30ov_Other_NS,EWPT_30ov_Other_Tot,EWPT_30ov_Not_Stated,EWPT_30ov_Tot,EWPT_Tot_TertVE_TPTP_FT,EWPT_Tot_TertVE_TPTP_PT,EWPT_Tot_TertVE_TPTP_NS,EWPT_Tot_TertVE_TPTP_Tot,EWPT_Tot_TertUni_or_OHE_FT,EWPT_Tot_TertUni_or_OHE_PT,EWPT_Tot_TertUni_or_OHE_NS,EWPT_Tot_TertUni_or_OHE_Tot,EWPT_Tot_Other_FT,EWPT_Tot_Other_PT,EWPT_Tot_Other_NS,EWPT_Tot_Other_Tot,EWPT_Tot_Not_Stated,EWPT_Tot_Tot,EAFW_15_TertVE_TPTP_FT,EAFW_15_TertVE_TPTP_PT,EAFW_15_TertVE_TPTP_NS,EAFW_15_TertVE_TPTP_Tot,EAFW_15_TertUni_or_OHE_FT,EAFW_15_TertUni_or_OHE_PT,EAFW_15_TertUni_or_OHE_NS,EAFW_15_TertUni_or_OHE_Tot,EAFW_15_Other_FT,EAFW_15_Other_PT,EAFW_15_Other_NS,EAFW_15_Other_Tot,EAFW_15_Not_Stated,EAFW_15_Tot,EAFW_16_TertVE_TPTP_FT,EAFW_16_TertVE_TPTP_PT,EAFW_16_TertVE_TPTP_NS,EAFW_16_TertVE_TPTP_Tot,EAFW_16_TertUni_or_OHE_FT,EAFW_16_TertUni_or_OHE_PT,EAFW_16_TertUni_or_OHE_NS,EAFW_16_TertUni_or_OHE_Tot,EAFW_16_Other_FT,EAFW_16_Other_PT,EAFW_16_Other_NS,EAFW_16_Other_Tot,EAFW_16_Not_Stated,EAFW_16_Tot,EAFW_17_TertVE_TPTP_FT,EAFW_17_TertVE_TPTP_PT,EAFW_17_TertVE_TPTP_NS,EAFW_17_TertVE_TPTP_Tot,EAFW_17_TertUni_or_OHE_FT,EAFW_17_TertUni_or_OHE_PT,EAFW_17_TertUni_or_OHE_NS,EAFW_17_TertUni_or_OHE_Tot,EAFW_17_Other_FT,EAFW_17_Other_PT,EAFW_17_Other_NS,EAFW_17_Other_Tot,EAFW_17_Not_Stated,EAFW_17_Tot,EAFW_18_TertVE_TPTP_FT,EAFW_18_TertVE_TPTP_PT,EAFW_18_TertVE_TPTP_NS,EAFW_18_TertVE_TPTP_Tot,EAFW_18_TertUni_or_OHE_FT,EAFW_18_TertUni_or_OHE_PT,EAFW_18_TertUni_or_OHE_NS,EAFW_18_TertUni_or_OHE_Tot,EAFW_18_Other_FT,EAFW_18_Other_PT,EAFW_18_Other_NS,EAFW_18_Other_Tot,EAFW_18_Not_Stated,EAFW_18_Tot,EAFW_19_TertVE_TPTP_FT,EAFW_19_TertVE_TPTP_PT,EAFW_19_TertVE_TPTP_NS,EAFW_19_TertVE_TPTP_Tot,EAFW_19_TertUni_or_OHE_FT,EAFW_19_TertUni_or_OHE_PT,EAFW_19_TertUni_or_OHE_NS,EAFW_19_TertUni_or_OHE_Tot,EAFW_19_Other_FT,EAFW_19_Other_PT,EAFW_19_Other_NS,EAFW_19_Other_Tot,EAFW_19_Not_Stated,EAFW_19_Tot,EAFW_20_24_TertVE_TPTP_FT,EAFW_20_24_TertVE_TPTP_PT,EAFW_20_24_TertVE_TPTP_NS,EAFW_20_24_TertVE_TPTP_Tot,EAFW_20_24_TertUni_or_OHE_FT,EAFW_20_24_TertUni_or_OHE_PT,EAFW_20_24_TertUni_or_OHE_NS,EAFW_20_24_TertUni_or_OHE_Tot,EAFW_20_24_Other_FT,EAFW_20_24_Other_PT,EAFW_20_24_Other_NS,EAFW_20_24_Other_Tot,EAFW_20_24_Not_Stated,EAFW_20_24_Tot,EAFW_25_29_TertVE_TPTP_FT,EAFW_25_29_TertVE_TPTP_PT,EAFW_25_29_TertVE_TPTP_NS,EAFW_25_29_TertVE_TPTP_Tot,EAFW_25_29_TertUni_or_OHE_FT,EAFW_25_29_TertUni_or_OHE_PT,EAFW_25_29_TertUni_or_OHE_NS,EAFW_25_29_TertUni_or_OHE_Tot,EAFW_25_29_Other_FT,EAFW_25_29_Other_PT,EAFW_25_29_Other_NS,EAFW_25_29_Other_Tot,EAFW_25_29_Not_Stated,EAFW_25_29_Tot,EAFW_30ov_TertVE_TPTP_FT,EAFW_30ov_TertVE_TPTP_PT,EAFW_30ov_TertVE_TPTP_NS,EAFW_30ov_TertVE_TPTP_Tot,EAFW_30ov_TertUni_or_OHE_FT,EAFW_30ov_TertUni_or_OHE_PT,EAFW_30ov_TertUni_or_OHE_NS,EAFW_30ov_TertUni_or_OHE_Tot,EAFW_30ov_Other_FT,EAFW_30ov_Other_PT,EAFW_30ov_Other_NS,EAFW_30ov_Other_Tot,EAFW_30ov_Not_Stated,EAFW_30ov_Tot,EAFW_Tot_TertVE_TPTP_FT,EAFW_Tot_TertVE_TPTP_PT,EAFW_Tot_TertVE_TPTP_NS,EAFW_Tot_TertVE_TPTP_Tot,EAFW_Tot_TertUni_or_OHE_FT,EAFW_Tot_TertUni_or_OHE_PT,EAFW_Tot_TertUni_or_OHE_NS,EAFW_Tot_TertUni_or_OHE_Tot,EAFW_Tot_Other_FT,EAFW_Tot_Other_PT,EAFW_Tot_Other_NS,EAFW_Tot_Other_Tot,EAFW_Tot_Not_Stated,EAFW_Tot_Tot,Tot_15_TertVE_TPTP_FT,Tot_15_TertVE_TPTP_PT,Tot_15_TertVE_TPTP_NS,Tot_15_TertVE_TPTP_Tot,Tot_15_TertUni_or_OHE_FT,Tot_15_TertUni_or_OHE_PT,Tot_15_TertUni_or_OHE_NS,Tot_15_TertUni_or_OHE_Tot,Tot_15_Other_FT,Tot_15_Other_PT,Tot_15_Other_NS,Tot_15_Other_Tot,Tot_15_Not_Stated,Tot_15_Tot,Tot_16_TertVE_TPTP_FT,Tot_16_TertVE_TPTP_PT,Tot_16_TertVE_TPTP_NS,Tot_16_TertVE_TPTP_Tot,Tot_16_TertUni_or_OHE_FT,Tot_16_TertUni_or_OHE_PT,Tot_16_TertUni_or_OHE_NS,Tot_16_TertUni_or_OHE_Tot
201,1042,156,0,1200,34,22,0,54,11,1497,70,86,0,148,245,139,0,382,14,25,0,35,5,569,87,365,0,454,211,423,0,636,32,127,0,163,69,1319,329,644,3,974,1922,754,5,2672,2151,181,0,2335,94,6078,0,0,0,0,0,0,0,0,79,0,0,79,0,79,0,0,0,0,0,0,0,0,125,0,0,125,0,123,0,0,0,5,0,0,0,0,121,0,0,121,0,125,3,4,0,10,18,0,0,25,53,0,0,53,0,80,0,4,0,10,54,0,0,50,0,0,0,0,0,65,18,17,0,35,154,20,0,179,3,3,0,12,6,232,16,17,0,28,34,23,0,61,0,11,0,10,0,106,16,58,0,75,34,66,0,98,5,25,0,30,36,247,57,107,0,163,296,118,0,412,383,41,0,418,51,1053,6,4,0,4,0,0,0,0,530,0,0,526,7,541,6,23,0,30,0,0,0,0
202,849,138,0,995,25,21,0,45,12,1294,51,78,0,133,158,94,0,254,10,25,0,29,4,423,130,364,5,496,197,424,0,625,19,116,0,136,65,1321,384,649,5,1036,1538,681,0,2219,2232,172,0,2401,89,5752,0,0,0,0,0,0,0,0,76,0,0,76,0,76,0,0,0,0,0,0,0,0,93,0,0,93,0,100,5,0,0,4,0,0,0,0,85,0,0,85,0,87,5,3,0,11,18,0,0,20,51,0,0,53,0,88,3,5,0,13,43,5,0,46,3,0,0,3,0,58,12,28,0,42,131,25,0,154,0,7,0,7,14,212,11,14,0,26,30,26,0,52,0,5,0,5,3,86,20,63,0,83,33,58,0,94,3,17,3,17,39,236,55,115,0,169,262,109,0,372,310,28,3,337,57,940,4,0,0,4,0,0,0,0,513,0,0,513,0,513,14,11,0,20,0,0,0,0
203,2762,429,4,3199,79,67,0,141,16,3906,169,184,0,360,641,315,0,956,72,51,0,124,14,1459,259,743,0,1002,456,768,4,1232,62,276,4,341,112,2685,866,1342,7,2215,4937,1588,8,6533,4190,404,4,4599,162,13517,0,0,0,0,0,0,0,0,122,0,0,122,4,122,4,5,0,9,0,0,0,0,193,0,0,193,3,202,0,0,0,4,0,0,0,0,216,0,0,225,5,232,14,6,0,19,44,3,0,48,122,0,0,126,0,201,9,10,0,20,127,6,0,132,3,0,0,9,0,156,53,58,0,115,472,58,0,533,10,3,0,11,13,675,24,27,0,55,101,43,0,148,8,19,0,27,9,239,42,91,0,132,76,121,0,194,7,32,0,40,75,441,152,204,0,360,823,232,0,1059,685,60,3,748,105,2266,9,0,0,6,0,0,0,0,890,0,0,892,8,910,22,32,0,49,0,0,0,0
204,455,104,0,556,14,24,0,35,10,864,62,100,4,161,100,87,0,190,4,23,0,31,9,387,126,445,4,577,127,382,9,514,28,133,0,154,104,1355,352,809,10,1170,857,597,6,1458,2257,184,0,2446,145,5222,0,0,0,0,0,0,0,0,142,0,0,137,3,146,0,6,0,6,0,0,0,0,127,0,0,127,0,130,3,3,0,7,0,0,0,0,146,0,0,146,3,155,0,10,0,15,8,0,0,8,85,0,0,85,4,113,4,8,0,17,30,4,0,32,6,0,0,5,4,56,28,23,0,50,86,22,0,107,7,0,0,9,15,181,11,16,0,28,33,16,0,46,3,8,0,9,6,95,19,70,0,92,31,62,6,97,8,16,4,29,60,271,68,143,0,209,186,104,4,297,514,26,4,543,92,1139,0,3,0,3,0,0,0,0,642,0,0,648,12,656,8,16,0,26,0,0,0,0
205,775,151,4,927,20,25,0,44,20,1335,60,150,0,208,172,141,0,316,17,25,3,41,10,577,143,641,0,792,264,593,4,861,33,187,3,232,183,2070,429,1193,5,1631,1553,939,9,2499,3383,254,7,3643,265,8038,0,0,0,0,0,0,0,0,137,0,0,136,3,142,0,0,0,5,0,0,0,0,184,0,0,180,5,188,4,10,0,18,0,0,0,0,163,0,0,166,0,185,4,16,0,20,25,4,0,23,115,0,0,117,3,161,0,11,0,12,49,5,0,49,0,0,0,0,0,66,17,51,0,70,141,20,0,160,3,10,0,9,9,249,12,30,0,43,43,22,0,69,0,3,0,9,9,121,22,92,0,108,37,86,0,121,4,25,0,32,104,368,65,211,0,278,289,131,0,418,607,47,0,653,136,1484,3,6,0,13,0,3,0,3,872,5,0,872,12,898,13,32,0,47,0,0,0,0
206,15465,2348,6,17817,575,351,0,929,47,21504,1595,1274,9,2876,5136,1913,3,7053,600,592,3,1194,33,11166,1785,2980,5,4768,3078,4042,11,7133,542,1432,14,1990,239,14131,5515,5351,16,10884,27848,8549,28,36419,5670,2405,17,8091,344,55769,0,0,0,0,0,0,0,0,144,0,0,144,0,144,4,0,0,6,0,0,0,0,268,0,0,268,4,277,3,4,0,10,3,0,0,3,320,0,0,320,0,332,38,9,0,40,292,6,0,301,198,0,0,199,8,549,53,30,0,79,667,43,0,714,10,4,0,16,5,814,315,187,0,507,2939,375,4,3313,97,47,0,148,68,4036,232,194,0,425,908,341,3,1258,91,91,0,182,59,1934,295,461,4,758,519,806,9,1330,100,237,0,338,314,2747,933,884,3,1821,5334,1576,17,6921,1226,383,5,1614,462,10831,0,0,0,0,0,0,0,0,820,0,0,820,0,821,17,14,0,28,0,0,0,0
207,5304,731,5,6045,132,65,3,200,12,6930,332,242,0,568,1161,391,3,1556,135,109,3,247,17,2390,390,879,5,1268,758,946,3,1701,154,465,0,628,61,3670,1281,1432,7,2722,9558,2173,11,11740,3397,652,7,4056,99,18627,0,0,0,0,0,0,0,0,59,0,0,59,0,59,0,0,0,0,0,0,0,0,152,0,0,152,0,150,0,0,0,0,3,0,0,3,194,0,0,194,0,202,0,3,0,5,98,7,0,102,141,0,0,141,0,247,8,8,0,20,221,10,0,232,3,0,0,5,0,257,44,31,0,76,690,71,5,766,22,10,0,28,17,890,36,21,0,52,136,57,0,194,19,15,0,35,15,300,52,73,0,129,100,121,0,223,16,54,0,68,55,475,145,136,0,280,1254,268,0,1521,608,80,0,689,86,2581,0,0,0,0,0,0,0,0,596,0,0,596,0,596,0,4,0,7,0,0,0,0
208,5943,781,3,6725,177,90,0,265,17,7962,347,286,4,637,1135,357,0,1495,148,106,0,250,7,2394,449,909,4,1357,626,836,3,1471,146,398,4,548,94,3474,1599,1639,3,3245,10237,2114,10,12369,4518,607,5,5131,128,20882,0,0,0,0,0,0,0,0,95,0,0,95,0,96,0,0,0,0,0,0,0,0,189,0,0,189,0,189,0,0,0,0,0,0,0,0,286,0,0,286,0,283,11,3,0,15,128,6,0,134,150,0,0,150,0,298,18,6,0,20,252,23,0,276,8,0,0,6,0,305,78,52,0,130,949,98,5,1051,24,15,0,47,13,1243,41,43,0,83,169,70,0,243,21,12,0,34,8,367,52,112,3,170,84,122,0,211,18,51,4,72,70,518,199,214,3,414,1580,317,11,1911,782,80,6,863,98,3299,6,0,0,6,0,0,0,0,795,0,0,795,0,797,8,8,0,19,4,0,0,4
209,4319,587,7,4908,183,103,0,277,17,6085,327,235,0,559,989,377,0,1369,147,104,0,249,9,2192,470,931,4,1404,799,1024,0,1829,161,463,0,624,116,3976,1583,1621,7,3206,8003,2103,15,10116,4910,686,6,5603,147,19089,0,0,0,0,0,0,0,0,101,0,0,101,0,101,0,3,0,4,0,0,0,0,153,0,0,153,0,155,3,3,0,7,0,0,0,0,228,0,0,228,0,236,10,9,0,16,67,0,0,68,129,0,0,129,0,217,17,12,0,32,166,12,0,176,4,5,0,6,0,217,64,53,4,114,625,57,3,684,30,12,0,35,15,854,30,28,0,61,171,52,0,230,18,19,0,37,17,341,52,113,0,166,88,142,0,227,36,46,0,84,74,559,181,219,3,401,1114,271,3,1389,694,75,0,776,114,2678,0,0,0,0,0,0,0,0,937,0,0,937,0,937,19,14,0,34,0,0,0,0
210,2968,398,3,3370,185,101,4,285,21,4462,324,253,0,574,644,199,0,839,165,107,0,272,14,1700,347,707,8,1062,451,530,7,993,206,352,0,557,96,2711,1362,1325,12,2700,5451,1220,5,6680,3688,576,8,4268,139,13800,0,0,0,0,0,0,0,0,76,0,0,76,0,76,3,0,0,4,0,0,0,0,149,0,0,149,4,155,4,4,0,6,0,0,0,0,174,0,0,174,0,187,10,6,0,18,64,3,0,61,93,0,0,96,0,177,25,14,0,32,118,9,0,124,0,0,0,0,0,159,71,49,0,122,411,47,3,456,18,11,0,32,14,631,33,40,0,69,94,38,0,132,19,16,0,35,7,248,45,114,3,164,72,77,0,157,35,41,0,78,77,475,197,223,7,424,757,176,6,939,565,72,4,643,111,2115,0,0,0,0,0,0,0,0,666,6,0,672,4,670,10,13,0,27,0,0,0,0
