POW_SA4_CODE_2021,NFANS_75ov_EWFT,NFANS_75ov_EWPT,NFANS_75ov_EAFW,NFANS_75ov_EHW_NS,NFANS_75ov_Tot,NFANS_Tot_EWFT,NFANS_Tot_EWPT,NFANS_Tot_EAFW,NFANS_Tot_EHW_NS,NFANS_Tot_Tot,Tot_15_19_EWFT,Tot_15_19_EWPT,Tot_15_19_EAFW,Tot_15_19_EHW_NS,Tot_15_19_Tot,Tot_20_24_EWFT,Tot_20_24_EWPT,Tot_20_24_EAFW,Tot_20_24_EHW_NS,Tot_20_24_Tot,Tot_25_29_EWFT,Tot_25_29_EWPT,Tot_25_29_EAFW,Tot_25_29_EHW_NS,Tot_25_29_Tot,Tot_30_34_EWFT,Tot_30_34_EWPT,Tot_30_34_EAFW,Tot_30_34_EHW_NS,Tot_30_34_Tot,Tot_35_39_EWFT,Tot_35_39_EWPT,Tot_35_39_EAFW,Tot_35_39_EHW_NS,Tot_35_39_Tot,Tot_40_44_EWFT,Tot_40_44_EWPT,Tot_40_44_EAFW,Tot_40_44_EHW_NS,Tot_40_44_Tot,Tot_45_49_EWFT,Tot_45_49_EWPT,Tot_45_49_EAFW,Tot_45_49_EHW_NS,Tot_45_49_Tot,Tot_50_54_EWFT,Tot_50_54_EWPT,Tot_50_54_EAFW,Tot_50_54_EHW_NS,Tot_50_54_Tot,Tot_55_59_EWFT,Tot_55_59_EWPT,Tot_55_59_EAFW,Tot_55_59_EHW_NS,Tot_55_59_Tot,Tot_60_64_EWFT,Tot_60_64_EWPT,Tot_60_64_EAFW,Tot_60_64_EHW_NS,Tot_60_64_Tot,Tot_65_69_EWFT,Tot_65_69_EWPT,Tot_65_69_EAFW,Tot_65_69_EHW_NS,Tot_65_69_Tot,Tot_70_74_EWFT,Tot_70_74_EWPT,Tot_70_74_EAFW,Tot_70_74_EHW_NS,Tot_70_74_Tot,Tot_75ov_EWFT,Tot_75ov_EWPT,Tot_75ov_EAFW,Tot_75ov_EHW_NS,Tot_75ov_Tot,Tot_Tot_EWFT,Tot_Tot_EWPT,Tot_Tot_EAFW,Tot_Tot_EHW_NS,Tot_Tot_Tot
201,4,6,0,6,9,237,162,21,34,454,808,3245,459,105,4621,3060,2919,398,126,6506,4372,2275,439,152,7240,4167,2311,496,121,7101,4021,2518,350,103,6984,4191,2339,245,68,6840,4586,2400,231,94,7317,4519,2318,284,109,7240,3884,2479,394,84,6845,2704,2303,382,73,5461,962,1275,193,37,2469,322,595,70,31,1016,159,298,45,39,552,37767,27284,3989,1151,70192
202,0,4,0,0,8,263,200,22,36,519,759,3325,393,102,4580,2995,2690,339,126,6154,4342,2031,359,117,6848,4145,2243,529,108,7022,4043,2528,355,110,7032,4169,2402,247,91,6914,4660,2289,240,102,7299,4487,2369,288,100,7242,3876,2497,382,87,6832,2723,2394,400,78,5594,1056,1349,208,48,2653,292,595,67,31,986,181,303,33,49,565,37727,27010,3836,1154,69726
203,0,4,0,4,9,432,311,39,73,859,1142,6389,916,129,8578,5510,6609,920,251,13282,8985,4699,787,294,14765,9017,4588,1037,228,14870,8722,5170,792,221,14911,8160,4775,532,171,13634,8722,4656,446,169,13991,8086,4272,495,185,13039,6747,4429,615,128,11919,4323,3986,562,114,8977,1501,2346,332,64,4238,423,1042,118,30,1614,209,463,45,44,755,71543,53422,7592,2016,134572
204,0,5,0,4,22,289,192,38,65,590,1350,3299,568,158,5366,3499,2409,344,174,6422,4422,2063,402,161,7040,4294,2192,495,148,7133,4315,2390,366,147,7218,4478,2276,282,109,7141,5072,2387,272,123,7861,5257,2488,362,151,8251,4766,2659,448,113,7989,3525,2841,491,85,6934,1564,1783,300,90,3737,642,937,85,45,1701,430,558,69,81,1134,43610,28269,4480,1584,77944
205,15,8,3,12,38,476,303,47,81,911,1515,4968,722,213,7420,4745,3529,497,255,9021,6608,3073,637,261,10580,6407,3509,755,237,10906,6385,3969,577,207,11137,6264,3508,430,196,10398,6958,3745,405,217,11326,7202,4087,537,216,12040,6531,4280,735,185,11722,4736,4356,764,156,10009,1966,2535,383,121,5006,765,1186,128,76,2159,445,729,87,97,1364,60529,43471,6648,2438,113091
206,8,11,9,19,41,2718,1150,220,370,4449,1359,10073,2102,296,13825,27567,30558,5028,1354,64509,76976,26277,4870,1861,109988,89499,24288,7583,1829,123194,86764,23976,6594,1489,118827,72037,19026,3087,971,95121,59903,15400,2063,718,78083,50092,13534,2031,656,66312,36303,11670,2021,510,50498,21297,10226,1804,324,33647,7967,6385,1066,211,15629,2442,3321,409,128,6298,740,1625,249,169,2778,532930,196361,38895,10515,778703
207,0,6,0,3,6,445,363,43,66,914,403,6014,915,65,7396,4538,9194,1006,272,15013,10615,5598,701,326,17236,11736,5160,1083,289,18272,10969,5526,895,227,17621,9823,5084,457,179,15546,10065,5210,398,159,15836,9767,5169,472,183,15596,7793,4851,500,134,13279,5139,4305,490,70,10007,1957,2708,328,52,5043,622,1477,118,27,2247,244,877,86,52,1259,83674,61187,7446,2045,154349
208,8,17,0,0,22,586,419,61,81,1148,747,7694,1173,93,9708,5691,10870,1508,299,18358,11097,6035,854,423,18408,11492,5179,1062,357,18087,11084,5689,799,299,17876,10317,5397,515,245,16476,11502,5770,482,232,17981,11321,5910,566,209,17997,9209,5398,575,159,15340,6007,4882,546,125,11565,2557,3137,325,60,6079,871,1796,149,35,2855,303,940,90,34,1372,92195,68695,8648,2568,172105
209,9,4,8,7,21,581,431,66,97,1170,1022,7683,938,123,9769,6272,9270,1057,410,17011,11804,6082,921,479,19285,12359,6476,1332,450,20605,11558,6955,951,366,19833,10807,6256,582,257,17911,10997,6042,504,232,17773,10576,5723,599,222,17112,8755,5224,611,204,14787,5793,4594,643,114,11138,2295,2569,343,72,5270,612,1053,111,35,1815,221,549,70,51,893,93077,68472,8656,2997,173204
210,0,4,0,5,12,597,350,61,112,1122,1236,5642,729,152,7760,6697,7144,809,412,15069,11809,5189,794,554,18344,12978,5175,1089,504,19752,13101,5463,874,442,19873,11688,4854,626,344,17508,11698,4757,558,290,17304,11672,4625,658,237,17189,9647,4075,676,193,14582,6052,3303,547,143,10052,2157,1719,282,67,4224,512,757,102,42,1411,215,346,41,30,626,99474,53044,7771,3410,163696
