solution_optimized_for,radius_m,p,population_coverage_pct,enhanced_coverage_pct
population,800,15,13.32903308968245,16.05748330562997
enhanced,800,15,13.071444588910378,16.232011766633626
population,800,30,20.96981324833694,24.161389237815854
enhanced,800,30,20.82685056511274,24.481201196693412
population,800,40,25.21863862666339,28.647728818728602
enhanced,800,40,24.895321381070655,28.871015251684963
population,1500,15,29.985357510574392,33.558298580459216
enhanced,1500,15,29.7664925085743,34.13218246946179
population,1500,30,48.53913337129337,51.31728525248025
enhanced,1500,30,47.790177227919486,52.06277930136755
population,1500,40,58.79814404182777,61.14100745453272
enhanced,1500,40,58.151775874567825,61.856353292358605
